	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001654.1_1	QGNH01001654.1	QGNH01001654.1	1	2	439	-1	E													0	False	F
QGNH01001654.1_2	QGNH01001654.1	QGNH01001654.1	2	436	654	-1	E													0	False	F
QGNH01001654.1_3	QGNH01001654.1	QGNH01001654.1	3	710	928	1	E													0	False	F
QGNH01001654.1_4	QGNH01001654.1	QGNH01001654.1	4	1092	1454	1	E													0	False	F
QGNH01001654.1_5	QGNH01001654.1	QGNH01001654.1	5	1516	2070	1	E													0	False	F
QGNH01001654.1_6	QGNH01001654.1	QGNH01001654.1	6	2016	2312	1	E													0	False	F
QGNH01001654.1_7	QGNH01001654.1	QGNH01001654.1	7	2309	2755	1	C	K01449	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]											0	False	F
QGNH01001654.1_8	QGNH01001654.1	QGNH01001654.1	8	2776	3063	1	E													0	False	F
QGNH01001654.1_9	QGNH01001654.1	QGNH01001654.1	9	3067	3642	1	D			YP_006383474.1	YP_006383474.1 holin [Bacillus phage PBC1]	False	71.0	4.231e-13	0.388	Bacteriophage holin family [PF05105.15]	VOG07462	sp|Q92FD1|Y175_LISIN Uncharacterized protein Lin0175; Xh	Xh	0	False	F
QGNH01001654.1_10	QGNH01001654.1	QGNH01001654.1	10	3742	4479	-1	E													0	False	F
QGNH01001654.1_11	QGNH01001654.1	QGNH01001654.1	11	4557	5591	-1	E													0	False	F
QGNH01001654.1_12	QGNH01001654.1	QGNH01001654.1	12	5740	6252	1	E													0	False	
QGNH01001654.1_13	QGNH01001654.1	QGNH01001654.1	13	6281	6799	1	E													0	False	
QGNH01001654.1_14	QGNH01001654.1	QGNH01001654.1	14	6800	7222	1	E													0	False	
QGNH01001654.1_15	QGNH01001654.1	QGNH01001654.1	15	7245	8801	1	E													0	False	
QGNH01001654.1_16	QGNH01001654.1	QGNH01001654.1	16	8949	9140	1	E													0	False	
QGNH01001654.1_17	QGNH01001654.1	QGNH01001654.1	17	9150	9590	1	E													0	False	F
QGNH01001654.1_18	QGNH01001654.1	QGNH01001654.1	18	9617	11074	1	E													0	False	F
QGNH01001654.1_19	QGNH01001654.1	QGNH01001654.1	19	11071	12048	1	E													0	False	F
QGNH01001654.1_20	QGNH01001654.1	QGNH01001654.1	20	12351	13892	1	E													0	False	F
QGNH01001654.1_21	QGNH01001654.1	QGNH01001654.1	21	13899	14147	-1	E													0	False	F
