	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000257.1_1	QGNH01000257.1	QGNH01000257.1	1	1	321	-1	E													0	False	F
QGNH01000257.1_2	QGNH01000257.1	QGNH01000257.1	2	380	577	-1	E													0	False	F
QGNH01000257.1_3	QGNH01000257.1	QGNH01000257.1	3	794	1030	1	E													0	False	F
QGNH01000257.1_4	QGNH01000257.1	QGNH01000257.1	4	1164	1553	1	D			YP_007237931.1	YP_007237931.1 terminase small subunit [Tetrasphaera phage TJE1]	False	0.332	73.0	1.22e-14	DNA-packaging protein gp3 [PF16677.8]				0	False	F
QGNH01000257.1_5	QGNH01000257.1	QGNH01000257.1	5	1553	2962	1	C	K06909	phage terminase large subunit	NP_112076.1	NP_112076.1 terminase large subunit [Enterobacteria phage HK620]	False	0.425	150.0	1.252e-36	Phage terminase large subunit [PF04466.16]				0	False	F
QGNH01000257.1_6	QGNH01000257.1	QGNH01000257.1	6	2967	3248	1	E													0	False	F
QGNH01000257.1_7	QGNH01000257.1	QGNH01000257.1	7	3245	3529	1	E													0	False	F
QGNH01000257.1_8	QGNH01000257.1	QGNH01000257.1	8	3519	4160	1	E													0	False	F
QGNH01000257.1_9	QGNH01000257.1	QGNH01000257.1	9	4172	4468	1	E													0	False	F
QGNH01000257.1_10	QGNH01000257.1	QGNH01000257.1	10	4468	6369	1	E													0	False	F
QGNH01000257.1_11	QGNH01000257.1	QGNH01000257.1	11	6421	6723	1	E													0	False	
QGNH01000257.1_12	QGNH01000257.1	QGNH01000257.1	12	6710	7039	1	E													0	False	
QGNH01000257.1_13	QGNH01000257.1	QGNH01000257.1	13	7036	7395	1	E													0	False	
QGNH01000257.1_14	QGNH01000257.1	QGNH01000257.1	14	7584	7823	1	E													0	False	
QGNH01000257.1_15	QGNH01000257.1	QGNH01000257.1	15	8001	9209	1	E													0	False	
QGNH01000257.1_16	QGNH01000257.1	QGNH01000257.1	16	9233	10453	1	E													0	False	
QGNH01000257.1_17	QGNH01000257.1	QGNH01000257.1	17	10511	11038	1	E													0	False	
QGNH01000257.1_18	QGNH01000257.1	QGNH01000257.1	18	11108	11620	1	E													0	False	
QGNH01000257.1_19	QGNH01000257.1	QGNH01000257.1	19	11639	12367	1	E													0	False	F
QGNH01000257.1_20	QGNH01000257.1	QGNH01000257.1	20	12371	14332	1	E													0	False	F
QGNH01000257.1_21	QGNH01000257.1	QGNH01000257.1	21	14329	15645	1	E													0	False	F
QGNH01000257.1_22	QGNH01000257.1	QGNH01000257.1	22	15721	16431	1	D									Carbohydrate esterase, sialic acid-specific acetylesterase [PF03629.21]				0	False	F
QGNH01000257.1_23	QGNH01000257.1	QGNH01000257.1	23	16374	16757	1	E													0	False	F
