	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000328.1_1	QGNH01000328.1	QGNH01000328.1	1	381	902	1	E																		0	False	F
QGNH01000328.1_2	QGNH01000328.1	QGNH01000328.1	2	878	2743	1	D	YP_007947927.1	YP_007947927.1 terminase large subunit [Enterobacteria phage phi80]	False	0.214	87.0	2.376e-16								Phage terminase large subunit gpA, ATPase domain [PF05876.15]; Terminase large subunit gpA, endonuclease domain [PF20454.1]				0	False	F
QGNH01000328.1_3	QGNH01000328.1	QGNH01000328.1	3	2906	3460	1	D														ATP dependent DNA ligase domain [PF01068.24]				0	False	F
QGNH01000328.1_4	QGNH01000328.1	QGNH01000328.1	4	3590	3838	1	D														Family of unknown function (DUF6148) [PF19645.2]				0	False	F
QGNH01000328.1_5	QGNH01000328.1	QGNH01000328.1	5	3835	5379	1	D														Phage portal protein, lambda family [PF05136.16]	VOG01401	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xp;Xr;Xs	0	False	VF
QGNH01000328.1_6	QGNH01000328.1	QGNH01000328.1	6	5376	6218	1	D	NP_892049.1	NP_892049.1 head maturation protease [Yersinia phage PY54]	False	0.279	111.0	1.12e-25	MER0513109	S49B	MER0513109 - subfamily S49B unassigned peptidases (Ceratitis capitata) [S49.UPB]#S49B#{peptidase unit: 76-254}~source XP_004527864~	False	94.0	1.018e-19	0.333	Peptidase family S49 [PF01343.21]; Clp protease [PF00574.26]	VOG07465	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xs;Xh	0	False	VP
QGNH01000328.1_7	QGNH01000328.1	QGNH01000328.1	7	6211	6414	1	E																		0	False	
QGNH01000328.1_8	QGNH01000328.1	QGNH01000328.1	8	6518	7042	1	E																		0	False	
QGNH01000328.1_9	QGNH01000328.1	QGNH01000328.1	9	7082	7465	1	E															VOG03879	REFSEQ virion structural protein; Xu	Xu	0	False	F
QGNH01000328.1_10	QGNH01000328.1	QGNH01000328.1	10	7489	8589	1	D	YP_009797329.1	YP_009797329.1 major head protein [Faecalibacterium phage FP_Mushu]	False	0.203	72.0	3.852e-12								Mu-like prophage major head subunit gpT [PF10124.12]	VOG04241	sp|Q9T1W1|CAPSD_BPMU Major capsid protein; XhXs	Xs;Xh	0	False	VF
QGNH01000328.1_11	QGNH01000328.1	QGNH01000328.1	11	8594	9052	1	E																		0	False	F
QGNH01000328.1_12	QGNH01000328.1	QGNH01000328.1	12	9115	9462	1	E																		0	False	F
QGNH01000328.1_13	QGNH01000328.1	QGNH01000328.1	13	9479	10351	1	E																		0	False	F
QGNH01000328.1_14	QGNH01000328.1	QGNH01000328.1	14	10396	10824	1	E																		0	False	F
QGNH01000328.1_15	QGNH01000328.1	QGNH01000328.1	15	10844	11203	1	E																		0	False	F
QGNH01000328.1_16	QGNH01000328.1	QGNH01000328.1	16	11229	11597	1	E																		0	False	F
QGNH01000328.1_17	QGNH01000328.1	QGNH01000328.1	17	11663	12322	1	E																		0	False	F
