	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000317.1_1	QGNH01000317.1	QGNH01000317.1	1	25	513	-1	E											0	False	F
QGNH01000317.1_2	QGNH01000317.1	QGNH01000317.1	2	548	1534	-1	E								VOG11300	REFSEQ major head protein; Xu	Xu	0	False	F
QGNH01000317.1_3	QGNH01000317.1	QGNH01000317.1	3	1550	2503	-1	E											0	False	F
QGNH01000317.1_4	QGNH01000317.1	QGNH01000317.1	4	2551	2838	-1	E											0	False	F
QGNH01000317.1_5	QGNH01000317.1	QGNH01000317.1	5	2835	3602	-1	D							REase_MTES_1575 [PF18741.4]; Protein of unknown function (DUF559) [PF04480.15]				0	False	F
QGNH01000317.1_6	QGNH01000317.1	QGNH01000317.1	6	3599	3883	-1	E											0	False	F
QGNH01000317.1_7	QGNH01000317.1	QGNH01000317.1	7	3916	4083	-1	E											0	False	F
QGNH01000317.1_8	QGNH01000317.1	QGNH01000317.1	8	4093	4464	-1	E											0	False	F
QGNH01000317.1_9	QGNH01000317.1	QGNH01000317.1	9	4473	4751	-1	E											0	False	F
QGNH01000317.1_10	QGNH01000317.1	QGNH01000317.1	10	4751	4921	-1	E											0	False	F
QGNH01000317.1_11	QGNH01000317.1	QGNH01000317.1	11	4918	7110	-1	E											0	False	F
QGNH01000317.1_12	QGNH01000317.1	QGNH01000317.1	12	7122	7340	-1	E											0	False	
QGNH01000317.1_13	QGNH01000317.1	QGNH01000317.1	13	7342	7695	-1	E											0	False	
QGNH01000317.1_14	QGNH01000317.1	QGNH01000317.1	14	7697	8011	-1	E											0	False	F
QGNH01000317.1_15	QGNH01000317.1	QGNH01000317.1	15	7998	10088	-1	E											0	False	F
QGNH01000317.1_16	QGNH01000317.1	QGNH01000317.1	16	10110	10721	-1	E											0	False	F
QGNH01000317.1_17	QGNH01000317.1	QGNH01000317.1	17	10825	12372	-1	D	YP_008320314.1	YP_008320314.1 terminase large subunit [Puniceispirillum phage HMO-2011]	False	169.0	1.282e-42	0.312	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Phage terminase large subunit [PF04466.16]	VOG00705	REFSEQ terminase large subunit; Xu	Xu	0	False	F
QGNH01000317.1_18	QGNH01000317.1	QGNH01000317.1	18	12530	12763	-1	E											0	False	F
