	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	heme_regulatory_motif_count
NC_008007.1_NC_008007.1_1	NC_008007.1	NC_008007.1	1	402	623	-1	E		0
NC_008007.1_NC_008007.1_2	NC_008007.1	NC_008007.1	2	1041	1319	-1	E		0
NC_008007.1_NC_008007.1_3	NC_008007.1	NC_008007.1	3	1488	1595	1	E		0
NC_008007.1_NC_008007.1_4	NC_008007.1	NC_008007.1	4	2395	3015	-1	D	Protein of unknown function (DUF3587) [PF12132.11]	0
NC_008007.1_NC_008007.1_5	NC_008007.1	NC_008007.1	5	3056	3181	-1	E		0
NC_008007.1_NC_008007.1_6	NC_008007.1	NC_008007.1	6	4189	4443	1	E		0
NC_008007.1_NC_008007.1_7	NC_008007.1	NC_008007.1	7	4831	5382	1	E		0
NC_008007.1_NC_008007.1_8	NC_008007.1	NC_008007.1	8	7295	7420	1	E		0
NC_008007.1_NC_008007.1_9	NC_008007.1	NC_008007.1	9	7417	7803	1	E		0
NC_008007.1_NC_008007.1_10	NC_008007.1	NC_008007.1	10	8487	8726	1	D	Viral cysteine rich [PF08008.15]	0
NC_008007.1_NC_008007.1_11	NC_008007.1	NC_008007.1	11	9747	10046	1	E		0
NC_008007.1_NC_008007.1_12	NC_008007.1	NC_008007.1	12	10072	10467	-1	D	Protein of unknown function (DUF3587) [PF12132.11]	0
NC_008007.1_NC_008007.1_13	NC_008007.1	NC_008007.1	13	10611	10844	1	E		0
NC_008007.1_NC_008007.1_14	NC_008007.1	NC_008007.1	14	12120	12512	1	E		0
NC_008007.1_NC_008007.1_15	NC_008007.1	NC_008007.1	15	12925	13122	1	D	Viral cysteine rich [PF08008.15]	0
NC_008007.1_NC_008007.1_16	NC_008007.1	NC_008007.1	16	14471	15184	-1	D	Protein of unknown function (DUF3587) [PF12132.11]	0
