	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001111.1_1	QGNH01001111.1	QGNH01001111.1	1	3	2150	-1	E					0	False	F
QGNH01001111.1_2	QGNH01001111.1	QGNH01001111.1	2	2155	2550	-1	E					0	False	F
QGNH01001111.1_3	QGNH01001111.1	QGNH01001111.1	3	2561	3796	-1	E					0	False	F
QGNH01001111.1_4	QGNH01001111.1	QGNH01001111.1	4	3807	4001	-1	E					0	False	F
QGNH01001111.1_5	QGNH01001111.1	QGNH01001111.1	5	3976	4155	-1	E					0	False	F
QGNH01001111.1_6	QGNH01001111.1	QGNH01001111.1	6	4163	4279	-1	E					0	False	F
QGNH01001111.1_7	QGNH01001111.1	QGNH01001111.1	7	4292	4438	-1	E					0	False	F
QGNH01001111.1_8	QGNH01001111.1	QGNH01001111.1	8	4569	4916	-1	E					0	False	F
QGNH01001111.1_9	QGNH01001111.1	QGNH01001111.1	9	4973	5839	-1	E					0	False	F
QGNH01001111.1_10	QGNH01001111.1	QGNH01001111.1	10	5841	6407	-1	D	PD-(D/E)XK endonuclease [PF11645.11]				0	False	F
QGNH01001111.1_11	QGNH01001111.1	QGNH01001111.1	11	6444	7727	-1	E					0	False	F
QGNH01001111.1_12	QGNH01001111.1	QGNH01001111.1	12	7772	8767	-1	E					0	False	F
QGNH01001111.1_13	QGNH01001111.1	QGNH01001111.1	13	8797	9102	-1	E					0	False	F
QGNH01001111.1_14	QGNH01001111.1	QGNH01001111.1	14	9129	9227	-1	E					0	False	F
QGNH01001111.1_15	QGNH01001111.1	QGNH01001111.1	15	9288	9410	-1	E					0	False	F
QGNH01001111.1_16	QGNH01001111.1	QGNH01001111.1	16	9584	9823	-1	E					0	False	F
QGNH01001111.1_17	QGNH01001111.1	QGNH01001111.1	17	9854	10054	-1	E					0	False	F
