Name	Count
PEPtide and nickel transporters	29
Cysteine and methionine	191
PEP	366
Pyruvate fermentation to acetate and lactate I	19
Pyruvate fermentation to acetate and lactate II	24
Pyruvate fermentation to acetate I	18
Pyruvate fermentation to acetate II	24
Pyruvate fermentation to acetate IV	18
Pyruvate fermentation to acetate VII	15
Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	236
Mineral and organic ion transporters	39
Lipopolysaccharide biosynthesis	157
Mucin type O-glycan biosynthesis	48
N-glycan biosynthesis	58
Peptidoglycan biosynthesis	77
Monosaccharide transporters	205
 metallic cation, iron-siderophore and vitamin b12 transporters	15
Enzyme I and hpr	262
Assimilatory nitrate reduction	28
Pyruvate fermentation to propionate II (acrylate pathway)	29
Superpathway of clostridium acetobutylicum acidogenic fermentation	209
Superpathway of clostridium acetobutylicum solventogenic fermentation	175
Histidine	181
Lactose	178
Sucrose	178
Maltose	176
Pyruvate fermentation to butanoate	149
Superpathway of 2,3-butanediol biosynthesis	28
Pyruvate fermentation to acetate and alanine	18
Pyruvate fermentation to acetate V	26
Pyruvate fermentation to acetate VI	26
Pyruvate fermentation to acetate VIII	15
Pyruvate fermentation to ethanol III	19
Oxaloacetate to lysine	141
Cellobiose	12
Pyruvate fermentation to lactate	30
Pyruvate fermentation to ethanol I	48
Pyruvate fermentation to ethanol II	49
Sulfate reduction (assimilatory)	68
ABC-2 type and other transporters	21
Superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	22
Sulfate reduction (dissimilatory)	21
Sulfite oxidation	32
Sulfur disproportionation	17
Thiosulfate disproportionation	34
Pyruvate fermentation to acetone	59
Sulfolactate degradation	21
(s)-acetoin biosynthesis	8
Phosphate and amino acid transporters	104
Oxaloacetate to aspartate and asparagine	15
Glutamate	7
Oligosaccharide and polyol transporters	12
Acetoin biosynthesis III	3
(s,s)-butanediol biosynthesis	3
Meso-butanediol biosynthesis I	3
Superpathway of (R,R)-butanediol biosynthesis	19
(R)-acetoin biosynthesis II	10
Denitrification	54
Murein	24
Pyruvate to leucine	15
Hydroxylamine reduction	11
Hydroxylamine to nitrite	1
Sulfoacetaldehyde degradation	7
(R)-acetoin biosynthesis I	6
Meso-butanediol biosynthesis II	6
Pyruvate fermentation to acetate III	2
Sulfite oxidation I (sulfite oxidoreductase)	6
Sulfide oxidation III or sulfur oxidation I (sulfur dioxygenase)	7
Sugar transporters	1
