	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000813.1_1	QGNH01000813.1	QGNH01000813.1	1	30	206	-1	E											0	False	F
QGNH01000813.1_2	QGNH01000813.1	QGNH01000813.1	2	246	845	-1	E											0	False	F
QGNH01000813.1_3	QGNH01000813.1	QGNH01000813.1	3	1015	1182	-1	E											0	False	F
QGNH01000813.1_4	QGNH01000813.1	QGNH01000813.1	4	1179	1454	-1	E											0	False	F
QGNH01000813.1_5	QGNH01000813.1	QGNH01000813.1	5	1857	2360	-1	D	YP_006560852.1	YP_006560852.1 pentapeptide repeat-containing protein [Salmonella phage vB_SosS_Oslo]	False	0.473	80.0	2.258e-16	Pentapeptide repeats (8 copies) [PF00805.25]; Pentapeptide repeats (9 copies) [PF13576.9]	VOG08280	sp|Q52118|YMO3_PANSE Uncharacterized protein in mobD 3'region; Xh	Xh	0	False	F
QGNH01000813.1_6	QGNH01000813.1	QGNH01000813.1	6	2395	2559	-1	E											0	False	F
QGNH01000813.1_7	QGNH01000813.1	QGNH01000813.1	7	2749	3126	1	D	YP_010356867.1	YP_010356867.1 HNH endonuclease [Tenacibaculum phage Gundel_1]	False	0.49	109.0	2.602e-27	HNH endonuclease [PF14279.9]; HNH endonuclease [PF01844.26]				0	False	F
QGNH01000813.1_8	QGNH01000813.1	QGNH01000813.1	8	3149	3382	1	E											0	False	F
QGNH01000813.1_9	QGNH01000813.1	QGNH01000813.1	9	3615	3797	1	E											0	False	F
QGNH01000813.1_10	QGNH01000813.1	QGNH01000813.1	10	3816	3932	1	E											0	False	F
QGNH01000813.1_11	QGNH01000813.1	QGNH01000813.1	11	3935	4177	1	E											0	False	F
QGNH01000813.1_12	QGNH01000813.1	QGNH01000813.1	12	4380	4784	1	E	YP_010679405.1	YP_010679405.1 HNH endonuclease [Bacillus phage PBC2]	False	0.596	81.0	1.992e-17					0	False	F
QGNH01000813.1_13	QGNH01000813.1	QGNH01000813.1	13	4781	5578	1	D							Domain of unknown function (DUF4373) [PF14297.9]				0	False	F
QGNH01000813.1_14	QGNH01000813.1	QGNH01000813.1	14	5575	6087	1	E											0	False	
QGNH01000813.1_15	QGNH01000813.1	QGNH01000813.1	15	6131	6349	1	E	YP_010773225.1	YP_010773225.1 hypothetical protein QIT82_gp19 [Pseudomonas phage psageK9]	False	0.62	85.0	5.697e-20		VOG04311	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000813.1_16	QGNH01000813.1	QGNH01000813.1	16	6387	6587	1	E											0	False	
QGNH01000813.1_17	QGNH01000813.1	QGNH01000813.1	17	7059	7559	1	E	YP_008241758.1	YP_008241758.1 terminase small subunit [Cellulophaga phage phi19:1]	False	0.47	89.0	2.262e-19					0	False	
QGNH01000813.1_18	QGNH01000813.1	QGNH01000813.1	18	7574	9232	1	E	NP_848210.1	NP_848210.1 terminase large subunit [Salmonella phage epsilon15]	True	0.561	495.0	5.206e-153		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
QGNH01000813.1_19	QGNH01000813.1	QGNH01000813.1	19	9238	10953	1	D	YP_005097981.1	YP_005097981.1 head-tail adaptor [Salmonella phage SPN1S]	True	0.483	470.0	5.366e-144	Bacteriophage head to tail connecting protein [PF12236.11]	VOG00516	sp|P03728|PORTL_BPT7 Portal protein; XpXrXs	Xs;Xr;Xp	0	False	V
QGNH01000813.1_20	QGNH01000813.1	QGNH01000813.1	20	10963	11217	1	E											0	False	
QGNH01000813.1_21	QGNH01000813.1	QGNH01000813.1	21	11217	11531	1	E								VOG01457	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000813.1_22	QGNH01000813.1	QGNH01000813.1	22	11500	12279	1	E	NP_848214.2	NP_848214.2 protease [Salmonella phage epsilon15]	False	0.37	96.0	9.976e-21		VOG10710	REFSEQ protease; Xu	Xu	0	False	
QGNH01000813.1_23	QGNH01000813.1	QGNH01000813.1	23	12295	12666	1	E											0	False	
QGNH01000813.1_24	QGNH01000813.1	QGNH01000813.1	24	12678	13043	1	E											0	False	
QGNH01000813.1_25	QGNH01000813.1	QGNH01000813.1	25	13085	14137	1	E	YP_512264.1	YP_512264.1 major head protein [Escherichia phage phiV10]	False	0.521	344.0	3.045e-104		VOG02257	REFSEQ major head protein; Xu	Xu	0	False	F
QGNH01000813.1_26	QGNH01000813.1	QGNH01000813.1	26	14162	14596	1	E											0	False	F
QGNH01000813.1_27	QGNH01000813.1	QGNH01000813.1	27	14658	14930	1	E											0	False	F
QGNH01000813.1_28	QGNH01000813.1	QGNH01000813.1	28	14927	15556	1	E	YP_009007077.1	YP_009007077.1 tail protein [Pseudomonas phage vB_PaeP_Tr60_Ab31]	False	0.338	115.0	1.113e-27					0	False	F
QGNH01000813.1_29	QGNH01000813.1	QGNH01000813.1	29	15560	18202	1	E	YP_009287745.1	YP_009287745.1 tail protein [Enterobacter phage Tyrion]	True	0.346	489.0	6.852e-146		VOG02059	sp|P03747|TUBE2_BPT7 Tail tubular protein gp12; XpXrXs	Xs;Xr;Xp	0	False	VF
QGNH01000813.1_30	QGNH01000813.1	QGNH01000813.1	30	18204	18590	1	E											0	False	F
QGNH01000813.1_31	QGNH01000813.1	QGNH01000813.1	31	18587	18664	1	E											0	False	F
