	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000318.1_1	QGNH01000318.1	QGNH01000318.1	1	2	2080	-1	E											0	False	F
QGNH01000318.1_2	QGNH01000318.1	QGNH01000318.1	2	2082	2714	-1	E											0	False	F
QGNH01000318.1_3	QGNH01000318.1	QGNH01000318.1	3	2711	3178	-1	E											0	False	F
QGNH01000318.1_4	QGNH01000318.1	QGNH01000318.1	4	3207	4538	-1	E											0	False	F
QGNH01000318.1_5	QGNH01000318.1	QGNH01000318.1	5	4652	5083	-1	E	YP_009273249.1	YP_009273249.1 hypothetical protein BH788_gp27 [Gordonia phage GMA1]	False	0.397	90.0	2.776e-20		VOG04189	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000318.1_6	QGNH01000318.1	QGNH01000318.1	6	5117	5491	-1	E											0	False	
QGNH01000318.1_7	QGNH01000318.1	QGNH01000318.1	7	5504	5788	-1	E											0	False	
QGNH01000318.1_8	QGNH01000318.1	QGNH01000318.1	8	5860	6363	-1	E											0	False	
QGNH01000318.1_9	QGNH01000318.1	QGNH01000318.1	9	6379	7323	-1	E	NP_203462.1	NP_203462.1 major head protein [Myxococcus phage Mx8]	False	0.235	90.0	2.93e-18		VOG11300	REFSEQ major head protein; Xu	Xu	0	False	
QGNH01000318.1_10	QGNH01000318.1	QGNH01000318.1	10	7339	8124	-1	E											0	False	F
QGNH01000318.1_11	QGNH01000318.1	QGNH01000318.1	11	8224	9072	-1	E											0	False	F
QGNH01000318.1_12	QGNH01000318.1	QGNH01000318.1	12	9072	11108	-1	E	YP_009613237.1	YP_009613237.1 portal protein [Arthrobacter phage Adat]	False	0.19	100.0	3.8190000000000005e-20		VOG06990	REFSEQ portal protein; Xu	Xu	0	False	F
QGNH01000318.1_13	QGNH01000318.1	QGNH01000318.1	13	11047	12744	-1	D	YP_009279242.1	YP_009279242.1 terminase large subunit [Bacillus phage Kida]	False	0.212	124.0	5.651e-28	Phage terminase large subunit gpA, ATPase domain [PF05876.15]				1	False	F
