	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001464.1_1	QGNH01001464.1	QGNH01001464.1	1	3	269	-1	E					0	False	F
QGNH01001464.1_2	QGNH01001464.1	QGNH01001464.1	2	383	895	1	E					0	False	F
QGNH01001464.1_3	QGNH01001464.1	QGNH01001464.1	3	984	1763	1	E		VOG07388	REFSEQ tail fiber protein; Xu	Xu	0	False	F
QGNH01001464.1_4	QGNH01001464.1	QGNH01001464.1	4	1790	3481	1	E					0	False	F
QGNH01001464.1_5	QGNH01001464.1	QGNH01001464.1	5	3486	3986	1	E					0	False	F
QGNH01001464.1_6	QGNH01001464.1	QGNH01001464.1	6	4186	5115	1	E					0	False	F
QGNH01001464.1_7	QGNH01001464.1	QGNH01001464.1	7	5148	5573	1	E					0	False	
QGNH01001464.1_8	QGNH01001464.1	QGNH01001464.1	8	5582	6484	1	E					0	False	
QGNH01001464.1_9	QGNH01001464.1	QGNH01001464.1	9	6471	7340	1	E					0	False	
QGNH01001464.1_10	QGNH01001464.1	QGNH01001464.1	10	7299	7490	-1	E					0	False	
QGNH01001464.1_11	QGNH01001464.1	QGNH01001464.1	11	7570	8328	1	E					0	False	
QGNH01001464.1_12	QGNH01001464.1	QGNH01001464.1	12	8348	9358	1	E					0	False	
QGNH01001464.1_13	QGNH01001464.1	QGNH01001464.1	13	9480	10430	1	E					0	False	
QGNH01001464.1_14	QGNH01001464.1	QGNH01001464.1	14	10432	10689	1	E					0	False	
QGNH01001464.1_15	QGNH01001464.1	QGNH01001464.1	15	10702	12834	1	E					0	False	
QGNH01001464.1_16	QGNH01001464.1	QGNH01001464.1	16	12860	13399	1	E					0	False	
QGNH01001464.1_17	QGNH01001464.1	QGNH01001464.1	17	13729	14610	1	E					0	False	
QGNH01001464.1_18	QGNH01001464.1	QGNH01001464.1	18	14664	14849	1	E					0	False	
QGNH01001464.1_19	QGNH01001464.1	QGNH01001464.1	19	14905	15426	1	E					0	False	
QGNH01001464.1_20	QGNH01001464.1	QGNH01001464.1	20	15482	16162	1	E					0	False	
QGNH01001464.1_21	QGNH01001464.1	QGNH01001464.1	21	16291	18699	1	E					0	False	
QGNH01001464.1_22	QGNH01001464.1	QGNH01001464.1	22	18699	19175	1	E					0	False	F
QGNH01001464.1_23	QGNH01001464.1	QGNH01001464.1	23	19179	19685	1	E					0	False	F
QGNH01001464.1_24	QGNH01001464.1	QGNH01001464.1	24	19678	19935	-1	E					0	False	F
QGNH01001464.1_25	QGNH01001464.1	QGNH01001464.1	25	19935	20444	-1	E					0	False	F
QGNH01001464.1_26	QGNH01001464.1	QGNH01001464.1	26	20453	20752	-1	E					0	False	F
QGNH01001464.1_27	QGNH01001464.1	QGNH01001464.1	27	20865	21245	1	E					0	False	F
QGNH01001464.1_28	QGNH01001464.1	QGNH01001464.1	28	21257	21997	-1	D	PA14 domain [PF07691.15]				0	False	F
QGNH01001464.1_29	QGNH01001464.1	QGNH01001464.1	29	22089	22391	-1	E					0	False	F
QGNH01001464.1_30	QGNH01001464.1	QGNH01001464.1	30	22697	23122	1	E					0	False	F
QGNH01001464.1_31	QGNH01001464.1	QGNH01001464.1	31	23123	23617	1	E					0	False	F
QGNH01001464.1_32	QGNH01001464.1	QGNH01001464.1	32	23614	23775	-1	E					0	False	F
