	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000360.1_1	QGNH01000360.1	QGNH01000360.1	1	572	955	-1	E													0	False	F
QGNH01000360.1_2	QGNH01000360.1	QGNH01000360.1	2	1374	1913	1	E													0	False	F
QGNH01000360.1_3	QGNH01000360.1	QGNH01000360.1	3	1879	2061	1	E													0	False	F
QGNH01000360.1_4	QGNH01000360.1	QGNH01000360.1	4	2061	2282	1	E													0	False	F
QGNH01000360.1_5	QGNH01000360.1	QGNH01000360.1	5	2493	2798	1	E													0	False	F
QGNH01000360.1_6	QGNH01000360.1	QGNH01000360.1	6	2795	4276	1	E			YP_009797323.1	YP_009797323.1 terminase large subunit [Faecalibacterium phage FP_Mushu]	False	116.0	1.238e-25	0.213		VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
QGNH01000360.1_7	QGNH01000360.1	QGNH01000360.1	7	4277	5275	1	E													0	False	F
QGNH01000360.1_8	QGNH01000360.1	QGNH01000360.1	8	5284	6360	1	E													0	False	F
QGNH01000360.1_9	QGNH01000360.1	QGNH01000360.1	9	6347	6640	1	E													0	False	F
QGNH01000360.1_10	QGNH01000360.1	QGNH01000360.1	10	6582	6908	1	C	K04078	chaperonin GroES							Chaperonin 10 Kd subunit [PF00166.24]				0	False	F
QGNH01000360.1_11	QGNH01000360.1	QGNH01000360.1	11	6901	7764	1	E													0	False	F
QGNH01000360.1_12	QGNH01000360.1	QGNH01000360.1	12	7769	8287	1	E													0	False	F
QGNH01000360.1_13	QGNH01000360.1	QGNH01000360.1	13	8303	8914	1	E													0	False	F
QGNH01000360.1_14	QGNH01000360.1	QGNH01000360.1	14	8927	9847	1	E													0	False	F
QGNH01000360.1_15	QGNH01000360.1	QGNH01000360.1	15	9961	10713	1	E													0	False	F
QGNH01000360.1_16	QGNH01000360.1	QGNH01000360.1	16	10729	11037	1	E													0	False	F
