	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_048668_NC_048668_1	NC_048668	NC_048668	1	1	414	-1	E											0
NC_048668_NC_048668_2	NC_048668	NC_048668	2	371	604	-1	E											0
NC_048668_NC_048668_3	NC_048668	NC_048668	3	597	1439	-1	E											0
NC_048668_NC_048668_4	NC_048668	NC_048668	4	1532	1945	1	E											0
NC_048668_NC_048668_5	NC_048668	NC_048668	5	1935	3680	1	E											1
NC_048668_NC_048668_6	NC_048668	NC_048668	6	3722	4051	1	E											0
NC_048668_NC_048668_7	NC_048668	NC_048668	7	4116	4778	1	E											0
NC_048668_NC_048668_8	NC_048668	NC_048668	8	4825	5340	-1	D										Acetyltransferase (GNAT) family [PF00583.28]; Acetyltransferase (GNAT) domain [PF13508.10]; Acetyltransferase (GNAT) domain [PF13673.10]	0
NC_048668_NC_048668_9	NC_048668	NC_048668	9	5340	7085	-1	E											0
NC_048668_NC_048668_10	NC_048668	NC_048668	10	7223	8545	1	E											0
NC_048668_NC_048668_11	NC_048668	NC_048668	11	8552	8992	1	E											0
NC_048668_NC_048668_12	NC_048668	NC_048668	12	9008	9598	1	E											0
NC_048668_NC_048668_13	NC_048668	NC_048668	13	9801	10019	1	E											0
NC_048668_NC_048668_14	NC_048668	NC_048668	14	10012	11229	1	E											0
NC_048668_NC_048668_15	NC_048668	NC_048668	15	11270	14167	-1	E											0
NC_048668_NC_048668_16	NC_048668	NC_048668	16	14160	15320	-1	E											0
NC_048668_NC_048668_17	NC_048668	NC_048668	17	15349	16566	1	E											0
NC_048668_NC_048668_18	NC_048668	NC_048668	18	16578	17492	1	E											0
NC_048668_NC_048668_19	NC_048668	NC_048668	19	17494	17655	1	E											0
NC_048668_NC_048668_20	NC_048668	NC_048668	20	17621	18034	1	E											0
NC_048668_NC_048668_21	NC_048668	NC_048668	21	18046	20319	1	E											0
NC_048668_NC_048668_22	NC_048668	NC_048668	22	20415	21869	1	D										phiKZ-like phage internal head proteins [PF12699.10]	0
