locus_tag	ftype	length_bp	gene	EC_number	COG	product
BBFFAMMM_00001	CDS	906				hypothetical protein
BBFFAMMM_00002	CDS	342				hypothetical protein
BBFFAMMM_00003	CDS	351				hypothetical protein
BBFFAMMM_00004	CDS	360				hypothetical protein
BBFFAMMM_00005	CDS	291				hypothetical protein
BBFFAMMM_00006	CDS	138				hypothetical protein
BBFFAMMM_00007	CDS	144				hypothetical protein
BBFFAMMM_00008	CDS	279				hypothetical protein
BBFFAMMM_00009	CDS	108				hypothetical protein
BBFFAMMM_00010	CDS	249				hypothetical protein
BBFFAMMM_00011	CDS	120				hypothetical protein
BBFFAMMM_00012	CDS	669				hypothetical protein
BBFFAMMM_00013	CDS	366				hypothetical protein
BBFFAMMM_00014	CDS	270				hypothetical protein
BBFFAMMM_00015	CDS	177				hypothetical protein
BBFFAMMM_00016	CDS	189				hypothetical protein
BBFFAMMM_00017	CDS	852				hypothetical protein
BBFFAMMM_00018	CDS	219				hypothetical protein
BBFFAMMM_00019	CDS	654				hypothetical protein
BBFFAMMM_00020	CDS	333				hypothetical protein
BBFFAMMM_00021	CDS	153				hypothetical protein
BBFFAMMM_00022	CDS	1797				hypothetical protein
BBFFAMMM_00023	CDS	399				hypothetical protein
BBFFAMMM_00024	CDS	267				hypothetical protein
BBFFAMMM_00025	CDS	177				hypothetical protein
BBFFAMMM_00026	CDS	420				hypothetical protein
BBFFAMMM_00027	CDS	432				hypothetical protein
BBFFAMMM_00028	CDS	138				hypothetical protein
BBFFAMMM_00029	CDS	276				hypothetical protein
BBFFAMMM_00030	CDS	453				hypothetical protein
BBFFAMMM_00031	CDS	297				hypothetical protein
BBFFAMMM_00032	CDS	333				hypothetical protein
BBFFAMMM_00033	CDS	183				hypothetical protein
BBFFAMMM_00034	CDS	465				hypothetical protein
BBFFAMMM_00035	CDS	480				hypothetical protein
BBFFAMMM_00036	CDS	486				hypothetical protein
BBFFAMMM_00037	CDS	552				hypothetical protein
BBFFAMMM_00038	tRNA	77				tRNA-Arg(tct)
BBFFAMMM_00039	CDS	876				hypothetical protein
BBFFAMMM_00040	CDS	135				hypothetical protein
BBFFAMMM_00041	CDS	408				hypothetical protein
BBFFAMMM_00042	CDS	213				hypothetical protein
BBFFAMMM_00043	tRNA	76				tRNA-Asn(gtt)
BBFFAMMM_00044	tRNA	71				tRNA-Tyr(gta)
BBFFAMMM_00045	CDS	963				hypothetical protein
BBFFAMMM_00046	CDS	252				hypothetical protein
BBFFAMMM_00047	CDS	1494				hypothetical protein
BBFFAMMM_00048	CDS	1236				hypothetical protein
BBFFAMMM_00049	CDS	1182				hypothetical protein
BBFFAMMM_00050	CDS	426				hypothetical protein
BBFFAMMM_00051	CDS	351				hypothetical protein
BBFFAMMM_00052	CDS	387				hypothetical protein
BBFFAMMM_00053	CDS	285				hypothetical protein
BBFFAMMM_00054	CDS	159				hypothetical protein
BBFFAMMM_00055	CDS	165				hypothetical protein
BBFFAMMM_00056	CDS	1017				hypothetical protein
BBFFAMMM_00057	CDS	129				hypothetical protein
BBFFAMMM_00058	CDS	180				hypothetical protein
BBFFAMMM_00059	CDS	210				hypothetical protein
BBFFAMMM_00060	CDS	201				hypothetical protein
BBFFAMMM_00061	CDS	129				hypothetical protein
BBFFAMMM_00062	CDS	174				hypothetical protein
BBFFAMMM_00063	CDS	915				hypothetical protein
BBFFAMMM_00064	CDS	474				hypothetical protein
BBFFAMMM_00065	CDS	2565				hypothetical protein
BBFFAMMM_00066	CDS	213				hypothetical protein
BBFFAMMM_00067	CDS	705				hypothetical protein
BBFFAMMM_00068	CDS	549				hypothetical protein
BBFFAMMM_00069	CDS	432				hypothetical protein
BBFFAMMM_00070	CDS	261				hypothetical protein
BBFFAMMM_00071	CDS	186				hypothetical protein
BBFFAMMM_00072	CDS	258				hypothetical protein
BBFFAMMM_00073	CDS	213				hypothetical protein
BBFFAMMM_00074	CDS	1365				hypothetical protein
BBFFAMMM_00075	CDS	468				hypothetical protein
BBFFAMMM_00076	CDS	1194				hypothetical protein
BBFFAMMM_00077	CDS	189				hypothetical protein
BBFFAMMM_00078	CDS	3867				hypothetical protein
