	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000831.1_1	QGNH01000831.1	QGNH01000831.1	1	1	714	1	E											0	False	F
QGNH01000831.1_2	QGNH01000831.1	QGNH01000831.1	2	759	1673	1	D	YP_010756477.1	YP_010756477.1 major capsid protein [Streptomyces phage Piccadilly]	False	111.0	2.034e-25	0.277	Major capsid protein 13-like [PF20036.2]	VOG08005	sp|A0A0H5AXT3|CAPSD_BPK21 Major capsid protein; Xs	Xs	0	False	VF
QGNH01000831.1_3	QGNH01000831.1	QGNH01000831.1	3	1744	1929	1	E											0	False	F
QGNH01000831.1_4	QGNH01000831.1	QGNH01000831.1	4	1944	2534	1	E								VOG01527	REFSEQ head-tail adaptor Ad1; Xu	Xu	0	False	F
QGNH01000831.1_5	QGNH01000831.1	QGNH01000831.1	5	2538	3026	1	E											0	False	F
QGNH01000831.1_6	QGNH01000831.1	QGNH01000831.1	6	3029	3469	1	E											0	False	F
QGNH01000831.1_7	QGNH01000831.1	QGNH01000831.1	7	3502	4122	1	E											0	False	F
QGNH01000831.1_8	QGNH01000831.1	QGNH01000831.1	8	4172	4666	1	E											0	False	F
QGNH01000831.1_9	QGNH01000831.1	QGNH01000831.1	9	4699	4965	1	E											0	False	F
QGNH01000831.1_10	QGNH01000831.1	QGNH01000831.1	10	4975	5502	1	E											0	False	F
QGNH01000831.1_11	QGNH01000831.1	QGNH01000831.1	11	5506	9504	1	E											0	False	
QGNH01000831.1_12	QGNH01000831.1	QGNH01000831.1	12	9458	9856	1	E											0	False	
QGNH01000831.1_13	QGNH01000831.1	QGNH01000831.1	13	9856	14010	1	E											0	False	F
QGNH01000831.1_14	QGNH01000831.1	QGNH01000831.1	14	14010	14768	1	E											0	False	F
QGNH01000831.1_15	QGNH01000831.1	QGNH01000831.1	15	14922	17939	1	E											0	False	F
