	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_042125_1	NC_042125	NC_042125	1	232	603	-1	E			YP_009624665.1	YP_009624665.1 HNH endonuclease [Enterococcus phage LY0322]	False	1.0	267	4.283e-82												1	False	F
NC_042125_2	NC_042125	NC_042125	2	603	806	-1	E			YP_009624666.1	YP_009624666.1 hypothetical protein FDJ50_gp03 [Enterococcus phage LY0322]	False	0.947	136	1.444e-37									VOG02167	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_042125_3	NC_042125	NC_042125	3	889	1080	-1	E			YP_009624786.1	YP_009624786.1 hypothetical protein FDJ51_gp59 [Enterococcus phage vB_EfaS_AL3]	False	0.915	123	2.984e-33									VOG13349	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_042125_4	NC_042125	NC_042125	4	1744	1956	1	E			YP_009624668.1	YP_009624668.1 hypothetical protein FDJ50_gp05 [Enterococcus phage LY0322]	False	0.999	150	1.3710000000000001e-42									VOG20526	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_042125_5	NC_042125	NC_042125	5	1969	2364	1	E			YP_009624669.1	YP_009624669.1 tail length tape measure protein [Enterococcus phage LY0322]	False	0.962	267	4.605e-82									VOG13347	REFSEQ tail length tape measure protein; Xu	Xu	0	False	F
NC_042125_6	NC_042125	NC_042125	6	2378	2590	1	E			YP_009624670.1	YP_009624670.1 hypothetical protein FDJ50_gp07 [Enterococcus phage LY0322]	False	1.0	157	4.594e-45												0	False	F
NC_042125_7	NC_042125	NC_042125	7	2594	2971	1	E			YP_009624671.1	YP_009624671.1 hypothetical protein FDJ50_gp08 [Enterococcus phage LY0322]	False	0.912	241	7.324e-73									VOG04174	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_042125_8	NC_042125	NC_042125	8	3127	3321	1	E			YP_009624672.1	YP_009624672.1 hypothetical protein FDJ50_gp09 [Enterococcus phage LY0322]	False	0.949	130	1.047e-35									VOG13346	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_042125_9	NC_042125	NC_042125	9	3281	3505	1	E			YP_009624782.1	YP_009624782.1 hypothetical protein FDJ51_gp55 [Enterococcus phage vB_EfaS_AL3]	False	0.939	148	8.160000000000001e-42									VOG13345	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_042125_10	NC_042125	NC_042125	10	3502	3660	1	E			YP_009624674.1	YP_009624674.1 hypothetical protein FDJ50_gp11 [Enterococcus phage LY0322]	False	0.834	92	9.451e-23												0	False	F
NC_042125_11	NC_042125	NC_042125	11	3672	3893	1	E			YP_009624675.1	YP_009624675.1 transcriptional regulator [Enterococcus phage LY0322]	False	1.0	160	4.248e-46									VOG12562	REFSEQ transcriptional regulator; Xu	Xu	0	False	F
