	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000698.1_1	QGNH01000698.1	QGNH01000698.1	1	226	1851	1	E	YP_001648943.1	YP_001648943.1 terminase [Escherichia phage Min27]	False	0.205	114.0	1.049e-24		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000698.1_2	QGNH01000698.1	QGNH01000698.1	2	1872	2084	1	E											0	False	F
QGNH01000698.1_3	QGNH01000698.1	QGNH01000698.1	3	2084	2656	1	D							Polypeptide deformylase [PF01327.24]				0	False	F
QGNH01000698.1_4	QGNH01000698.1	QGNH01000698.1	4	2701	4500	1	E											0	False	F
QGNH01000698.1_5	QGNH01000698.1	QGNH01000698.1	5	4481	5224	1	E											0	False	F
QGNH01000698.1_6	QGNH01000698.1	QGNH01000698.1	6	5282	5779	1	E											0	False	
QGNH01000698.1_7	QGNH01000698.1	QGNH01000698.1	7	5776	5982	1	E											0	False	
QGNH01000698.1_8	QGNH01000698.1	QGNH01000698.1	8	6001	6516	1	D							Histidine phosphatase superfamily (branch 1) [PF00300.25]				0	False	
QGNH01000698.1_9	QGNH01000698.1	QGNH01000698.1	9	6876	7565	1	E											0	False	
QGNH01000698.1_10	QGNH01000698.1	QGNH01000698.1	10	7610	8722	1	E											0	False	
QGNH01000698.1_11	QGNH01000698.1	QGNH01000698.1	11	8881	9645	1	E											0	False	
QGNH01000698.1_12	QGNH01000698.1	QGNH01000698.1	12	9683	10207	1	E											0	False	
QGNH01000698.1_13	QGNH01000698.1	QGNH01000698.1	13	10273	10569	1	E											0	False	
QGNH01000698.1_14	QGNH01000698.1	QGNH01000698.1	14	10658	10840	1	E											0	False	
QGNH01000698.1_15	QGNH01000698.1	QGNH01000698.1	15	10841	11344	1	E											0	False	
QGNH01000698.1_16	QGNH01000698.1	QGNH01000698.1	16	11341	11613	1	E											0	False	
QGNH01000698.1_17	QGNH01000698.1	QGNH01000698.1	17	11610	12038	1	E											0	False	
QGNH01000698.1_18	QGNH01000698.1	QGNH01000698.1	18	12035	13099	1	D							IPT/TIG domain [PF01833.27]				0	False	
QGNH01000698.1_19	QGNH01000698.1	QGNH01000698.1	19	13109	13645	1	E											0	False	
QGNH01000698.1_20	QGNH01000698.1	QGNH01000698.1	20	13642	15264	1	E								VOG03536	sp|P44233|VPL_HAEIN Mu-like prophage FluMu tail sheath protein; Xu	Xu	0	False	
QGNH01000698.1_21	QGNH01000698.1	QGNH01000698.1	21	15261	15995	-1	E	YP_004324393.1	YP_004324393.1 endonuclease [Prochlorococcus phage Syn1]	False	0.437	67.0	3.842e-11		VOG00171	sp|Q5UQL9|YR423_MIMIV Uncharacterized protein R423; Xu	Xu	0	False	
QGNH01000698.1_22	QGNH01000698.1	QGNH01000698.1	22	16108	16488	1	E											0	False	
QGNH01000698.1_23	QGNH01000698.1	QGNH01000698.1	23	16488	17153	1	E											0	False	
QGNH01000698.1_24	QGNH01000698.1	QGNH01000698.1	24	17153	19369	1	E											0	False	
QGNH01000698.1_25	QGNH01000698.1	QGNH01000698.1	25	19403	20479	1	D							DNA circularisation protein N-terminus [PF07157.15]				0	False	
QGNH01000698.1_26	QGNH01000698.1	QGNH01000698.1	26	20481	21911	1	E											0	False	
QGNH01000698.1_27	QGNH01000698.1	QGNH01000698.1	27	21913	22620	1	E											0	False	
QGNH01000698.1_28	QGNH01000698.1	QGNH01000698.1	28	22631	22795	1	E											0	False	
QGNH01000698.1_29	QGNH01000698.1	QGNH01000698.1	29	22825	23307	1	E											0	False	
QGNH01000698.1_30	QGNH01000698.1	QGNH01000698.1	30	23332	24996	1	E								VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xs;Xh	0	False	VF
QGNH01000698.1_31	QGNH01000698.1	QGNH01000698.1	31	25020	25520	1	E											0	False	F
QGNH01000698.1_32	QGNH01000698.1	QGNH01000698.1	32	25522	26532	1	E											0	False	F
QGNH01000698.1_33	QGNH01000698.1	QGNH01000698.1	33	26546	27451	1	E											0	False	F
QGNH01000698.1_34	QGNH01000698.1	QGNH01000698.1	34	27840	28034	-1	E											0	False	F
QGNH01000698.1_35	QGNH01000698.1	QGNH01000698.1	35	28167	28610	1	E											0	False	F
QGNH01000698.1_36	QGNH01000698.1	QGNH01000698.1	36	28614	28841	1	E											0	False	F
