	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001606.1_1	QGNH01001606.1	QGNH01001606.1	1	1	1026	1	E					0	False	F
QGNH01001606.1_2	QGNH01001606.1	QGNH01001606.1	2	1035	1271	1	E					0	False	F
QGNH01001606.1_3	QGNH01001606.1	QGNH01001606.1	3	1272	1595	1	E					0	False	F
QGNH01001606.1_4	QGNH01001606.1	QGNH01001606.1	4	1597	1785	1	E					0	False	F
QGNH01001606.1_5	QGNH01001606.1	QGNH01001606.1	5	1782	2102	1	E					0	False	F
QGNH01001606.1_6	QGNH01001606.1	QGNH01001606.1	6	2103	4058	1	E					0	False	F
QGNH01001606.1_7	QGNH01001606.1	QGNH01001606.1	7	4042	4278	1	E					0	False	F
QGNH01001606.1_8	QGNH01001606.1	QGNH01001606.1	8	4278	5000	1	E					0	False	F
QGNH01001606.1_9	QGNH01001606.1	QGNH01001606.1	9	5000	5632	1	E					0	False	
QGNH01001606.1_10	QGNH01001606.1	QGNH01001606.1	10	5705	6328	1	E					0	False	
QGNH01001606.1_11	QGNH01001606.1	QGNH01001606.1	11	6345	7304	1	E		VOG04241	sp|Q9T1W1|CAPSD_BPMU Major capsid protein; XhXs	Xh;Xs	0	False	V
QGNH01001606.1_12	QGNH01001606.1	QGNH01001606.1	12	7406	7687	1	E					0	False	
QGNH01001606.1_13	QGNH01001606.1	QGNH01001606.1	13	7711	8409	1	E					0	False	
QGNH01001606.1_14	QGNH01001606.1	QGNH01001606.1	14	8419	8694	1	E					0	False	
QGNH01001606.1_15	QGNH01001606.1	QGNH01001606.1	15	8704	11130	1	E					0	False	F
QGNH01001606.1_16	QGNH01001606.1	QGNH01001606.1	16	11130	11558	1	E					0	False	F
QGNH01001606.1_17	QGNH01001606.1	QGNH01001606.1	17	11568	12314	1	E					0	False	F
QGNH01001606.1_18	QGNH01001606.1	QGNH01001606.1	18	12314	13078	1	E					0	False	F
QGNH01001606.1_19	QGNH01001606.1	QGNH01001606.1	19	13089	14597	1	E					0	False	F
QGNH01001606.1_20	QGNH01001606.1	QGNH01001606.1	20	14647	15402	1	E					0	False	F
