	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000017.1_1	QGNH01000017.1	QGNH01000017.1	1	28	633	1	E					0	False	F
QGNH01000017.1_2	QGNH01000017.1	QGNH01000017.1	2	678	2540	1	E					0	False	F
QGNH01000017.1_3	QGNH01000017.1	QGNH01000017.1	3	2879	3079	1	E					0	False	F
QGNH01000017.1_4	QGNH01000017.1	QGNH01000017.1	4	3079	3432	1	E					0	False	F
QGNH01000017.1_5	QGNH01000017.1	QGNH01000017.1	5	3499	4425	1	E					0	False	F
QGNH01000017.1_6	QGNH01000017.1	QGNH01000017.1	6	4608	5588	1	E		VOG11300	REFSEQ major head protein; Xu	Xu	0	False	F
QGNH01000017.1_7	QGNH01000017.1	QGNH01000017.1	7	5604	6260	1	E					0	False	F
QGNH01000017.1_8	QGNH01000017.1	QGNH01000017.1	8	6273	6629	1	E					0	False	F
QGNH01000017.1_9	QGNH01000017.1	QGNH01000017.1	9	6702	6926	1	E					0	False	F
QGNH01000017.1_10	QGNH01000017.1	QGNH01000017.1	10	6926	7075	1	E					0	False	F
QGNH01000017.1_11	QGNH01000017.1	QGNH01000017.1	11	7263	7370	1	E					0	False	F
QGNH01000017.1_12	QGNH01000017.1	QGNH01000017.1	12	7373	7600	1	E					0	False	F
QGNH01000017.1_13	QGNH01000017.1	QGNH01000017.1	13	7609	8592	1	E					0	False	F
QGNH01000017.1_14	QGNH01000017.1	QGNH01000017.1	14	8631	9026	1	E					0	False	F
QGNH01000017.1_15	QGNH01000017.1	QGNH01000017.1	15	9023	9220	1	E					0	False	F
QGNH01000017.1_16	QGNH01000017.1	QGNH01000017.1	16	9217	9744	1	E					0	False	F
QGNH01000017.1_17	QGNH01000017.1	QGNH01000017.1	17	9810	10367	1	E					0	False	F
