	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001776.1_1	QGNH01001776.1	QGNH01001776.1	1	135	782	1	E															0	False	F
QGNH01001776.1_2	QGNH01001776.1	QGNH01001776.1	2	961	1326	1	E															0	False	F
QGNH01001776.1_3	QGNH01001776.1	QGNH01001776.1	3	1338	1634	1	E															0	False	F
QGNH01001776.1_4	QGNH01001776.1	QGNH01001776.1	4	1663	1884	1	E												VOG04836	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001776.1_5	QGNH01001776.1	QGNH01001776.1	5	1893	2126	1	E															0	False	F
QGNH01001776.1_6	QGNH01001776.1	QGNH01001776.1	6	2126	2425	1	E															0	False	F
QGNH01001776.1_7	QGNH01001776.1	QGNH01001776.1	7	2491	3198	1	D	YP_007003107.1	YP_007003107.1 endolysin [Vibrio phage CP-T1]	False	0.41	71.0	1.608e-12	Glycosyl hydrolase 108 [PF05838.15]	GH108	GH108 N-acetylmuramidase (EC 3.2.1.17)	3.2.1.17	GH108.hmm				0	False	F
QGNH01001776.1_8	QGNH01001776.1	QGNH01001776.1	8	3198	3431	1	E															0	False	F
QGNH01001776.1_9	QGNH01001776.1	QGNH01001776.1	9	3431	3709	1	E															0	False	F
QGNH01001776.1_10	QGNH01001776.1	QGNH01001776.1	10	3706	3855	1	E															0	False	F
QGNH01001776.1_11	QGNH01001776.1	QGNH01001776.1	11	3852	4097	1	E															0	False	F
QGNH01001776.1_12	QGNH01001776.1	QGNH01001776.1	12	4099	4947	1	E	YP_007001984.1	YP_007001984.1 tail protein [Escherichia phage TL-2011b]	False	0.245	72.0	1.112e-12									0	False	F
QGNH01001776.1_13	QGNH01001776.1	QGNH01001776.1	13	4999	6645	1	D	YP_512279.1	YP_512279.1 tail fiber protein [Escherichia phage phiV10]	False	0.357	78.0	1.981e-13	Pectate lyase superfamily protein [PF12708.10]								0	False	F
QGNH01001776.1_14	QGNH01001776.1	QGNH01001776.1	14	6656	9568	1	E	NP_958682.1	NP_958682.1 tail protein [Bordetella phage BPP-1]	True	0.275	374.0	2.683e-106						VOG02059	sp|P03747|TUBE2_BPT7 Tail tubular protein gp12; XpXrXs	Xp;Xs;Xr	0	False	VF
QGNH01001776.1_15	QGNH01001776.1	QGNH01001776.1	15	9709	10647	1	D	NP_848221.2	NP_848221.2 internal virion protein [Salmonella phage epsilon15]	False	0.468	129.0	3.622e-31	Bacteriophage T7, probable scaffold protein Gp13 [PF11090.11]					VOG01323	sp|P03723|GP13_BPT7 Probable scaffold protein gp13; Xu	Xu	0	False	F
QGNH01001776.1_16	QGNH01001776.1	QGNH01001776.1	16	10650	11231	1	E												VOG01668	REFSEQ internal virion protein; Xu	Xu	0	False	F
QGNH01001776.1_17	QGNH01001776.1	QGNH01001776.1	17	11328	11495	1	E															0	False	F
