	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000960.1_1	QGNH01000960.1	QGNH01000960.1	1	257	511	1	E													0	False	F
QGNH01000960.1_2	QGNH01000960.1	QGNH01000960.1	2	1033	1206	1	E													0	False	F
QGNH01000960.1_3	QGNH01000960.1	QGNH01000960.1	3	1499	1684	1	E													0	False	F
QGNH01000960.1_4	QGNH01000960.1	QGNH01000960.1	4	1686	1877	1	E													0	False	F
QGNH01000960.1_5	QGNH01000960.1	QGNH01000960.1	5	2001	2231	1	E													0	False	F
QGNH01000960.1_6	QGNH01000960.1	QGNH01000960.1	6	2381	2764	1	E													0	False	F
QGNH01000960.1_7	QGNH01000960.1	QGNH01000960.1	7	2736	4298	1	C	K06909	phage terminase large subunit	YP_010672629.1	YP_010672629.1 terminase large subunit [Vibrio phage Vp_R1]	False	205.0	1.7689999999999998e-54	0.295	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase RNaseH-like domain [PF17289.5]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000960.1_8	QGNH01000960.1	QGNH01000960.1	8	4298	6523	1	E													0	False	F
QGNH01000960.1_9	QGNH01000960.1	QGNH01000960.1	9	6543	6791	1	E													0	False	
QGNH01000960.1_10	QGNH01000960.1	QGNH01000960.1	10	6775	7473	1	E													0	False	
QGNH01000960.1_11	QGNH01000960.1	QGNH01000960.1	11	7470	7721	1	E													0	False	
QGNH01000960.1_12	QGNH01000960.1	QGNH01000960.1	12	7729	8094	1	C	K04078	chaperonin GroES							Chaperonin 10 Kd subunit [PF00166.24]				0	False	
QGNH01000960.1_13	QGNH01000960.1	QGNH01000960.1	13	8091	9137	1	E													0	False	F
QGNH01000960.1_14	QGNH01000960.1	QGNH01000960.1	14	9166	9687	1	E													0	False	F
QGNH01000960.1_15	QGNH01000960.1	QGNH01000960.1	15	9710	10363	1	E													0	False	F
QGNH01000960.1_16	QGNH01000960.1	QGNH01000960.1	16	10368	11285	1	E													0	False	F
QGNH01000960.1_17	QGNH01000960.1	QGNH01000960.1	17	11383	11826	1	E													0	False	F
QGNH01000960.1_18	QGNH01000960.1	QGNH01000960.1	18	11860	12483	1	E													0	False	F
QGNH01000960.1_19	QGNH01000960.1	QGNH01000960.1	19	12483	13208	1	E													0	False	F
