	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000761.1_1	QGNH01000761.1	QGNH01000761.1	1	3	2462	-1	E					0	False	F
QGNH01000761.1_2	QGNH01000761.1	QGNH01000761.1	2	2462	4612	-1	E					0	False	F
QGNH01000761.1_3	QGNH01000761.1	QGNH01000761.1	3	4625	6607	-1	E		VOG17469	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000761.1_4	QGNH01000761.1	QGNH01000761.1	4	6610	7743	-1	E					0	False	
QGNH01000761.1_5	QGNH01000761.1	QGNH01000761.1	5	7743	9191	-1	E					0	False	
QGNH01000761.1_6	QGNH01000761.1	QGNH01000761.1	6	9201	10004	-1	E					0	False	
QGNH01000761.1_7	QGNH01000761.1	QGNH01000761.1	7	10015	11616	-1	E					0	False	
QGNH01000761.1_8	QGNH01000761.1	QGNH01000761.1	8	11618	12397	-1	E					0	False	
QGNH01000761.1_9	QGNH01000761.1	QGNH01000761.1	9	12408	13343	-1	E					0	False	
QGNH01000761.1_10	QGNH01000761.1	QGNH01000761.1	10	13340	14038	-1	D	Family of unknown function (DUF6682) [PF20387.1]				0	False	
QGNH01000761.1_11	QGNH01000761.1	QGNH01000761.1	11	14185	14400	-1	E					0	False	
QGNH01000761.1_12	QGNH01000761.1	QGNH01000761.1	12	14410	14781	-1	E					0	False	
QGNH01000761.1_13	QGNH01000761.1	QGNH01000761.1	13	14849	15115	-1	E					0	False	
QGNH01000761.1_14	QGNH01000761.1	QGNH01000761.1	14	15118	15468	-1	E					0	False	
QGNH01000761.1_15	QGNH01000761.1	QGNH01000761.1	15	15481	15873	-1	E					0	False	
QGNH01000761.1_16	QGNH01000761.1	QGNH01000761.1	16	15919	16629	1	E					0	False	
QGNH01000761.1_17	QGNH01000761.1	QGNH01000761.1	17	16508	16852	-1	E					0	False	
QGNH01000761.1_18	QGNH01000761.1	QGNH01000761.1	18	16870	17928	-1	E					0	False	F
QGNH01000761.1_19	QGNH01000761.1	QGNH01000761.1	19	17979	18227	-1	E					0	False	F
QGNH01000761.1_20	QGNH01000761.1	QGNH01000761.1	20	18224	20284	-1	E					0	False	F
QGNH01000761.1_21	QGNH01000761.1	QGNH01000761.1	21	20828	21034	-1	E					0	False	F
QGNH01000761.1_22	QGNH01000761.1	QGNH01000761.1	22	21103	21780	-1	E					0	False	F
QGNH01000761.1_23	QGNH01000761.1	QGNH01000761.1	23	21807	22007	-1	E					0	False	F
QGNH01000761.1_24	QGNH01000761.1	QGNH01000761.1	24	22042	22242	-1	E					0	False	F
QGNH01000761.1_25	QGNH01000761.1	QGNH01000761.1	25	22259	22612	-1	E					0	False	F
