	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000951.1_1	QGNH01000951.1	QGNH01000951.1	1	360	800	1	E							0	False	F
QGNH01000951.1_2	QGNH01000951.1	QGNH01000951.1	2	1207	1374	1	E							0	False	F
QGNH01000951.1_3	QGNH01000951.1	QGNH01000951.1	3	1914	2150	1	D			Bacterial regulatory proteins, luxR family [PF00196.22]				0	False	F
QGNH01000951.1_4	QGNH01000951.1	QGNH01000951.1	4	2340	2645	1	E							0	False	F
QGNH01000951.1_5	QGNH01000951.1	QGNH01000951.1	5	2651	2926	1	E							0	False	F
QGNH01000951.1_6	QGNH01000951.1	QGNH01000951.1	6	2919	3224	1	E							0	False	F
QGNH01000951.1_7	QGNH01000951.1	QGNH01000951.1	7	3221	3787	1	E							0	False	F
QGNH01000951.1_8	QGNH01000951.1	QGNH01000951.1	8	3797	4180	1	E							0	False	F
QGNH01000951.1_9	QGNH01000951.1	QGNH01000951.1	9	4262	4849	1	E							0	False	F
QGNH01000951.1_10	QGNH01000951.1	QGNH01000951.1	10	4827	5093	1	E							0	False	F
QGNH01000951.1_11	QGNH01000951.1	QGNH01000951.1	11	5326	5760	1	E							0	False	
QGNH01000951.1_12	QGNH01000951.1	QGNH01000951.1	12	5762	6190	1	E							0	False	
QGNH01000951.1_13	QGNH01000951.1	QGNH01000951.1	13	6175	6633	1	E							0	False	
QGNH01000951.1_14	QGNH01000951.1	QGNH01000951.1	14	6630	8111	1	C	K06909	phage terminase large subunit	Phage terminase large subunit [PF04466.16]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
QGNH01000951.1_15	QGNH01000951.1	QGNH01000951.1	15	8179	10026	1	E							0	False	F
QGNH01000951.1_16	QGNH01000951.1	QGNH01000951.1	16	10023	10163	1	E							0	False	F
QGNH01000951.1_17	QGNH01000951.1	QGNH01000951.1	17	10147	10407	1	D			KTSC domain [PF13619.9]	VOG00254	sp|B2J384|SYK_NOSP7 Lysine--tRNA ligase; Xh	Xh	0	False	F
QGNH01000951.1_18	QGNH01000951.1	QGNH01000951.1	18	10407	11264	1	E							0	False	F
QGNH01000951.1_19	QGNH01000951.1	QGNH01000951.1	19	11268	12392	1	E				VOG11300	REFSEQ major head protein; Xu	Xu	0	False	F
QGNH01000951.1_20	QGNH01000951.1	QGNH01000951.1	20	12426	13019	1	E							0	False	F
QGNH01000951.1_21	QGNH01000951.1	QGNH01000951.1	21	13094	13495	1	D			Anp1 [PF03452.17]				0	False	F
