	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000321.1_1	QGNH01000321.1	QGNH01000321.1	1	205	774	1	E											0	False	F
QGNH01000321.1_2	QGNH01000321.1	QGNH01000321.1	2	800	1081	1	E											0	False	F
QGNH01000321.1_3	QGNH01000321.1	QGNH01000321.1	3	1088	1720	1	E											0	False	F
QGNH01000321.1_4	QGNH01000321.1	QGNH01000321.1	4	1736	3256	1	E											0	False	F
QGNH01000321.1_5	QGNH01000321.1	QGNH01000321.1	5	3210	3818	1	E											0	False	F
QGNH01000321.1_6	QGNH01000321.1	QGNH01000321.1	6	3851	5761	1	E	YP_005098309.1	YP_005098309.1 terminase large subunit [Synechococcus phage S-CBS4]	False	0.189	85.0	1.325e-15		VOG01311	REFSEQ terminase; Xu	Xu	0	False	F
QGNH01000321.1_7	QGNH01000321.1	QGNH01000321.1	7	5768	8944	1	D							Photosynthesis system II assembly factor YCF48 [PF14870.9]				0	False	F
QGNH01000321.1_8	QGNH01000321.1	QGNH01000321.1	8	8944	9681	1	D	YP_007673458.1	YP_007673458.1 hydrolase [Cellulophaga phage phiST]	False	0.32	105.0	8.022e-24	Collagen triple helix repeat (20 copies) [PF01391.21]; Major tropism determinant N-terminal domain [PF18454.4]	VOG00307	REFSEQ minor tail protein; Xu	Xu	0	False	F
QGNH01000321.1_9	QGNH01000321.1	QGNH01000321.1	9	9702	10958	1	E											0	False	F
QGNH01000321.1_10	QGNH01000321.1	QGNH01000321.1	10	10973	12217	1	E											0	False	F
QGNH01000321.1_11	QGNH01000321.1	QGNH01000321.1	11	12226	12606	1	E											0	False	F
