	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001186.1_1	QGNH01001186.1	QGNH01001186.1	1	1	492	1	E											0	False	F
QGNH01001186.1_2	QGNH01001186.1	QGNH01001186.1	2	710	1345	-1	E											0	False	F
QGNH01001186.1_3	QGNH01001186.1	QGNH01001186.1	3	2035	2802	1	E											0	False	F
QGNH01001186.1_4	QGNH01001186.1	QGNH01001186.1	4	2768	3109	-1	E											0	False	F
QGNH01001186.1_5	QGNH01001186.1	QGNH01001186.1	5	3814	5325	1	D	YP_009600161.1	YP_009600161.1 portal protein [Dinoroseobacter phage vB_DshS-R5C]	False	0.317	235.0	1.311e-64	Domain of unknown function (DUF4055) [PF13264.9]	VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xp;Xr;Xs	0	False	VF
QGNH01001186.1_6	QGNH01001186.1	QGNH01001186.1	6	5330	6109	1	E	YP_239277.1	YP_239277.1 putative phage structural protein [Xanthomonas phage Xp15]	False	0.32	119.0	2.451e-28		VOG00977	sp|Q38580|SCAF_BPSPP Capsid assembly scaffolding protein; Xs	Xs	0	False	V
QGNH01001186.1_7	QGNH01001186.1	QGNH01001186.1	7	6136	7146	1	D	YP_003347610.1	YP_003347610.1 major head protein [Enterococcus phage phiFL3A]	False	0.498	309.0	1.698e-92	Major capsid protein 13-like [PF20036.2]	VOG08005	sp|A0A0H5AXT3|CAPSD_BPK21 Major capsid protein; Xs	Xs	0	False	VF
QGNH01001186.1_8	QGNH01001186.1	QGNH01001186.1	8	7220	7453	1	E											0	False	F
QGNH01001186.1_9	QGNH01001186.1	QGNH01001186.1	9	7630	8073	1	E											0	False	F
QGNH01001186.1_10	QGNH01001186.1	QGNH01001186.1	10	8087	8683	1	D	YP_006989816.1	YP_006989816.1 head-tail adaptor Ad1 [Caulobacter phage CcrSwift]	False	0.297	65.0	5.007e-11	Putative DnaT-like ssDNA binding protein [PF20557.1]	VOG01527	REFSEQ head-tail adaptor Ad1; Xu	Xu	0	False	F
QGNH01001186.1_11	QGNH01001186.1	QGNH01001186.1	11	8829	9116	-1	E											0	False	F
QGNH01001186.1_12	QGNH01001186.1	QGNH01001186.1	12	9504	10085	-1	E											0	False	F
QGNH01001186.1_13	QGNH01001186.1	QGNH01001186.1	13	10170	10751	-1	E											0	False	F
QGNH01001186.1_14	QGNH01001186.1	QGNH01001186.1	14	10864	11181	1	E											0	False	F
