	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
AY190604_AY190604.2_1	AY190604	AY190604.2	1	1970	2875	1	E											0
AY190604_AY190604.2_2	AY190604	AY190604.2	2	2979	3320	1	E											0
AY190604_AY190604.2_3	AY190604	AY190604.2	3	3313	3663	1	E											0
AY190604_AY190604.2_4	AY190604	AY190604.2	4	3987	4346	1	E											0
AY190604_AY190604.2_5	AY190604	AY190604.2	5	4446	4736	1	E											0
AY190604_AY190604.2_6	AY190604	AY190604.2	6	4744	4881	1	E											0
AY190604_AY190604.2_7	AY190604	AY190604.2	7	5112	5255	1	E											0
AY190604_AY190604.2_8	AY190604	AY190604.2	8	5252	5530	1	E											0
AY190604_AY190604.2_9	AY190604	AY190604.2	9	5530	5637	1	E											0
AY190604_AY190604.2_10	AY190604	AY190604.2	10	5641	5889	1	E											0
AY190604_AY190604.2_11	AY190604	AY190604.2	11	5889	6008	1	E											0
AY190604_AY190604.2_12	AY190604	AY190604.2	12	6005	6673	1	E											0
AY190604_AY190604.2_13	AY190604	AY190604.2	13	6692	7057	1	E											0
AY190604_AY190604.2_14	AY190604	AY190604.2	14	7054	7323	1	E											0
AY190604_AY190604.2_15	AY190604	AY190604.2	15	7605	7781	1	E											0
AY190604_AY190604.2_16	AY190604	AY190604.2	16	7781	7969	1	E											0
AY190604_AY190604.2_17	AY190604	AY190604.2	17	7986	8837	1	E											0
AY190604_AY190604.2_18	AY190604	AY190604.2	18	8834	9052	1	E											0
AY190604_AY190604.2_19	AY190604	AY190604.2	19	9123	9776	1	E											0
AY190604_AY190604.2_20	AY190604	AY190604.2	20	9784	10116	1	E											0
AY190604_AY190604.2_21	AY190604	AY190604.2	21	10138	10290	1	E											0
AY190604_AY190604.2_22	AY190604	AY190604.2	22	10371	12167	1	D										Helicase C-terminal domain [PF13307.9]; Type III restriction enzyme, res subunit [PF04851.18]	0
AY190604_AY190604.2_23	AY190604	AY190604.2	23	12217	12615	1	E											0
AY190604_AY190604.2_24	AY190604	AY190604.2	24	12615	12881	1	E											0
AY190604_AY190604.2_25	AY190604	AY190604.2	25	13034	13210	1	E											0
AY190604_AY190604.2_26	AY190604	AY190604.2	26	13210	13629	1	E											0
AY190604_AY190604.2_27	AY190604	AY190604.2	27	13632	14063	1	E											0
AY190604_AY190604.2_28	AY190604	AY190604.2	28	14063	14200	1	E											0
AY190604_AY190604.2_29	AY190604	AY190604.2	29	14197	14472	1	E											0
AY190604_AY190604.2_30	AY190604	AY190604.2	30	14469	14921	1	E											0
AY190604_AY190604.2_31	AY190604	AY190604.2	31	14918	15214	1	E											0
AY190604_AY190604.2_32	AY190604	AY190604.2	32	15214	15546	1	E											0
AY190604_AY190604.2_33	AY190604	AY190604.2	33	15539	15721	1	E											0
AY190604_AY190604.2_34	AY190604	AY190604.2	34	16045	16509	-1	D										ERCC4 domain [PF02732.18]	0
AY190604_AY190604.2_35	AY190604	AY190604.2	35	16506	16985	-1	E											0
AY190604_AY190604.2_36	AY190604	AY190604.2	36	17278	17763	1	E											0
AY190604_AY190604.2_37	AY190604	AY190604.2	37	17760	18311	-1	E											0
AY190604_AY190604.2_38	AY190604	AY190604.2	38	18629	19504	1	D			MER0807710	I87	MER0807710 - family I87 unassigned peptidase inhibitors () [I87.UPW]#I87#{inhibitor unit: 89-331}~source R4TJL2~	True	432.0	1.117e-135	0.855	SPFH domain / Band 7 family [PF01145.28]	0
AY190604_AY190604.2_39	AY190604	AY190604.2	39	19506	19640	1	E											0
AY190604_AY190604.2_40	AY190604	AY190604.2	40	19823	20230	1	E											0
AY190604_AY190604.2_41	AY190604	AY190604.2	41	20359	20571	1	E											0
AY190604_AY190604.2_42	AY190604	AY190604.2	42	20979	21941	1	E											0
AY190604_AY190604.2_43	AY190604	AY190604.2	43	21992	22243	1	E											0
AY190604_AY190604.2_44	AY190604	AY190604.2	44	22321	23814	1	E											0
AY190604_AY190604.2_45	AY190604	AY190604.2	45	23857	25092	1	E											0
AY190604_AY190604.2_46	AY190604	AY190604.2	46	25089	26270	1	E											0
AY190604_AY190604.2_47	AY190604	AY190604.2	47	26359	26784	1	E											0
AY190604_AY190604.2_48	AY190604	AY190604.2	48	26784	27134	1	E											0
AY190604_AY190604.2_49	AY190604	AY190604.2	49	27153	27539	1	E											0
