locus_tag	ftype	length_bp	gene	EC_number	COG	product
KJPJPJOK_00001	CDS	249				hypothetical protein
KJPJPJOK_00002	CDS	1047	egsA	1.1.1.261	COG0371	Glycerol-1-phosphate dehydrogenase [NAD(P)+]
KJPJPJOK_00003	CDS	408				hypothetical protein
KJPJPJOK_00004	CDS	600				hypothetical protein
KJPJPJOK_00005	CDS	684	nth_1	4.2.99.18		Endonuclease III
KJPJPJOK_00006	CDS	213				hypothetical protein
KJPJPJOK_00007	CDS	480				hypothetical protein
KJPJPJOK_00008	CDS	810				hypothetical protein
KJPJPJOK_00009	CDS	609	petE_1			Plastocyanin
KJPJPJOK_00010	CDS	390				hypothetical protein
KJPJPJOK_00011	CDS	801	petB			Cytochrome b6
KJPJPJOK_00012	CDS	762	petD			Cytochrome b6-f complex subunit 4
KJPJPJOK_00013	CDS	333				hypothetical protein
KJPJPJOK_00014	CDS	270				hypothetical protein
KJPJPJOK_00015	CDS	441				hypothetical protein
KJPJPJOK_00016	CDS	684	nadK_1	2.7.1.23		NAD kinase
KJPJPJOK_00017	CDS	1317				hypothetical protein
KJPJPJOK_00018	CDS	780				hypothetical protein
KJPJPJOK_00019	CDS	282				hypothetical protein
KJPJPJOK_00020	CDS	681	dnaJ_1			Chaperone protein DnaJ
KJPJPJOK_00021	CDS	1803	tolB_1			Tol-Pal system protein TolB
KJPJPJOK_00022	CDS	462				hypothetical protein
KJPJPJOK_00023	CDS	729				hypothetical protein
KJPJPJOK_00024	CDS	1011				hypothetical protein
KJPJPJOK_00025	CDS	465				hypothetical protein
KJPJPJOK_00026	CDS	150				hypothetical protein
KJPJPJOK_00027	CDS	417	icmF_1	5.4.99.13		Fused isobutyryl-CoA mutase
KJPJPJOK_00028	CDS	1071	icmF_2	5.4.99.13		Fused isobutyryl-CoA mutase
KJPJPJOK_00029	CDS	987				hypothetical protein
KJPJPJOK_00030	CDS	732	cinA_1			Putative competence-damage inducible protein
KJPJPJOK_00031	CDS	318	mdtJ			Spermidine export protein MdtJ
KJPJPJOK_00032	CDS	1023	adh_1	1.1.1.1	COG1064	NAD-dependent alcohol dehydrogenase
KJPJPJOK_00033	CDS	1485	proS	6.1.1.15	COG0442	Proline--tRNA ligase
KJPJPJOK_00034	CDS	501				hypothetical protein
KJPJPJOK_00035	CDS	1932				hypothetical protein
