	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_028837_1	NC_028837	NC_028837	1	50	364	1	D			YP_009836331.1	YP_009836331.1 terminase small subunit [Paenibacillus phage PBL1c]	False	0.921	203	3.951e-60								Phage terminase, small subunit [PF05119.15]	VOG00738	REFSEQ terminase small subunit; Xu	Xu	0	False	TF
NC_028837_2	NC_028837	NC_028837	2	339	2069	1	D			YP_008320338.1	YP_008320338.1 terminase large subunit [Paenibacillus phage phiIBB_P123]	True	0.971	1180	0.0								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	TF
NC_028837_3	NC_028837	NC_028837	3	2084	3319	1	D			YP_009201913.1	YP_009201913.1 portal protein [Paenibacillus phage Xenia]	True	0.975	846	4.605e-277								Phage portal protein [PF04860.15]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xh;Xp;Xr;Xs	0	False	VTF
NC_028837_4	NC_028837	NC_028837	4	3309	4025	1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	YP_009836334.1	YP_009836334.1 head maturation protease [Paenibacillus phage PBL1c]	True	0.946	475	6.317e-152	MER1066596	S49A	MER1066596 - subfamily S49A unassigned non-peptidase homologues (Paenibacillus larvae) [S49.UNA]#S49A#{peptidase unit: 9-178}~source W2E9A0~	False	0.934	335.0	4.636999999999999e-103	Clp protease [PF00574.26]; Serine dehydrogenase proteinase [PF01972.19]	VOG07465	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xh;Xs	0	False	VPTF
NC_028837_5	NC_028837	NC_028837	5	4022	5152	1	E			YP_009838636.1	YP_009838636.1 major capsid protein [Paenibacillus phage Yyerffej]	True	0.926	731	8.105999999999999e-238									VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	VTF
NC_028837_6	NC_028837	NC_028837	6	5305	5568	1	D			YP_009201917.1	YP_009201917.1 head-tail adaptor Ad1 [Paenibacillus phage Xenia]	False	0.93	172	8.834e-50								Phage gp6-like head-tail connector protein [PF05135.16]	VOG00201	REFSEQ head-tail adaptor Ad1; Xu	Xu	0	False	T
NC_028837_7	NC_028837	NC_028837	7	5565	5882	1	D			YP_009593417.1	YP_009593417.1 head closure Hc1 [Paenibacillus phage Willow]	False	1.0	226	4.535e-68								Phage head-tail joining protein [PF05521.14]	VOG00080	sp|O48446|HCP16_BPSPP Head completion protein gp16; XpXrXs	Xp;Xr;Xs	0	False	VT
NC_028837_8	NC_028837	NC_028837	8	5882	6310	1	E			YP_009195199.1	YP_009195199.1 hypothetical protein AVV26_gp09 [Paenibacillus phage HB10c2]	False	0.924	277	3.998e-85												0	False	T
NC_028837_9	NC_028837	NC_028837	9	6294	6689	1	D			YP_009224876.1	YP_009224876.1 tail terminator [Paenibacillus phage Rani]	False	0.928	257	2.3250000000000003e-78								Protein of unknown function (DUF3168) [PF11367.11]	VOG00447	sp|O48448|COMPL_BPSPP Tail completion protein gp17; Xs	Xs	0	False	VT
NC_028837_10	NC_028837	NC_028837	10	6691	7128	1	D			YP_009203213.1	YP_009203213.1 major tail protein [Paenibacillus phage Fern]	False	0.945	290	1.379e-89								Phage tail tube protein [PF06199.14]; Lambda phage tail tube protein, TTP [PF16461.8]	VOG00541	sp|A9CRB8|TAIL_BPMR1 Putative tail protein; Xu	Xu	0	False	T
