KO Id	Name	Level	Count
	lvl1: Metabolism	1	970
	lvl2: Carbohydrate metabolism	2	250
	lvl3: Propanoate metabolism [PATH:ko00640]	3	20
K00005	K00005: gldA; glycerol dehydrogenase	Function	2
	lvl2: Lipid metabolism	2	58
	lvl3: Glycerolipid metabolism [PATH:ko00561]	3	15
	lvl3: Pentose and glucuronate interconversions [PATH:ko00040]	3	8
K00008	K00008: SORD, gutB; L-iditol 2-dehydrogenase	Function	2
	lvl3: Fructose and mannose metabolism [PATH:ko00051]	3	15
K00009	K00009: mtlD; mannitol-1-phosphate 5-dehydrogenase	Function	1
K00012	K00012: UGDH, ugd; UDPglucose 6-dehydrogenase	Function	4
	lvl3: Ascorbate and aldarate metabolism [PATH:ko00053]	3	5
	lvl3: Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	3	34
	lvl2: Glycan biosynthesis and metabolism	2	48
	lvl3: O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	3	20
	lvl2: Amino acid metabolism	2	188
	lvl3: Histidine metabolism [PATH:ko00340]	3	12
K00013	K00013: hisD; histidinol dehydrogenase	Function	1
	lvl3: Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	3	16
K00014	K00014: aroE; shikimate dehydrogenase	Function	1
	lvl3: Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	3	22
K00015	K00015: gyaR, GOR1; glyoxylate reductase	Function	1
	lvl3: Glycolysis / Gluconeogenesis [PATH:ko00010]	3	27
K00016	K00016: LDH, ldh; L-lactate dehydrogenase	Function	8
	lvl3: Pyruvate metabolism [PATH:ko00620]	3	25
	lvl3: Cysteine and methionine metabolism [PATH:ko00270]	3	30
	lvl1: Environmental Information Processing	1	212
	lvl2: Signal transduction	2	85
	lvl3: HIF-1 signaling pathway [PATH:ko04066]	3	5
	lvl1: Organismal Systems	1	57
	lvl2: Endocrine system	2	14
	lvl3: Glucagon signaling pathway [PATH:ko04922]	3	4
	lvl1: Human Diseases	1	103
	lvl2: Cancer: overview	2	10
	lvl3: Central carbon metabolism in cancer [PATH:ko05230]	3	4
	lvl1: Brite Hierarchies	1	1182
	lvl2: Protein families: signaling and cellular processes	2	461
	lvl3: Exosome [BR:ko04147]	3	31
	lvl3: Valine, leucine and isoleucine degradation [PATH:ko00280]	3	9
K00020	K00020: HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	Function	1
	lvl3: Citrate cycle (TCA cycle) [PATH:ko00020]	3	16
K00024	K00024: mdh; malate dehydrogenase	Function	7
	lvl2: Energy metabolism	2	97
	lvl3: Carbon fixation in photosynthetic organisms [PATH:ko00710]	3	9
	lvl3: Carbon fixation pathways in prokaryotes [PATH:ko00720]	3	19
	lvl3: Methane metabolism [PATH:ko00680]	3	18
K00027	K00027: ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)	Function	2
	lvl3: Two-component system [PATH:ko02020]	3	68
K00030	K00030: IDH3; isocitrate dehydrogenase (NAD+)	Function	1
	lvl3: Pentose phosphate pathway [PATH:ko00030]	3	15
K00033	K00033: PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	Function	2
	lvl2: Metabolism of other amino acids	2	34
	lvl3: Glutathione metabolism [PATH:ko00480]	3	7
K00034	K00034: gdh; glucose 1-dehydrogenase	Function	1
	lvl3: Steroid hormone biosynthesis [PATH:ko00140]	3	1
K00038	K00038: E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase	Function	1
	lvl3: Glycerophospholipid metabolism [PATH:ko00564]	3	16
K00057	K00057: gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)	Function	1
K00058	K00058: serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	Function	4
	lvl3: Glycine, serine and threonine metabolism [PATH:ko00260]	3	27
	lvl3: Fatty acid biosynthesis [PATH:ko00061]	3	11
K00059	K00059: fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase	Function	4
	lvl2: Metabolism of cofactors and vitamins	2	112
	lvl3: Biotin metabolism [PATH:ko00780]	3	5
	lvl2: Biosynthesis of other secondary metabolites	2	37
	lvl3: Prodigiosin biosynthesis [PATH:ko00333]	3	4
	lvl2: Protein families: metabolism	2	196
	lvl3: Lipid biosynthesis proteins [BR:ko01004]	3	14
K00060	K00060: tdh; threonine 3-dehydrogenase	Function	1
K00067	K00067: rfbD, rmlD; dTDP-4-dehydrorhamnose reductase	Function	3
	lvl2: Metabolism of terpenoids and polyketides	2	31
	lvl3: Polyketide sugar unit biosynthesis [PATH:ko00523]	3	3
	lvl3: Streptomycin biosynthesis [PATH:ko00521]	3	6
K00075	K00075: murB; UDP-N-acetylmuramate dehydrogenase	Function	3
	lvl3: Peptidoglycan biosynthesis [PATH:ko00550]	3	22
	lvl3: Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	3	32
	lvl3: Pantothenate and CoA biosynthesis [PATH:ko00770]	3	11
K00077	K00077: panE, apbA; 2-dehydropantoate 2-reductase	Function	1
	lvl2: Nucleotide metabolism	2	81
	lvl3: Purine metabolism [PATH:ko00230]	3	45
K00088	K00088: IMPDH, guaB; IMP dehydrogenase	Function	3
	lvl2: Xenobiotics biodegradation and metabolism	2	34
	lvl3: Drug metabolism - other enzymes [PATH:ko00983]	3	7
K00096	K00096: araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+]	Function	1
	lvl3: Terpenoid backbone biosynthesis [PATH:ko00900]	3	12
K00099	K00099: dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase	Function	1
K00104	K00104: glcD; glycolate oxidase	Function	1
K00111	K00111: glpA, glpD; glycerol-3-phosphate dehydrogenase	Function	1
K00116	K00116: mqo; malate dehydrogenase (quinone)	Function	2
K00124	K00124: fdoH, fdsB; formate dehydrogenase iron-sulfur subunit	Function	2
K00131	K00131: gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)	Function	2
K00133	K00133: asd; aspartate-semialdehyde dehydrogenase	Function	4
	lvl3: Lysine biosynthesis [PATH:ko00300]	3	11
	lvl3: Monobactam biosynthesis [PATH:ko00261]	3	4
K00134	K00134: GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	Function	9
	lvl2: Infectious disease: bacterial	2	20
	lvl3: Pathogenic Escherichia coli infection [PATH:ko05130]	3	1
	lvl3: Salmonella infection [PATH:ko05132]	3	4
	lvl2: Neurodegenerative disease	2	20
	lvl3: Alzheimer disease [PATH:ko05010]	3	2
	lvl2: Cardiovascular disease	2	10
	lvl3: Diabetic cardiomyopathy [PATH:ko05415]	3	4
	lvl2: Protein families: genetic information processing	2	525
	lvl3: Membrane trafficking [BR:ko04131]	3	8
