	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001380.1_1	QGNH01001380.1	QGNH01001380.1	1	199	1245	1	D	YP_010110096.1	YP_010110096.1 tyrosine integrase [Gordonia phage Clown]	False	0.212	66.0	3.252e-10								Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF13495.9]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	False	VF
QGNH01001380.1_2	QGNH01001380.1	QGNH01001380.1	2	1252	1512	-1	E																		0	False	F
QGNH01001380.1_3	QGNH01001380.1	QGNH01001380.1	3	1975	2607	-1	E																		0	False	F
QGNH01001380.1_4	QGNH01001380.1	QGNH01001380.1	4	2610	2819	-1	E																		0	False	F
QGNH01001380.1_5	QGNH01001380.1	QGNH01001380.1	5	3446	3682	1	E																		0	False	F
QGNH01001380.1_6	QGNH01001380.1	QGNH01001380.1	6	4049	4732	1	D	YP_009100061.1	YP_009100061.1 DNA methyltransferase [Mesorhizobium phage vB_MloP_Lo5R7ANS]	False	0.791	337.0	2.303e-104								MT-A70 [PF05063.17]	VOG03909	sp|P43641|MTMU_MYCSP Type II methyltransferase M.MunI; XhXp	Xh;Xp	0	False	F
QGNH01001380.1_7	QGNH01001380.1	QGNH01001380.1	7	4729	5319	-1	D	YP_009100060.1	YP_009100060.1 restriction endonuclease [Mesorhizobium phage vB_MloP_Lo5R7ANS]	False	0.566	211.0	4.908e-61								Restriction endonuclease BglII [PF09195.14]				0	False	F
QGNH01001380.1_8	QGNH01001380.1	QGNH01001380.1	8	5419	5607	-1	E																		0	False	
QGNH01001380.1_9	QGNH01001380.1	QGNH01001380.1	9	5609	5803	-1	E																		0	False	
QGNH01001380.1_10	QGNH01001380.1	QGNH01001380.1	10	5813	6526	-1	E																		0	False	
QGNH01001380.1_11	QGNH01001380.1	QGNH01001380.1	11	6662	6916	-1	E																		0	False	
QGNH01001380.1_12	QGNH01001380.1	QGNH01001380.1	12	6907	7671	-1	E															VOG01525	sp|O64245|VG54_BPMD2 Gene 54 protein; Xu	Xu	0	False	
QGNH01001380.1_13	QGNH01001380.1	QGNH01001380.1	13	7672	7893	-1	E																		0	False	
QGNH01001380.1_14	QGNH01001380.1	QGNH01001380.1	14	7898	8788	-1	D	YP_006546279.1	YP_006546279.1 peptidase [Thermoanaerobacterium phage THSA-485A]	False	0.256	89.0	5.194e-18	MER0703797	C01B	MER0703797 - subfamily C1B unassigned peptidases (Paenibacillus terrae) [C01.UPB]#C01B#{peptidase unit: 38-247}~source A0A0D7X1N0~	False	77.0	7.3e-14	0.267	Papain family cysteine protease [PF00112.26]	VOG04780	REFSEQ hypothetical protein; Xu	Xu	0	False	P
QGNH01001380.1_15	QGNH01001380.1	QGNH01001380.1	15	8902	9543	1	E																		0	False	
QGNH01001380.1_16	QGNH01001380.1	QGNH01001380.1	16	9540	11408	-1	E																		0	False	
QGNH01001380.1_17	QGNH01001380.1	QGNH01001380.1	17	11408	13180	-1	E																		0	False	
