	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000543.1_1	QGNH01000543.1	QGNH01000543.1	1	3	215	1	E															0	False	F
QGNH01000543.1_2	QGNH01000543.1	QGNH01000543.1	2	287	922	1	E															0	False	F
QGNH01000543.1_3	QGNH01000543.1	QGNH01000543.1	3	919	1122	1	E															0	False	F
QGNH01000543.1_4	QGNH01000543.1	QGNH01000543.1	4	1119	1652	1	E															0	False	F
QGNH01000543.1_5	QGNH01000543.1	QGNH01000543.1	5	1645	1902	1	E															0	False	F
QGNH01000543.1_6	QGNH01000543.1	QGNH01000543.1	6	1916	2173	1	E															0	False	F
QGNH01000543.1_7	QGNH01000543.1	QGNH01000543.1	7	2166	2345	1	E															0	False	F
QGNH01000543.1_8	QGNH01000543.1	QGNH01000543.1	8	2338	2931	1	E															0	False	F
QGNH01000543.1_9	QGNH01000543.1	QGNH01000543.1	9	3063	3545	1	E															0	False	F
QGNH01000543.1_10	QGNH01000543.1	QGNH01000543.1	10	3622	3924	1	E															0	False	F
QGNH01000543.1_11	QGNH01000543.1	QGNH01000543.1	11	3914	4195	1	E															0	False	F
QGNH01000543.1_12	QGNH01000543.1	QGNH01000543.1	12	4102	4359	-1	E															0	False	F
QGNH01000543.1_13	QGNH01000543.1	QGNH01000543.1	13	4370	5356	-1	E															0	False	F
QGNH01000543.1_14	QGNH01000543.1	QGNH01000543.1	14	5418	5870	-1	E															0	False	
QGNH01000543.1_15	QGNH01000543.1	QGNH01000543.1	15	5882	6223	-1	E															0	False	
QGNH01000543.1_16	QGNH01000543.1	QGNH01000543.1	16	6226	6468	-1	E															0	False	
QGNH01000543.1_17	QGNH01000543.1	QGNH01000543.1	17	6471	6704	-1	E															0	False	
QGNH01000543.1_18	QGNH01000543.1	QGNH01000543.1	18	6958	7266	1	E															0	False	
QGNH01000543.1_19	QGNH01000543.1	QGNH01000543.1	19	7358	7924	1	E															0	False	
QGNH01000543.1_20	QGNH01000543.1	QGNH01000543.1	20	7951	8196	1	E															0	False	
QGNH01000543.1_21	QGNH01000543.1	QGNH01000543.1	21	8148	8507	1	E															0	False	
QGNH01000543.1_22	QGNH01000543.1	QGNH01000543.1	22	8510	8725	1	E															0	False	
QGNH01000543.1_23	QGNH01000543.1	QGNH01000543.1	23	8728	9048	1	E															0	False	
QGNH01000543.1_24	QGNH01000543.1	QGNH01000543.1	24	9045	10352	1	D							Alginate lyase [PF05426.15]	PL38	PL38 endo-beta-1,4-glucuronan lyase (EC 4.2.2.14)	4.2.2.14,4.2.2.-	PL38.hmm				0	False	
