	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_029007_NC_029007_1	NC_029007	NC_029007	1	1773	1997	1	E								0
NC_029007_NC_029007_2	NC_029007	NC_029007	2	2153	2752	1	E								0
NC_029007_NC_029007_3	NC_029007	NC_029007	3	2933	3214	1	E								0
NC_029007_NC_029007_4	NC_029007	NC_029007	4	3189	3461	1	E								0
NC_029007_NC_029007_5	NC_029007	NC_029007	5	3496	3612	1	E								0
NC_029007_NC_029007_6	NC_029007	NC_029007	6	3599	3829	1	E								0
NC_029007_NC_029007_7	NC_029007	NC_029007	7	3834	4184	1	E								0
NC_029007_NC_029007_8	NC_029007	NC_029007	8	4186	4419	1	E								0
NC_029007_NC_029007_9	NC_029007	NC_029007	9	4429	4554	1	E								0
NC_029007_NC_029007_10	NC_029007	NC_029007	10	4773	5030	1	E								0
NC_029007_NC_029007_11	NC_029007	NC_029007	11	5032	5445	1	E								0
NC_029007_NC_029007_12	NC_029007	NC_029007	12	5442	5720	1	C	K02935	large subunit ribosomal protein L7/L12	Ribosomal protein L7/L12 C-terminal domain [PF00542.22]					0
NC_029007_NC_029007_13	NC_029007	NC_029007	13	5717	5890	1	E								0
NC_029007_NC_029007_14	NC_029007	NC_029007	14	5883	6212	1	E								0
NC_029007_NC_029007_15	NC_029007	NC_029007	15	6225	6440	1	E								0
NC_029007_NC_029007_16	NC_029007	NC_029007	16	6437	6724	1	E								0
NC_029007_NC_029007_17	NC_029007	NC_029007	17	6696	6860	1	E								0
NC_029007_NC_029007_18	NC_029007	NC_029007	18	6871	7854	1	E								0
NC_029007_NC_029007_19	NC_029007	NC_029007	19	7946	8110	1	E								0
NC_029007_NC_029007_20	NC_029007	NC_029007	20	8207	8503	1	E								0
NC_029007_NC_029007_21	NC_029007	NC_029007	21	8503	8730	1	E								0
NC_029007_NC_029007_22	NC_029007	NC_029007	22	8727	9017	1	E								0
NC_029007_NC_029007_23	NC_029007	NC_029007	23	9027	9839	1	D			Toprim-like [PF13155.9]					0
NC_029007_NC_029007_24	NC_029007	NC_029007	24	9836	11128	1	D			DnaB-like helicase C terminal domain [PF03796.18]; AAA domain [PF13481.9]					0
NC_029007_NC_029007_25	NC_029007	NC_029007	25	11125	11328	1	E								0
NC_029007_NC_029007_26	NC_029007	NC_029007	26	11325	12251	1	D			ATP dependent DNA ligase domain [PF01068.24]; DNA ligase OB-like domain [PF14743.9]					0
NC_029007_NC_029007_27	NC_029007	NC_029007	27	12251	12427	1	E								0
NC_029007_NC_029007_28	NC_029007	NC_029007	28	12427	14802	1	D			DNA polymerase family A [PF00476.23]					0
NC_029007_NC_029007_29	NC_029007	NC_029007	29	14816	15667	1	E								0
NC_029007_NC_029007_30	NC_029007	NC_029007	30	15906	16886	1	E								0
NC_029007_NC_029007_31	NC_029007	NC_029007	31	16855	17253	1	D			Recombination endonuclease VII [PF02945.18]					0
NC_029007_NC_029007_32	NC_029007	NC_029007	32	17250	17588	1	E								0
NC_029007_NC_029007_33	NC_029007	NC_029007	33	17585	18376	1	D			RNase_H superfamily [PF13482.9]					0
NC_029007_NC_029007_34	NC_029007	NC_029007	34	18484	18753	1	E								0
NC_029007_NC_029007_35	NC_029007	NC_029007	35	18750	19325	1	D			dATP/dGTP diphosphohydrolase, N-terminal [PF18909.3]					0
NC_029007_NC_029007_36	NC_029007	NC_029007	36	19267	19461	1	E								0
NC_029007_NC_029007_37	NC_029007	NC_029007	37	19470	21935	1	D			DNA-dependent RNA polymerase [PF00940.22]; DNA-directed RNA polymerase N-terminal [PF14700.9]					0
NC_029007_NC_029007_38	NC_029007	NC_029007	38	22012	22185	1	E								0
NC_029007_NC_029007_39	NC_029007	NC_029007	39	22157	22615	1	E								0
NC_029007_NC_029007_40	NC_029007	NC_029007	40	22603	23007	1	E								0
NC_029007_NC_029007_41	NC_029007	NC_029007	41	23022	24581	1	D			Bacteriophage head to tail connecting protein [PF12236.11]					0
NC_029007_NC_029007_42	NC_029007	NC_029007	42	24578	25405	1	E								0
NC_029007_NC_029007_43	NC_029007	NC_029007	43	25527	26540	1	E								0
NC_029007_NC_029007_44	NC_029007	NC_029007	44	26604	27227	1	D			Tail tubular protein [PF17212.6]					0
NC_029007_NC_029007_45	NC_029007	NC_029007	45	27228	29798	1	E								0
NC_029007_NC_029007_46	NC_029007	NC_029007	46	29809	30789	1	E								0
NC_029007_NC_029007_47	NC_029007	NC_029007	47	30799	33075	1	E								0
NC_029007_NC_029007_48	NC_029007	NC_029007	48	33079	37197	1	E								0
NC_029007_NC_029007_49	NC_029007	NC_029007	49	37261	39405	1	D			Phage T7 tail fibre protein [PF03906.17]; Chaperone of endosialidase [PF13884.9]					0
NC_029007_NC_029007_50	NC_029007	NC_029007	50	39409	39582	1	E								0
NC_029007_NC_029007_51	NC_029007	NC_029007	51	39579	39866	1	E								0
NC_029007_NC_029007_52	NC_029007	NC_029007	52	39866	41650	1	E								0
NC_029007_NC_029007_53	NC_029007	NC_029007	53	41652	41834	1	E								0
NC_029007_NC_029007_54	NC_029007	NC_029007	54	41844	42176	1	E								0
NC_029007_NC_029007_55	NC_029007	NC_029007	55	42176	42661	1	C	K01185	lysozyme [EC:3.2.1.17]	Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_029007_NC_029007_56	NC_029007	NC_029007	56	42658	42984	1	E								0
NC_029007_NC_029007_57	NC_029007	NC_029007	57	43141	43386	1	E								0
NC_029007_NC_029007_58	NC_029007	NC_029007	58	43398	43718	1	E								0
