	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	heme_regulatory_motif_count
GCA_030144915.1_OQ473814.1_1	GCA_030144915.1	OQ473814.1	1	2	259	1	E		0
GCA_030144915.1_OQ473814.1_2	GCA_030144915.1	OQ473814.1	2	361	450	-1	E		0
GCA_030144915.1_OQ473814.1_3	GCA_030144915.1	OQ473814.1	3	447	779	-1	E		0
GCA_030144915.1_OQ473814.1_4	GCA_030144915.1	OQ473814.1	4	779	1486	-1	E		0
GCA_030144915.1_OQ473814.1_5	GCA_030144915.1	OQ473814.1	5	1697	2080	1	E		0
GCA_030144915.1_OQ473814.1_6	GCA_030144915.1	OQ473814.1	6	2092	2316	1	E		0
GCA_030144915.1_OQ473814.1_7	GCA_030144915.1	OQ473814.1	7	2297	2479	1	E		0
GCA_030144915.1_OQ473814.1_8	GCA_030144915.1	OQ473814.1	8	2481	2657	1	D	Ribbon-helix-helix protein, copG family [PF01402.24]	0
GCA_030144915.1_OQ473814.1_9	GCA_030144915.1	OQ473814.1	9	2654	3061	1	E		0
GCA_030144915.1_OQ473814.1_10	GCA_030144915.1	OQ473814.1	10	3036	3344	1	E		0
GCA_030144915.1_OQ473814.1_11	GCA_030144915.1	OQ473814.1	11	3365	3949	1	E		0
GCA_030144915.1_OQ473814.1_12	GCA_030144915.1	OQ473814.1	12	3942	4313	1	E		0
GCA_030144915.1_OQ473814.1_13	GCA_030144915.1	OQ473814.1	13	4336	4773	1	E		0
GCA_030144915.1_OQ473814.1_14	GCA_030144915.1	OQ473814.1	14	4770	5264	1	E		0
GCA_030144915.1_OQ473814.1_15	GCA_030144915.1	OQ473814.1	15	5257	5448	1	E		0
GCA_030144915.1_OQ473814.1_16	GCA_030144915.1	OQ473814.1	16	5441	5764	1	E		0
GCA_030144915.1_OQ473814.1_17	GCA_030144915.1	OQ473814.1	17	5805	6089	1	E		0
GCA_030144915.1_OQ473814.1_18	GCA_030144915.1	OQ473814.1	18	6101	6481	1	E		0
GCA_030144915.1_OQ473814.1_19	GCA_030144915.1	OQ473814.1	19	6493	6909	1	E		0
GCA_030144915.1_OQ473814.1_20	GCA_030144915.1	OQ473814.1	20	6955	7668	1	E		0
GCA_030144915.1_OQ473814.1_21	GCA_030144915.1	OQ473814.1	21	7665	7964	1	E		0
GCA_030144915.1_OQ473814.1_22	GCA_030144915.1	OQ473814.1	22	8007	8234	1	E		0
GCA_030144915.1_OQ473814.1_23	GCA_030144915.1	OQ473814.1	23	8231	8494	1	E		0
GCA_030144915.1_OQ473814.1_24	GCA_030144915.1	OQ473814.1	24	8534	9571	1	E		0
GCA_030144915.1_OQ473814.1_25	GCA_030144915.1	OQ473814.1	25	9573	11180	1	E		0
GCA_030144915.1_OQ473814.1_26	GCA_030144915.1	OQ473814.1	26	11177	11566	1	E		0
GCA_030144915.1_OQ473814.1_27	GCA_030144915.1	OQ473814.1	27	11601	11888	1	E		0
GCA_030144915.1_OQ473814.1_28	GCA_030144915.1	OQ473814.1	28	11941	12231	1	E		0
GCA_030144915.1_OQ473814.1_29	GCA_030144915.1	OQ473814.1	29	12228	12572	1	E		0
GCA_030144915.1_OQ473814.1_30	GCA_030144915.1	OQ473814.1	30	12516	12734	-1	E		0
