	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000926.1_1	QGNH01000926.1	QGNH01000926.1	1	3	941	-1	E																		0	False	F
QGNH01000926.1_2	QGNH01000926.1	QGNH01000926.1	2	1187	1609	-1	E																		0	False	F
QGNH01000926.1_3	QGNH01000926.1	QGNH01000926.1	3	2583	3818	1	E																		0	False	F
QGNH01000926.1_4	QGNH01000926.1	QGNH01000926.1	4	3933	5486	1	E																		0	False	F
QGNH01000926.1_5	QGNH01000926.1	QGNH01000926.1	5	6031	6864	1	E																		0	False	
QGNH01000926.1_6	QGNH01000926.1	QGNH01000926.1	6	7014	7310	-1	E																		0	False	
QGNH01000926.1_7	QGNH01000926.1	QGNH01000926.1	7	7444	9726	-1	E																		0	False	F
QGNH01000926.1_8	QGNH01000926.1	QGNH01000926.1	8	9852	10283	1	E																		0	False	F
QGNH01000926.1_9	QGNH01000926.1	QGNH01000926.1	9	10441	11526	-1	E																		0	False	F
QGNH01000926.1_10	QGNH01000926.1	QGNH01000926.1	10	11706	13904	-1	D	YP_009200780.1	YP_009200780.1 tail protein [Escherichia phage vB_EcoM_AYO145A]	False	65.0	1.769e-09	0.193	MER0218606	I43	MER0218606 - family I43 unassigned peptidase inhibitors (Pedosphaera parvula) [I43.UPW]#I43#{inhibitor unit: 651-718}~source ZP_03628646~	False	70.0	1.557e-10	0.534	Immunoglobulin I-set domain [PF07679.19]; Immunoglobulin domain [PF13927.9]				0	False	PF
QGNH01000926.1_11	QGNH01000926.1	QGNH01000926.1	11	13917	14342	-1	E																		0	False	F
