locus_tag	ftype	length_bp	gene	EC_number	COG	product
CAMPENCD_00001	CDS	1101				hypothetical protein
CAMPENCD_00002	CDS	1011				hypothetical protein
CAMPENCD_00003	CDS	960	cysM	2.5.1.47	COG0031	Cysteine synthase B
CAMPENCD_00004	CDS	1491				hypothetical protein
CAMPENCD_00005	CDS	1686	mcm	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
CAMPENCD_00006	CDS	1056	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
CAMPENCD_00007	CDS	1221				hypothetical protein
CAMPENCD_00008	CDS	333				hypothetical protein
CAMPENCD_00009	CDS	1125	pepT	3.4.11.4	COG2195	Peptidase T
CAMPENCD_00010	CDS	1002	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
CAMPENCD_00011	CDS	768	scpA_1		COG1354	Segregation and condensation protein A
CAMPENCD_00012	CDS	915	rutD	3.5.1.-		Putative aminoacrylate hydrolase RutD
CAMPENCD_00013	CDS	234	atpH_1			ATP synthase subunit c
CAMPENCD_00014	CDS	492	atpF_1			ATP synthase subunit b, sodium ion specific
CAMPENCD_00015	CDS	522	atpH_2		COG0712	ATP synthase subunit delta
CAMPENCD_00016	CDS	1506	atpA_1	7.1.2.2	COG0056	ATP synthase subunit alpha
CAMPENCD_00017	CDS	816				hypothetical protein
CAMPENCD_00018	CDS	618	xpt	2.4.2.22		Xanthine phosphoribosyltransferase
CAMPENCD_00019	CDS	786	tagA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
CAMPENCD_00020	CDS	1059	radA	3.6.4.-	COG1066	DNA repair protein RadA
CAMPENCD_00021	CDS	1626	fdhF	1.17.1.9	COG0243	Formate dehydrogenase H
CAMPENCD_00022	CDS	1218	sfrA	1.-.-.-	COG3383	NADPH-Fe(3+) oxidoreductase subunit alpha
CAMPENCD_00023	CDS	1503				hypothetical protein
CAMPENCD_00024	CDS	486				hypothetical protein
CAMPENCD_00025	CDS	609	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
CAMPENCD_00026	CDS	705	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
CAMPENCD_00027	CDS	1212	uctC	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
CAMPENCD_00028	CDS	516				hypothetical protein
