	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
NC_071059_NC_071059_1	NC_071059	NC_071059	1	108	554	1	C	K07474	phage terminase small subunit	Terminase small subunit [PF03592.19]	0
NC_071059_NC_071059_2	NC_071059	NC_071059	2	541	1845	1	C	K06909	phage terminase large subunit	Phage terminase large subunit [PF04466.16]; Terminase RNAseH like domain [PF17288.5]	0
NC_071059_NC_071059_3	NC_071059	NC_071059	3	1857	3365	1	D			Phage portal protein, SPP1 Gp6-like [PF05133.17]	0
NC_071059_NC_071059_4	NC_071059	NC_071059	4	3372	4595	1	D			Phage minor capsid protein 2 [PF06152.14]	0
NC_071059_NC_071059_5	NC_071059	NC_071059	5	4685	5302	1	D			Phage minor structural protein GP20 [PF06810.14]	0
NC_071059_NC_071059_6	NC_071059	NC_071059	6	5309	6154	1	E				0
NC_071059_NC_071059_7	NC_071059	NC_071059	7	6166	6339	1	D			Rho termination factor, N-terminal domain [PF07498.15]	0
NC_071059_NC_071059_8	NC_071059	NC_071059	8	6357	6746	1	E				0
NC_071059_NC_071059_9	NC_071059	NC_071059	9	6736	7071	1	D			Minor capsid protein [PF10665.12]	0
NC_071059_NC_071059_10	NC_071059	NC_071059	10	7071	7430	1	D			Minor capsid protein [PF11114.11]	0
NC_071059_NC_071059_11	NC_071059	NC_071059	11	7430	7834	1	D			Bacteriophage minor capsid protein [PF12691.10]	0
NC_071059_NC_071059_12	NC_071059	NC_071059	12	7834	8337	1	E				0
NC_071059_NC_071059_13	NC_071059	NC_071059	13	8431	8793	1	E				0
NC_071059_NC_071059_14	NC_071059	NC_071059	14	8786	9445	1	D			Bacteriophage Gp15 protein [PF06854.14]	0
NC_071059_NC_071059_15	NC_071059	NC_071059	15	9462	13886	1	D			Tape measure protein [PF20155.2]	0
NC_071059_NC_071059_16	NC_071059	NC_071059	16	13883	14602	1	E				0
NC_071059_NC_071059_17	NC_071059	NC_071059	17	14599	16125	1	E				0
NC_071059_NC_071059_18	NC_071059	NC_071059	18	16128	18593	1	D			GDSL-like Lipase/Acylhydrolase family [PF13472.9]	0
NC_071059_NC_071059_19	NC_071059	NC_071059	19	18764	19039	1	E				0
NC_071059_NC_071059_20	NC_071059	NC_071059	20	19036	19278	1	D			Bacteriophage holin [PF04531.16]	0
NC_071059_NC_071059_21	NC_071059	NC_071059	21	19280	19882	1	D			Bacteriophage peptidoglycan hydrolase [PF05382.16]; Target recognition domain of lytic exoenzyme [PF16775.8]	0
NC_071059_NC_071059_22	NC_071059	NC_071059	22	20341	20568	1	D			Target recognition domain of lytic exoenzyme [PF16775.8]	0
NC_071059_NC_071059_23	NC_071059	NC_071059	23	20970	21290	1	D			Streptococcus thermophilus bacteriophage Gp111 protein [PF07410.14]	0
NC_071059_NC_071059_24	NC_071059	NC_071059	24	21311	21862	1	E				0
NC_071059_NC_071059_25	NC_071059	NC_071059	25	22049	22252	1	D			Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF12844.10]; Cro/C1-type HTH DNA-binding domain [PF13443.9]; Helix-turn-helix domain [PF13560.9]; Antitoxin component of bacterial toxin-antitoxin system, MqsA [PF15731.8]	0
NC_071059_NC_071059_26	NC_071059	NC_071059	26	22464	23156	1	E				0
NC_071059_NC_071059_27	NC_071059	NC_071059	27	23307	24056	1	C	K07741	anti-repressor protein	Phage antirepressor protein KilAC domain [PF03374.17]; AntA/AntB antirepressor [PF08346.15]	0
NC_071059_NC_071059_28	NC_071059	NC_071059	28	24248	24439	1	E				0
NC_071059_NC_071059_29	NC_071059	NC_071059	29	24676	25011	1	C	K02315	DNA replication protein DnaC	N-terminal phage replisome organiser (Phage_rep_org_N) [PF09681.13]	0
NC_071059_NC_071059_30	NC_071059	NC_071059	30	25059	25268	1	D			Protein of unknown function (DUF3915) [PF13054.9]	0
NC_071059_NC_071059_31	NC_071059	NC_071059	31	25252	25650	1	D			ORF6C domain [PF10552.12]	0
NC_071059_NC_071059_32	NC_071059	NC_071059	32	25778	25987	1	D			Protein of unknown function (DUF739) [PF05339.14]	0
NC_071059_NC_071059_33	NC_071059	NC_071059	33	26020	26163	1	E				0
NC_071059_NC_071059_34	NC_071059	NC_071059	34	26454	27290	1	C	K02086	DNA replication protein	N-terminal phage replisome organiser (Phage_rep_org_N) [PF09681.13]; Replication initiation and membrane attachment [PF07261.14]	0
NC_071059_NC_071059_35	NC_071059	NC_071059	35	27302	28084	1	C	K02315	DNA replication protein DnaC	IstB-like ATP binding protein [PF01695.20]; Bacterial dnaA  protein [PF00308.21]	1
NC_071059_NC_071059_36	NC_071059	NC_071059	36	28397	29224	1	C	K07455	recombination protein RecT	RecT family [PF03837.17]	0
NC_071059_NC_071059_37	NC_071059	NC_071059	37	29217	30053	1	D			PDDEXK-like domain of unknown function (DUF3799) [PF12684.10]	0
NC_071059_NC_071059_38	NC_071059	NC_071059	38	30073	30408	1	E				0
NC_071059_NC_071059_39	NC_071059	NC_071059	39	30392	30718	1	E				0
NC_071059_NC_071059_40	NC_071059	NC_071059	40	30737	31183	1	C	K03111	single-strand DNA-binding protein	Single-strand binding protein family [PF00436.28]	0
NC_071059_NC_071059_41	NC_071059	NC_071059	41	31193	31654	1	C	K01160	crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]	Endodeoxyribonuclease RusA [PF05866.14]	0
NC_071059_NC_071059_42	NC_071059	NC_071059	42	31651	31887	1	E				0
NC_071059_NC_071059_43	NC_071059	NC_071059	43	31900	32487	1	D			Protein of unknown function (DUF1642) [PF07852.14]	0
NC_071059_NC_071059_44	NC_071059	NC_071059	44	32692	33204	1	D			Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Cro/C1-type HTH DNA-binding domain [PF13443.9]	0
NC_071059_NC_071059_45	NC_071059	NC_071059	45	33201	34064	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	C-5 cytosine-specific DNA methylase [PF00145.20]	0
NC_071059_NC_071059_46	NC_071059	NC_071059	46	34061	34348	1	D			Protein of unknown function (DUF1372) [PF07116.14]	0
NC_071059_NC_071059_47	NC_071059	NC_071059	47	34345	35052	1	D			Protein of unknown function (DUF1340) [PF07067.14]	0
NC_071059_NC_071059_48	NC_071059	NC_071059	48	35476	35892	1	E				0
