L1	L2	L3	KO	Function	EC	Count
Nucleotide transport and metabolism	Purine nucleoside phosphorylase		COG0005	XapA:Purine salvage		1
Translation, ribosomal structure and biogenesis	Glutamyl- or glutaminyl-tRNA synthetase		COG0008	GlnS:Heme biosynthesis		1
Nucleotide transport and metabolism	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)		COG0026	PurK:Purine biosynthesis		1
Amino acid transport and metabolism	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme		COG0028	IlvB:Isoleucine, leucine, valine biosynthesis		1
Coenzyme transport and metabolism	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme		COG0028	IlvB:Isoleucine, leucine, valine biosynthesis		1
Amino acid transport and metabolism	Cysteine synthase		COG0031	CysK:Cysteine biosynthesis		1
Energy production and conversion	Malate/lactate dehydrogenase		COG0039	Mdh:TCA cycle		1
Nucleotide transport and metabolism	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase		COG0041	PurE:Purine biosynthesis		1
Coenzyme transport and metabolism	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)		COG0054	RibE:Riboflavin/FAD biosynthesis		1
Amino acid transport and metabolism	Ketol-acid reductoisomerase		COG0059	IlvC:Isoleucine, leucine, valine biosynthesis		1
Coenzyme transport and metabolism	Ketol-acid reductoisomerase		COG0059	IlvC:Isoleucine, leucine, valine biosynthesis		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L11		COG0080	RplK:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L1		COG0081	RplA:Ribosome 50S subunit		1
Coenzyme transport and metabolism	Phosphoglycerate dehydrogenase or related dehydrogenase		COG0111	SerA:Serine biosynthesis		1
Amino acid transport and metabolism	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase		COG0115	IlvE:Isoleucine, leucine, valine biosynthesis		1
Coenzyme transport and metabolism	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase		COG0115	IlvE:Isoleucine, leucine, valine biosynthesis		1
Translation, ribosomal structure and biogenesis	Histidyl-tRNA synthetase		COG0124	HisS:Aminoacyl-tRNA synthetases		1
Nucleotide transport and metabolism	Thymidylate kinase		COG0125	Tmk:Thymidylate biosynthesis		1
Amino acid transport and metabolism	Dihydroxyacid dehydratase/phosphogluconate dehydratase		COG0129	IlvD:Isoleucine, leucine, valine biosynthesis		1
Carbohydrate transport and metabolism	Dihydroxyacid dehydratase/phosphogluconate dehydratase		COG0129	IlvD:Isoleucine, leucine, valine biosynthesis		1
Amino acid transport and metabolism	Aspartate-semialdehyde dehydrogenase		COG0136	Asd:Lysine biosynthesis		1
Carbohydrate transport and metabolism	Enolase		COG0148	Eno:Glycolysis		1
Secondary metabolites biosynthesis, transport and catabolism	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)		COG0179	YcgM:		1
Translation, ribosomal structure and biogenesis	Tryptophanyl-tRNA synthetase		COG0180	TrpS:Aminoacyl-tRNA synthetases		1
Translation, ribosomal structure and biogenesis	Peptidyl-tRNA hydrolase		COG0193	Pth:Translation factors		1
Nucleotide transport and metabolism	Thymidine phosphorylase		COG0213	DeoA:Pyrimidine salvage		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L7/L12		COG0222	RplL:Ribosome 50S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L10		COG0244	RplJ:Ribosome 50S subunit		1
Transcription	Transcription termination/antitermination protein NusG		COG0250	NusG:		1
Defense mechanisms	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family		COG0251	RidA:Pyrimidine degradation		1
Energy production and conversion	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase		COG0277	GlcD:		1
Energy production and conversion	Acetate kinase		COG0282	AckA:		1
Nucleotide transport and metabolism	Cytidine deaminase		COG0295	Cdd:Pyrimidine salvage		1
Coenzyme transport and metabolism	Riboflavin synthase alpha chain		COG0307	RibC:Riboflavin/FAD biosynthesis		1
Coenzyme transport and metabolism	Biotin-(acetyl-CoA carboxylase) ligase		COG0340	BirA2:Biotin biosynthesis		1
Replication, recombination and repair	Recombinational DNA repair protein RecR		COG0353	RecR:		1
Carbohydrate transport and metabolism	6-phosphogluconate dehydrogenase		COG0362	Gnd:Pentose phosphate pathway		1
Lipid transport and metabolism	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase		COG0365	Acs:		1
Energy production and conversion	Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate		COG0388	Nit2:		1
Secondary metabolites biosynthesis, transport and catabolism	7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily		COG0424	Maf:		1
Replication, recombination and repair	Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains		COG0433	HerA:		1
Amino acid transport and metabolism	Aspartate/methionine/tyrosine aminotransferase		COG0436	AspB:Isoleucine, leucine, valine biosynthesis		1
Amino acid transport and metabolism	Acetolactate synthase, small subunit		COG0440	IlvH:Isoleucine, leucine, valine biosynthesis		1
Nucleotide transport and metabolism	Phosphoribosylpyrophosphate synthetase		COG0462	PrsA:Histidine biosynthesis, Purine biosynthesis		1
Energy production and conversion	Isocitrate/isopropylmalate dehydrogenase		COG0473	LeuB:TCA cycle		1
Amino acid transport and metabolism	Isocitrate/isopropylmalate dehydrogenase		COG0473	LeuB:TCA cycle		1
Carbohydrate transport and metabolism	MFS family permease, includes anhydromuropeptide permease AmpG		COG0477	ProP:		1
Amino acid transport and metabolism	MFS family permease, includes anhydromuropeptide permease AmpG		COG0477	ProP:		1
Inorganic ion transport and metabolism	MFS family permease, includes anhydromuropeptide permease AmpG		COG0477	ProP:		1
General function prediction only	MFS family permease, includes anhydromuropeptide permease AmpG		COG0477	ProP:		1
Energy production and conversion	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit		COG0479	SdhB/FrdB:TCA cycle		1
General function prediction only	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II		COG0491	GloB:		1
Posttranslational modification, protein turnover, chaperones	Thioredoxin reductase		COG0492	TrxB:		1
Replication, recombination and repair	Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE		COG0496	SurE:		1
Coenzyme transport and metabolism	S-adenosylhomocysteine hydrolase		COG0499	SAM1:		1
Carbohydrate transport and metabolism	Sugar or nucleoside kinase, ribokinase family		COG0524	RbsK:Glycolysis		1
Posttranslational modification, protein turnover, chaperones	Thiol-disulfide isomerase or thioredoxin		COG0526	TrxA:		1
Amino acid transport and metabolism	Aspartate kinase		COG0527	MetL1:Lysine biosynthesis		1
Amino acid transport and metabolism	Serine transporter YbeC, amino acid:H+ symporter family		COG0531	PotE:		1
Carbohydrate transport and metabolism	L-2-hydroxyglutarate oxidase LhgO		COG0579	LhgO:		1
Amino acid transport and metabolism	Na+/proline symporter		COG0591	PutP:		1
General function prediction only	Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family		COG0599	YurZ:		1
Amino acid transport and metabolism	ABC-type dipeptide/oligopeptide/nickel transport system, permease component		COG0601	DppB:		1
Inorganic ion transport and metabolism	ABC-type dipeptide/oligopeptide/nickel transport system, permease component		COG0601	DppB:		1
Amino acid transport and metabolism	Cystathionine beta-lyase/cystathionine gamma-synthase		COG0626	MetC:Methionine biosynthesis		1
General function prediction only	Predicted PurR-regulated permease PerM		COG0628	PerM:		1
Coenzyme transport and metabolism	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases		COG0654	UbiH:Ubiquinone biosynthesis		1
Energy production and conversion	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases		COG0654	UbiH:Ubiquinone biosynthesis		1
Amino acid transport and metabolism	Glycine/D-amino acid oxidase (deaminating)		COG0665	DadA:		1
Replication, recombination and repair	Exonuclease III		COG0708	XthA:		1
Cell wall/membrane/envelope biogenesis	Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase		COG0744	MrcB:		1
Amino acid transport and metabolism	ABC-type transport system, periplasmic component		COG0747	DdpA:		1
Transcription	Transcription elongation factor, GreA/GreB family		COG0782	GreA:		1
Energy production and conversion	Cytochrome c biogenesis protein CcdA		COG0785	CcdA:		1
Posttranslational modification, protein turnover, chaperones	Cytochrome c biogenesis protein CcdA		COG0785	CcdA:		1
Transcription	DNA-binding transcriptional regulator, MerR family		COG0789	SoxR:		1
Inorganic ion transport and metabolism	Arsenite efflux pump ArsB, ACR3 family		COG0798	ACR3:		1
Coenzyme transport and metabolism	GTP cyclohydrolase II		COG0807	RibA:Riboflavin/FAD biosynthesis		1
Cell wall/membrane/envelope biogenesis	Mannose-1-phosphate guanylyltransferase		COG0836	CpsB:		1
