	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000720.1_1	QGNH01000720.1	QGNH01000720.1	1	2	1630	-1	E													0	False	F
QGNH01000720.1_2	QGNH01000720.1	QGNH01000720.1	2	1870	2463	-1	E													0	False	F
QGNH01000720.1_3	QGNH01000720.1	QGNH01000720.1	3	2524	2754	-1	E													0	False	F
QGNH01000720.1_4	QGNH01000720.1	QGNH01000720.1	4	2807	3742	-1	E													0	False	F
QGNH01000720.1_5	QGNH01000720.1	QGNH01000720.1	5	3820	4038	-1	E													0	False	F
QGNH01000720.1_6	QGNH01000720.1	QGNH01000720.1	6	4046	4807	-1	E													0	False	F
QGNH01000720.1_7	QGNH01000720.1	QGNH01000720.1	7	4804	4989	-1	E													0	False	F
QGNH01000720.1_8	QGNH01000720.1	QGNH01000720.1	8	5001	5498	-1	E													0	False	
QGNH01000720.1_9	QGNH01000720.1	QGNH01000720.1	9	5607	5882	-1	E													0	False	
QGNH01000720.1_10	QGNH01000720.1	QGNH01000720.1	10	5888	6148	-1	E													0	False	
QGNH01000720.1_11	QGNH01000720.1	QGNH01000720.1	11	6245	6430	-1	E													0	False	
QGNH01000720.1_12	QGNH01000720.1	QGNH01000720.1	12	6436	6615	-1	E													0	False	
QGNH01000720.1_13	QGNH01000720.1	QGNH01000720.1	13	6633	6851	-1	E													0	False	
QGNH01000720.1_14	QGNH01000720.1	QGNH01000720.1	14	6853	7026	-1	E													0	False	
QGNH01000720.1_15	QGNH01000720.1	QGNH01000720.1	15	7045	7614	-1	E													0	False	
QGNH01000720.1_16	QGNH01000720.1	QGNH01000720.1	16	7712	8650	-1	E													0	False	
QGNH01000720.1_17	QGNH01000720.1	QGNH01000720.1	17	8957	9724	-1	E													0	False	
QGNH01000720.1_18	QGNH01000720.1	QGNH01000720.1	18	10765	10962	-1	E													0	False	
QGNH01000720.1_19	QGNH01000720.1	QGNH01000720.1	19	11014	11175	-1	E													0	False	
QGNH01000720.1_20	QGNH01000720.1	QGNH01000720.1	20	11225	11503	-1	E													0	False	
QGNH01000720.1_21	QGNH01000720.1	QGNH01000720.1	21	11500	11838	-1	E													0	False	
QGNH01000720.1_22	QGNH01000720.1	QGNH01000720.1	22	11853	12404	-1	D									Methyltransferase domain [PF13578.9]; O-methyltransferase [PF01596.20]				0	False	MK
QGNH01000720.1_23	QGNH01000720.1	QGNH01000720.1	23	12409	13209	-1	D									GNT-I family [PF03071.18]				0	False	
QGNH01000720.1_24	QGNH01000720.1	QGNH01000720.1	24	13178	13288	-1	E													0	False	
QGNH01000720.1_25	QGNH01000720.1	QGNH01000720.1	25	13288	13773	-1	D									Methyltransferase FkbM domain [PF05050.15]				0	False	
QGNH01000720.1_26	QGNH01000720.1	QGNH01000720.1	26	13836	14189	-1	E													0	False	
QGNH01000720.1_27	QGNH01000720.1	QGNH01000720.1	27	14383	14631	-1	E													0	False	
QGNH01000720.1_28	QGNH01000720.1	QGNH01000720.1	28	14628	15401	-1	D									Methyltransferase FkbM domain [PF05050.15]				0	False	
QGNH01000720.1_29	QGNH01000720.1	QGNH01000720.1	29	15768	16076	-1	E													0	False	
QGNH01000720.1_30	QGNH01000720.1	QGNH01000720.1	30	16089	16268	-1	E													0	False	
QGNH01000720.1_31	QGNH01000720.1	QGNH01000720.1	31	16440	16610	-1	E													0	False	
QGNH01000720.1_32	QGNH01000720.1	QGNH01000720.1	32	16613	16855	-1	E													0	False	
QGNH01000720.1_33	QGNH01000720.1	QGNH01000720.1	33	16857	19469	-1	C	K01921	D-alanine-D-alanine ligase [EC:6.3.2.4]							D-ala D-ala ligase C-terminus [PF07478.16]; ATP-grasp domain [PF13535.9]; RimK-like ATP-grasp domain [PF08443.14]				0	False	
QGNH01000720.1_34	QGNH01000720.1	QGNH01000720.1	34	19749	21005	-1	E													0	False	
QGNH01000720.1_35	QGNH01000720.1	QGNH01000720.1	35	21055	21429	-1	E													0	False	F
QGNH01000720.1_36	QGNH01000720.1	QGNH01000720.1	36	21429	25889	-1	D			YP_009903859.1	YP_009903859.1 tail fiber protein [Achromobacter phage Motura]	False	74.0	1.369e-11	0.485	Repeat of unknown function (DUF5907) [PF19264.2]				0	False	F
QGNH01000720.1_37	QGNH01000720.1	QGNH01000720.1	37	25886	26194	-1	E													0	False	F
