	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_055011_NC_055011_1	NC_055011	NC_055011	1	443	640	-1	E								0
NC_055011_NC_055011_2	NC_055011	NC_055011	2	643	1017	-1	E								0
NC_055011_NC_055011_3	NC_055011	NC_055011	3	1038	1253	-1	E								0
NC_055011_NC_055011_4	NC_055011	NC_055011	4	1246	1569	-1	E								0
NC_055011_NC_055011_5	NC_055011	NC_055011	5	1570	2070	-1	E								0
NC_055011_NC_055011_6	NC_055011	NC_055011	6	2067	2231	-1	E								0
NC_055011_NC_055011_7	NC_055011	NC_055011	7	2243	2614	-1	D			Lactococcus phage single-stranded DNA binding protein [PF16773.8]					0
NC_055011_NC_055011_8	NC_055011	NC_055011	8	2680	3219	-1	D			ERF superfamily [PF04404.15]					0
NC_055011_NC_055011_9	NC_055011	NC_055011	9	3209	3526	-1	D			HNH endonuclease [PF13392.9]					0
NC_055011_NC_055011_10	NC_055011	NC_055011	10	3526	3678	-1	E								0
NC_055011_NC_055011_11	NC_055011	NC_055011	11	3748	3951	-1	E								0
NC_055011_NC_055011_12	NC_055011	NC_055011	12	3951	4196	-1	E								0
NC_055011_NC_055011_13	NC_055011	NC_055011	13	4168	4350	-1	E								0
NC_055011_NC_055011_14	NC_055011	NC_055011	14	4385	4693	-1	D			Protein of unknwon function (DUF3310) [PF11753.11]					0
NC_055011_NC_055011_15	NC_055011	NC_055011	15	4693	4866	-1	E								0
NC_055011_NC_055011_16	NC_055011	NC_055011	16	4922	5311	-1	E								0
NC_055011_NC_055011_17	NC_055011	NC_055011	17	5311	5691	-1	E								0
NC_055011_NC_055011_18	NC_055011	NC_055011	18	5790	6689	-1	D			AAA domain [PF13481.9]					0
NC_055011_NC_055011_19	NC_055011	NC_055011	19	6691	6906	-1	E								0
NC_055011_NC_055011_20	NC_055011	NC_055011	20	6974	7120	-1	E								0
NC_055011_NC_055011_21	NC_055011	NC_055011	21	7806	7955	1	E								0
NC_055011_NC_055011_22	NC_055011	NC_055011	22	7966	8451	1	D			Lactococcus phage M3 protein [PF07066.14]					0
NC_055011_NC_055011_23	NC_055011	NC_055011	23	8435	9175	1	C	K01185	lysozyme [EC:3.2.1.17]	Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_055011_NC_055011_24	NC_055011	NC_055011	24	9186	10025	1	E								0
NC_055011_NC_055011_25	NC_055011	NC_055011	25	9976	11418	1	C	K06904	uncharacterized protein	Lactococcus lactis bacteriophage major capsid protein [PF06673.14]					0
NC_055011_NC_055011_26	NC_055011	NC_055011	26	11561	12265	1	E								0
NC_055011_NC_055011_27	NC_055011	NC_055011	27	12282	12866	1	D			Phage tail tube protein [PF06488.14]					0
NC_055011_NC_055011_28	NC_055011	NC_055011	28	12886	13140	1	E								0
NC_055011_NC_055011_29	NC_055011	NC_055011	29	13328	13567	1	E								0
NC_055011_NC_055011_30	NC_055011	NC_055011	30	13609	15477	1	D			Tape measure protein [PF20155.2]					0
NC_055011_NC_055011_31	NC_055011	NC_055011	31	15543	15761	1	E								1
NC_055011_NC_055011_32	NC_055011	NC_055011	32	15773	17329	1	D			Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]					0
NC_055011_NC_055011_33	NC_055011	NC_055011	33	17329	17628	1	E								0
NC_055011_NC_055011_34	NC_055011	NC_055011	34	17621	19507	1	E								0
NC_055011_NC_055011_35	NC_055011	NC_055011	35	19508	20737	1	E								0
NC_055011_NC_055011_36	NC_055011	NC_055011	36	20730	21923	1	E								0
NC_055011_NC_055011_37	NC_055011	NC_055011	37	21945	22235	1	E								0
