	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001420.1_1	QGNH01001420.1	QGNH01001420.1	1	218	1447	1	D									Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	False	VF
QGNH01001420.1_2	QGNH01001420.1	QGNH01001420.1	2	1493	1717	-1	E													0	False	F
QGNH01001420.1_3	QGNH01001420.1	QGNH01001420.1	3	2137	2574	1	E													0	False	F
QGNH01001420.1_4	QGNH01001420.1	QGNH01001420.1	4	2651	2908	-1	E													0	False	F
QGNH01001420.1_5	QGNH01001420.1	QGNH01001420.1	5	2921	3631	-1	E													0	False	F
QGNH01001420.1_6	QGNH01001420.1	QGNH01001420.1	6	3628	4071	-1	C	K07458	DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]							Protein of unknown function (DUF559) [PF04480.15]; DNA mismatch endonuclease Vsr [PF03852.18]				1	False	F
QGNH01001420.1_7	QGNH01001420.1	QGNH01001420.1	7	4076	4699	-1	E													0	False	F
QGNH01001420.1_8	QGNH01001420.1	QGNH01001420.1	8	4701	5951	-1	E													0	False	F
QGNH01001420.1_9	QGNH01001420.1	QGNH01001420.1	9	5955	7424	-1	E													0	False	
QGNH01001420.1_10	QGNH01001420.1	QGNH01001420.1	10	7417	7590	-1	E													0	False	
QGNH01001420.1_11	QGNH01001420.1	QGNH01001420.1	11	7583	9526	-1	E													0	False	
QGNH01001420.1_12	QGNH01001420.1	QGNH01001420.1	12	9530	9919	-1	E													0	False	
QGNH01001420.1_13	QGNH01001420.1	QGNH01001420.1	13	9928	10416	-1	E													0	False	
QGNH01001420.1_14	QGNH01001420.1	QGNH01001420.1	14	10420	11976	-1	E													0	False	
QGNH01001420.1_15	QGNH01001420.1	QGNH01001420.1	15	11992	13803	-1	E													0	False	
QGNH01001420.1_16	QGNH01001420.1	QGNH01001420.1	16	13817	16165	-1	E													0	False	
QGNH01001420.1_17	QGNH01001420.1	QGNH01001420.1	17	16166	16402	-1	D									KTSC domain [PF13619.9]				0	False	
QGNH01001420.1_18	QGNH01001420.1	QGNH01001420.1	18	16405	17178	-1	E													0	False	
QGNH01001420.1_19	QGNH01001420.1	QGNH01001420.1	19	17171	18958	-1	E													0	False	
QGNH01001420.1_20	QGNH01001420.1	QGNH01001420.1	20	18951	19748	-1	E													0	False	
QGNH01001420.1_21	QGNH01001420.1	QGNH01001420.1	21	19752	20183	-1	E			YP_009600812.1	YP_009600812.1 head protein [Sphingobium phage Lacusarx]	False	119.0	3.935e-30	0.453		VOG04042	REFSEQ head protein; Xu	Xu	0	False	
QGNH01001420.1_22	QGNH01001420.1	QGNH01001420.1	22	20209	21414	-1	D									Baseplate J-like protein [PF04865.17]	VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xh;Xs	0	False	V
QGNH01001420.1_23	QGNH01001420.1	QGNH01001420.1	23	21419	21769	-1	E													0	False	
QGNH01001420.1_24	QGNH01001420.1	QGNH01001420.1	24	21773	22171	-1	E													0	False	
QGNH01001420.1_25	QGNH01001420.1	QGNH01001420.1	25	22184	22510	-1	E													0	False	F
QGNH01001420.1_26	QGNH01001420.1	QGNH01001420.1	26	22602	23186	-1	E													0	False	F
QGNH01001420.1_27	QGNH01001420.1	QGNH01001420.1	27	23225	27346	-1	E													0	False	F
