	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000692.1_1	QGNH01000692.1	QGNH01000692.1	1	38	673	1	E																		0	False	F
QGNH01000692.1_2	QGNH01000692.1	QGNH01000692.1	2	762	1085	1	E																		0	False	F
QGNH01000692.1_3	QGNH01000692.1	QGNH01000692.1	3	1082	1261	1	E																		0	False	F
QGNH01000692.1_4	QGNH01000692.1	QGNH01000692.1	4	1258	1467	1	E																		0	False	F
QGNH01000692.1_5	QGNH01000692.1	QGNH01000692.1	5	1634	2380	1	E	YP_007111931.1	YP_007111931.1 hypothetical protein F862_gp085 [Vibrio phage vB_VpaS_MAR10]	False	0.315	114.0	5.295e-27									VOG02036	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000692.1_6	QGNH01000692.1	QGNH01000692.1	6	2377	2595	1	E																		0	False	F
QGNH01000692.1_7	QGNH01000692.1	QGNH01000692.1	7	2592	5096	1	D	YP_007392901.1	YP_007392901.1 hypothetical protein H390_gp12 [Xanthomonas citri phage CP2]	True	0.565	434.0	6.800000000000001e-128	MER0347497	N09	MER0347497 - family N9 unassigned peptide lyases () [N09.UPW]#N09#{peptidase unit: 34-371}~source ZP_10269248~	False	99.0	2.427e-19	0.26	Homing endonuclease [PF05204.17]	VOG00428	sp|B6YUE9|CDC6_THEON ORC1-type DNA replication protein; XhXr	Xh;Xr	0	False	VPF
QGNH01000692.1_8	QGNH01000692.1	QGNH01000692.1	8	5053	5643	1	D	YP_002117642.1	YP_002117642.1 HNH endonuclease [Rhizobium phage 16-3]	False	0.264	78.0	2.576e-15								HNH endonuclease [PF14279.9]; HNH endonuclease [PF01844.26]				0	False	
QGNH01000692.1_9	QGNH01000692.1	QGNH01000692.1	9	5958	7799	1	D	YP_010660686.1	YP_010660686.1 head-to-tail connector protein [Pseudomonas phage UFJF_PfDIW6]	False	0.328	293.0	7.18e-83								Bacteriophage head to tail connecting protein [PF12236.11]	VOG00516	sp|P03728|PORTL_BPT7 Portal protein; XpXrXs	Xp;Xs;Xr	0	False	V
QGNH01000692.1_10	QGNH01000692.1	QGNH01000692.1	10	7796	8491	1	D	YP_010681711.1	YP_010681711.1 homing endonuclease [Bacillus phage vB_BsuS_PJN02]	False	0.369	79.0	1.864e-15								GIY-YIG catalytic domain [PF01541.27]	VOG00100	REFSEQ homing endonuclease; Xu	Xu	0	False	
QGNH01000692.1_11	QGNH01000692.1	QGNH01000692.1	11	8511	10220	1	E																		0	False	
QGNH01000692.1_12	QGNH01000692.1	QGNH01000692.1	12	10341	10988	1	E																		0	False	
QGNH01000692.1_13	QGNH01000692.1	QGNH01000692.1	13	11223	11837	1	E																		0	False	
QGNH01000692.1_14	QGNH01000692.1	QGNH01000692.1	14	11848	12810	1	E																		0	False	
QGNH01000692.1_15	QGNH01000692.1	QGNH01000692.1	15	12865	15594	1	E																		0	False	
QGNH01000692.1_16	QGNH01000692.1	QGNH01000692.1	16	15776	16000	-1	E																		0	False	
QGNH01000692.1_17	QGNH01000692.1	QGNH01000692.1	17	16096	16605	1	E																		0	False	
QGNH01000692.1_18	QGNH01000692.1	QGNH01000692.1	18	16605	17027	1	E																		0	False	
QGNH01000692.1_19	QGNH01000692.1	QGNH01000692.1	19	17027	18031	1	E																		0	False	
QGNH01000692.1_20	QGNH01000692.1	QGNH01000692.1	20	18037	18567	-1	D	YP_009280255.1	YP_009280255.1 HNH endonuclease [Shigella phage SHSML-45]	False	0.408	119.0	1.077e-29								HNH endonuclease [PF13392.9]	VOG00011	sp|P03795|Y28_BPT7 Protein 2.8; Xu	Xu	0	False	
QGNH01000692.1_21	QGNH01000692.1	QGNH01000692.1	21	18643	19689	1	E	YP_512264.1	YP_512264.1 major head protein [Escherichia phage phiV10]	False	0.412	245.0	2.104e-70									VOG02257	REFSEQ major head protein; Xu	Xu	0	False	
QGNH01000692.1_22	QGNH01000692.1	QGNH01000692.1	22	19747	20277	1	E																		0	False	
QGNH01000692.1_23	QGNH01000692.1	QGNH01000692.1	23	20358	21092	1	E																		0	False	
QGNH01000692.1_24	QGNH01000692.1	QGNH01000692.1	24	21123	22013	1	E																		0	False	
QGNH01000692.1_25	QGNH01000692.1	QGNH01000692.1	25	22028	22249	-1	E																		0	False	
QGNH01000692.1_26	QGNH01000692.1	QGNH01000692.1	26	22529	22921	1	E																		0	False	
QGNH01000692.1_27	QGNH01000692.1	QGNH01000692.1	27	22955	23464	1	E																		0	False	
QGNH01000692.1_28	QGNH01000692.1	QGNH01000692.1	28	23472	24737	1	E																		0	False	F
QGNH01000692.1_29	QGNH01000692.1	QGNH01000692.1	29	24918	25181	1	D														KTSC domain [PF13619.9]	VOG00254	sp|B2J384|SYK_NOSP7 Lysine--tRNA ligase; Xh	Xh	0	False	F
QGNH01000692.1_30	QGNH01000692.1	QGNH01000692.1	30	25226	25468	1	E																		0	False	F
QGNH01000692.1_31	QGNH01000692.1	QGNH01000692.1	31	25461	25985	1	D	YP_009812836.1	YP_009812836.1 endonuclease VII [Escherichia phage IMM-002]	False	0.394	102.0	7.178e-24								Recombination endonuclease VII [PF02945.18]	VOG00049	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246; Xu	Xu	0	False	F
QGNH01000692.1_32	QGNH01000692.1	QGNH01000692.1	32	25978	26421	1	E																		0	False	F
QGNH01000692.1_33	QGNH01000692.1	QGNH01000692.1	33	26431	26754	1	E															VOG10711	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000692.1_34	QGNH01000692.1	QGNH01000692.1	34	26757	27200	1	E																		0	False	F
QGNH01000692.1_35	QGNH01000692.1	QGNH01000692.1	35	27629	29134	1	E																		0	False	F
QGNH01000692.1_36	QGNH01000692.1	QGNH01000692.1	36	29186	29710	1	E																		0	False	F
