	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001320.1_1	QGNH01001320.1	QGNH01001320.1	1	195	443	1	E																				0	False	F
QGNH01001320.1_2	QGNH01001320.1	QGNH01001320.1	2	458	823	1	E																				0	False	F
QGNH01001320.1_3	QGNH01001320.1	QGNH01001320.1	3	1118	1288	1	E																				0	False	F
QGNH01001320.1_4	QGNH01001320.1	QGNH01001320.1	4	1282	2088	1	E																				0	False	F
QGNH01001320.1_5	QGNH01001320.1	QGNH01001320.1	5	2090	2320	1	E																				0	False	F
QGNH01001320.1_6	QGNH01001320.1	QGNH01001320.1	6	2317	2712	1	C	K01160	crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]	YP_010079672.1	YP_010079672.1 RusA family crossover junction endodeoxyribonuclease [Staphylococcus phage SAP33]	False	0.305	62.0	8.655e-11								Endodeoxyribonuclease RusA [PF05866.14]				0	False	F
QGNH01001320.1_7	QGNH01001320.1	QGNH01001320.1	7	2712	3206	1	E																				0	False	F
QGNH01001320.1_8	QGNH01001320.1	QGNH01001320.1	8	3216	3842	1	E																				0	False	F
QGNH01001320.1_9	QGNH01001320.1	QGNH01001320.1	9	3993	4364	1	E																				0	False	F
QGNH01001320.1_10	QGNH01001320.1	QGNH01001320.1	10	4354	4815	1	E																				0	False	F
QGNH01001320.1_11	QGNH01001320.1	QGNH01001320.1	11	4842	5732	1	E																				0	False	F
QGNH01001320.1_12	QGNH01001320.1	QGNH01001320.1	12	5769	5948	1	E																				0	False	
QGNH01001320.1_13	QGNH01001320.1	QGNH01001320.1	13	5948	6295	1	D			YP_009877536.1	YP_009877536.1 endolysin [Escherichia phage ESSI2_ev129]	False	0.468	95.0	2.019e-22	MER0507159	M15C	MER0507159 - subfamily M15C unassigned peptidases (Proteus mirabilis) [M15.UPC]#M15C#{peptidase unit: 3-106}~source YP_008398136~	False	100.0	6.129e-24	0.51					0	False	P
QGNH01001320.1_14	QGNH01001320.1	QGNH01001320.1	14	6389	6643	1	E																				0	False	
QGNH01001320.1_15	QGNH01001320.1	QGNH01001320.1	15	6645	6929	1	E																				0	False	
QGNH01001320.1_16	QGNH01001320.1	QGNH01001320.1	16	6901	7095	1	E																				0	False	
QGNH01001320.1_17	QGNH01001320.1	QGNH01001320.1	17	7095	7484	1	E																				0	False	
QGNH01001320.1_18	QGNH01001320.1	QGNH01001320.1	18	7484	7780	1	E																				0	False	
QGNH01001320.1_19	QGNH01001320.1	QGNH01001320.1	19	7965	8243	1	E																				0	False	
QGNH01001320.1_20	QGNH01001320.1	QGNH01001320.1	20	8243	8812	1	E																				0	False	
QGNH01001320.1_21	QGNH01001320.1	QGNH01001320.1	21	8805	10427	1	C	K04077	chaperonin GroEL [EC:5.6.1.7]	YP_010114486.1	YP_010114486.1 chaperonin groEL [Flavobacterium phage vB_FspM_immuto_2-6A]	True	0.465	451.0	7.412999999999999e-138								TCP-1/cpn60 chaperonin family [PF00118.27]	VOG10769	sp|A8Z640|CH60_SULMW Chaperonin GroEL; Xh	Xh	0	False	
QGNH01001320.1_22	QGNH01001320.1	QGNH01001320.1	22	10643	11089	-1	E																				0	False	
QGNH01001320.1_23	QGNH01001320.1	QGNH01001320.1	23	11082	11981	-1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	YP_239103.1	YP_239103.1 DNA methyltransferase [Escherichia phage RB43]	False	0.375	190.0	2.507e-52								C-5 cytosine-specific DNA methylase [PF00145.20]	VOG00281	sp|P34877|MTSA_LACLC Type II methyltransferase M1.ScrFI; XhXp	Xp;Xh	0	False	M
