	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_048778.1_1	NC_048778.1	NC_048778.1	1	1	564	-1	E			YP_009847682.1	YP_009847682.1 hypothetical protein HWC34_gp01 [Microbacterium phage Alex44]	True	0.977	387.0	1.442e-122									VOG22749	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_048778.1_2	NC_048778.1	NC_048778.1	2	648	1469	-1	D			YP_009847683.1	YP_009847683.1 DNA primase/polymerase [Microbacterium phage Alex44]	True	0.993	575.0	7.511999999999999e-186								Bifunctional DNA primase/polymerase, N-terminal [PF09250.14]				0	False	F
NC_048778.1_3	NC_048778.1	NC_048778.1	3	1471	2766	-1	C	K06919	putative DNA primase/helicase	YP_009847684.1	YP_009847684.1 DNA primase [Microbacterium phage Alex44]	True	0.943	854.0	1.567e-279								Family of unknown function (DUF5906) [PF19263.2]				0	False	F
NC_048778.1_4	NC_048778.1	NC_048778.1	4	2788	3207	1	E																				0	False	F
NC_048778.1_5	NC_048778.1	NC_048778.1	5	3148	4410	-1	E			YP_009847686.1	YP_009847686.1 DNA helicase [Microbacterium phage Alex44]	True	0.989	879.0	2.2499999999999997e-288									VOG00205	sp|Q9T1Q7|VP41_BPAPS Putative protein p41; Xu	Xu	0	False	F
NC_048778.1_6	NC_048778.1	NC_048778.1	6	4403	5200	-1	D			YP_009847687.1	YP_009847687.1 hypothetical protein HWC34_gp06 [Microbacterium phage Alex44]	True	1.0	564.0	3.509e-182								Domain of unknown function (DUF6378) [PF19905.2]	VOG00810	sp|Q05265|VG55_BPML5 Gene 55 protein; Xu	Xu	0	False	F
NC_048778.1_7	NC_048778.1	NC_048778.1	7	5193	5525	-1	C	K18955	WhiB family transcriptional regulator, redox-sensing transcriptional regulator	YP_009847688.1	YP_009847688.1 transcriptional regulator WhiB-like [Microbacterium phage Alex44]	False	0.958	184.0	2.0519999999999998e-53								Transcription factor WhiB [PF02467.19]	VOG01259	REFSEQ transcriptional regulator WhiB-like; Xu	Xu	0	False	
NC_048778.1_8	NC_048778.1	NC_048778.1	8	5495	6043	-1	E			YP_009847689.1	YP_009847689.1 hypothetical protein HWC34_gp08 [Microbacterium phage Alex44]	True	0.955	368.0	8.06e-116									VOG01020	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048778.1_9	NC_048778.1	NC_048778.1	9	6036	6356	-1	E			YP_009847690.1	YP_009847690.1 hypothetical protein HWC34_gp09 [Microbacterium phage Alex44]	False	0.994	225.0	8.962e-68												0	False	
NC_048778.1_10	NC_048778.1	NC_048778.1	10	6409	8628	-1	C	K02334	DNA polymerase bacteriophage-type [EC:2.7.7.7]	YP_009847691.1	YP_009847691.1 DNA polymerase I [Microbacterium phage Alex44]	True	0.992	1550.0	0.0								DNA polymerase family A [PF00476.23]	VOG00075	sp|O64235|DPOL_BPMD2 DNA polymerase; XhXr	Xh;Xr	0	False	V
NC_048778.1_11	NC_048778.1	NC_048778.1	11	8625	8852	-1	E			YP_009847692.1	YP_009847692.1 hypothetical protein HWC34_gp11 [Microbacterium phage Alex44]	False	0.966	155.0	3.947e-44									VOG34295	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048778.1_12	NC_048778.1	NC_048778.1	12	8845	9066	-1	E			YP_009847693.1	YP_009847693.1 hypothetical protein HWC34_gp12 [Microbacterium phage Alex44]	False	0.953	149.0	5.655000000000001e-42									VOG34200	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048778.1_13	NC_048778.1	NC_048778.1	13	9059	10186	-1	D			YP_009847694.1	YP_009847694.1 exonuclease [Microbacterium phage Alex44]	True	0.993	788.0	1.113e-257								Protein of unknown function (DUF2800) [PF10926.11]	VOG00510	sp|O64262|VG69_BPMD2 Gene 69 protein; Xu	Xu	0	False	
NC_048778.1_14	NC_048778.1	NC_048778.1	14	10167	10298	-1	E			YP_009847695.1	YP_009847695.1 hypothetical protein HWC34_gp14 [Microbacterium phage Alex44]	False	1.0	101.0	5.465000000000001e-26									VOG23155	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048778.1_15	NC_048778.1	NC_048778.1	15	10482	11249	-1	E			YP_009847697.1	YP_009847697.1 hypothetical protein HWC34_gp16 [Microbacterium phage Alex44]	True	0.98	529.0	2.45e-170									VOG22750	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048778.1_16	NC_048778.1	NC_048778.1	16	11290	11682	-1	E			YP_009847698.1	YP_009847698.1 hypothetical protein HWC34_gp17 [Microbacterium phage Alex44]	False	1.0	284.0	7.617999999999999e-88												0	False	
NC_048778.1_17	NC_048778.1	NC_048778.1	17	11682	12293	-1	E			YP_009847699.1	YP_009847699.1 hypothetical protein HWC34_gp18 [Microbacterium phage Alex44]	True	0.987	425.0	2.984e-135									VOG02284	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048778.1_18	NC_048778.1	NC_048778.1	18	12530	12802	-1	E			YP_009847700.1	YP_009847700.1 hypothetical protein HWC34_gp19 [Microbacterium phage Alex44]	False	0.936	179.0	3.449e-52									VOG23157	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_048778.1_19	NC_048778.1	NC_048778.1	19	12804	13172	-1	E			YP_009847701.1	YP_009847701.1 hypothetical protein HWC34_gp20 [Microbacterium phage Alex44]	False	0.979	254.0	1.373e-77									VOG23158	REFSEQ membrane protein; Xu	Xu	0	False	
