	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_054982_NC_054982_1	NC_054982	NC_054982	1	61	1110	1	D										Phage integrase family [PF00589.25]					0
NC_054982_NC_054982_2	NC_054982	NC_054982	2	1561	1764	-1	E															0
NC_054982_NC_054982_3	NC_054982	NC_054982	3	2308	3753	-1	C	K01447	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	MER0287265	C51	MER0287265 - D-alanyl-glycyl peptidase (staphylococcal phage phi11-type) (Staphylococcus aureus) [C51.001]#C51#{peptidase unit: 1-126}~source YP_005754833~	False	0.995	267.0	1.335e-75	Bacterial SH3 domain [PF08460.13]; N-acetylmuramoyl-L-alanine amidase [PF01510.28]; CHAP domain [PF05257.19]					0
NC_054982_NC_054982_4	NC_054982	NC_054982	4	3734	4171	-1	D										Bacteriophage holin [PF04531.16]					0
NC_054982_NC_054982_5	NC_054982	NC_054982	5	4227	6821	-1	D										BppU N-terminal domain [PF10651.12]; GDSL-like Lipase/Acylhydrolase family [PF13472.9]					0
NC_054982_NC_054982_6	NC_054982	NC_054982	6	6834	8708	-1	D			MER0118933	C51	MER0118933 - family C51 unassigned peptidases () [C51.UPW]#C51#{peptidase unit: 7-133}~source AAX91500~	False	1.0	280.0	3.2060000000000004e-78	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [PF01832.23]; CHAP domain [PF05257.19]	GH73	GH73 lysozyme (EC 3.2.1.17); mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity (EC 3.2.1.-)	3.2.1.17,3.2.1.96,3.2.1.-	GH73.hmm	0
NC_054982_NC_054982_7	NC_054982	NC_054982	7	8845	9144	-1	D										Protein of unknown function (DUF2951) [PF11166.11]					0
NC_054982_NC_054982_8	NC_054982	NC_054982	8	9185	9352	-1	D										Phage uncharacterised protein (Phage_XkdX) [PF09693.13]					0
NC_054982_NC_054982_9	NC_054982	NC_054982	9	9368	9745	-1	D										Protein of unknown function (DUF2977) [PF11192.11]					0
NC_054982_NC_054982_10	NC_054982	NC_054982	10	9745	11568	-1	D										BppU N-terminal domain [PF10651.12]					0
