	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_054791.1_1	NC_054791.1	NC_054791.1	1	3	620	1	E																	0	False	F
NC_054791.1_2	NC_054791.1	NC_054791.1	2	703	1128	1	E			YP_010062129.1	YP_010062129.1 minor tail protein [Mycobacterium phage MyraDee]	False	0.969	290.0	1.138e-89						VOG00726	sp|O64201|VG05_BPMD2 Gene 5 protein; Xu	Xu	0	False	F
NC_054791.1_3	NC_054791.1	NC_054791.1	3	1206	1520	1	E			YP_010062130.1	YP_010062130.1 hypothetical protein KIV66_gp03 [Mycobacterium phage MyraDee]	False	0.991	220.0	3.605e-66									0	False	F
NC_054791.1_4	NC_054791.1	NC_054791.1	4	1556	2386	1	D			YP_010062131.1	YP_010062131.1 tail fiber protein [Mycobacterium phage MyraDee]	True	0.93	539.0	1.814e-173	Collagen triple helix repeat (20 copies) [PF01391.21]					VOG00307	REFSEQ minor tail protein; Xu	Xu	0	False	F
NC_054791.1_5	NC_054791.1	NC_054791.1	5	2390	3028	1	E			YP_010062132.1	YP_010062132.1 minor tail protein [Mycobacterium phage MyraDee]	True	0.92	410.0	5.349e-130									0	False	F
NC_054791.1_6	NC_054791.1	NC_054791.1	6	3130	3258	1	E			YP_010062133.1	YP_010062133.1 hypothetical protein KIV66_gp06 [Mycobacterium phage MyraDee]	False	0.974	89.0	9.747e-22						VOG09378	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_054791.1_7	NC_054791.1	NC_054791.1	7	3258	4625	1	C	K03791	putative chitinase	YP_010062134.1	YP_010062134.1 endolysin [Mycobacterium phage MyraDee]	True	0.998	961.0	4.015e-316	Chitinase class I [PF00182.22]	GH19	GH19 chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); [reducing end] chitinase (EC 3.2.1.201)	3.2.1.14,3.2.1.17	GH19.hmm				0	False	F
NC_054791.1_8	NC_054791.1	NC_054791.1	8	4622	5008	1	D			YP_010062135.1	YP_010062135.1 holin [Mycobacterium phage MyraDee]	False	0.887	239.0	4.105e-72	Mycobacterial 2 TMS Phage Holin (M2 Hol) Family [PF16081.8]					VOG03716	sp|O64204|HOLIN_BPMD2 Holin; XhXp	Xh;Xp	0	False	F
NC_054791.1_9	NC_054791.1	NC_054791.1	9	5029	6714	1	D			YP_010062136.1	YP_010062136.1 terminase large subunit [Mycobacterium phage MyraDee]	True	0.996	1183.0	0.0	Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]					VOG00185	sp|O64206|VG13_BPMD2 Gene 13 protein; Xu	Xu	0	False	
NC_054791.1_10	NC_054791.1	NC_054791.1	10	6714	8150	1	D			YP_010062137.1	YP_010062137.1 portal protein [Mycobacterium phage MyraDee]	True	0.957	963.0	3.334e-316	Phage portal protein, SPP1 Gp6-like [PF05133.17]					VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xs;Xp;Xr	0	False	V
