	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001257.1_1	QGNH01001257.1	QGNH01001257.1	1	2	733	1	E																	0	False	F
QGNH01001257.1_2	QGNH01001257.1	QGNH01001257.1	2	806	2878	1	D									Collagen triple helix repeat (20 copies) [PF01391.21]					VOG01091	sp|B4YNE6|V6_SPTNK Collagen-like protein V6; Xu	Xu	0	False	F
QGNH01001257.1_3	QGNH01001257.1	QGNH01001257.1	3	2888	3952	1	D			YP_008433545.1	YP_008433545.1 beta-1,4-glycosyltransferase [Pseudomonas phage PaBG]	False	0.31	169.0	2.81e-44	Glycosyl transferase family 2 [PF00535.29]; Glycosyl transferase family 2 [PF13704.9]								0	False	F
QGNH01001257.1_4	QGNH01001257.1	QGNH01001257.1	4	3954	4121	1	E																	0	False	F
QGNH01001257.1_5	QGNH01001257.1	QGNH01001257.1	5	4118	4414	1	E																	0	False	F
QGNH01001257.1_6	QGNH01001257.1	QGNH01001257.1	6	4429	4773	1	E																	0	False	F
QGNH01001257.1_7	QGNH01001257.1	QGNH01001257.1	7	4766	6292	1	E																	0	False	F
QGNH01001257.1_8	QGNH01001257.1	QGNH01001257.1	8	6375	8051	1	E																	0	False	
QGNH01001257.1_9	QGNH01001257.1	QGNH01001257.1	9	8107	9981	1	E														VOG17469	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001257.1_10	QGNH01001257.1	QGNH01001257.1	10	9992	11488	1	E																	0	False	
QGNH01001257.1_11	QGNH01001257.1	QGNH01001257.1	11	11562	13499	1	D			YP_010109189.1	YP_010109189.1 head morphogenesis [Gordonia Phage Barsten]	False	0.213	68.0	2.775e-10	Pretoxin HINT domain [PF07591.14]								0	False	
QGNH01001257.1_12	QGNH01001257.1	QGNH01001257.1	12	13512	13778	1	E																	0	False	
QGNH01001257.1_13	QGNH01001257.1	QGNH01001257.1	13	13765	14154	1	D									Domain of unknown function (DUF1937) [PF09152.13]; Nucleoside 2-deoxyribosyltransferase [PF05014.18]								0	False	
QGNH01001257.1_14	QGNH01001257.1	QGNH01001257.1	14	14155	17079	-1	D									Domain of unknown function (DUF927) [PF06048.14]; RepB DNA-primase from phage plasmid [PF16793.8]								0	False	
QGNH01001257.1_15	QGNH01001257.1	QGNH01001257.1	15	17085	17429	-1	D			YP_009997214.1	YP_009997214.1 phosphofructokinase [Ruegeria phage vB_RpoS-V16]	False	0.48	83.0	2.535e-18	Domain of unknown function (DUF6378) [PF19905.2]					VOG06502	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001257.1_16	QGNH01001257.1	QGNH01001257.1	16	17517	18686	-1	E			YP_239308.1	YP_239308.1 hypothetical protein XPXV15_gp40 [Xanthomonas phage Xp15]	False	0.274	77.0	1.122e-13						VOG04801	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001257.1_17	QGNH01001257.1	QGNH01001257.1	17	18797	19222	-1	E																	0	False	
QGNH01001257.1_18	QGNH01001257.1	QGNH01001257.1	18	19256	20824	-1	D			YP_239310.1	YP_239310.1 possible DNA helicase [Xanthomonas phage Xp15]	False	0.355	265.0	1.18e-74	SNF2-related domain [PF00176.26]					VOG00205	sp|Q9T1Q7|VP41_BPAPS Putative protein p41; Xu	Xu	0	False	
QGNH01001257.1_19	QGNH01001257.1	QGNH01001257.1	19	20817	21017	-1	E																	0	False	
QGNH01001257.1_20	QGNH01001257.1	QGNH01001257.1	20	21020	21412	-1	E																	0	False	
QGNH01001257.1_21	QGNH01001257.1	QGNH01001257.1	21	21409	21636	-1	E																	0	False	
QGNH01001257.1_22	QGNH01001257.1	QGNH01001257.1	22	21633	22310	-1	D									PD-(D/E)XK nuclease superfamily [PF12705.10]					VOG00510	sp|O64262|VG69_BPMD2 Gene 69 protein; Xu	Xu	0	False	
QGNH01001257.1_23	QGNH01001257.1	QGNH01001257.1	23	22310	22498	-1	E																	0	False	
QGNH01001257.1_24	QGNH01001257.1	QGNH01001257.1	24	22495	22926	-1	E																	0	False	
QGNH01001257.1_25	QGNH01001257.1	QGNH01001257.1	25	22923	23450	-1	D			YP_010684519.1	YP_010684519.1 3'-5' exonuclease [Klebsiella phage SBP]	False	0.476	156.0	1.0980000000000001e-42	3'-5' exoribonuclease Rv2179c-like domain [PF16473.8]; Exonuclease [PF00929.27]					VOG00088	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease; Xu	Xu	0	False	
QGNH01001257.1_26	QGNH01001257.1	QGNH01001257.1	26	23476	23844	-1	E																	0	False	
QGNH01001257.1_27	QGNH01001257.1	QGNH01001257.1	27	23846	24142	-1	E			YP_009008750.1	YP_009008750.1 hypothetical protein CH16_gp056 [Escherichia phage KBNP1711]	False	0.438	63.0	1.812e-11						VOG02095	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001257.1_28	QGNH01001257.1	QGNH01001257.1	28	24145	24429	-1	E																	0	False	
