L1	L2	L3	L4	ID	Function	EC
01_Fermentation	Bifidobacterium shunt			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27
01_Fermentation	Bifidobacterium shunt			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12
01_Fermentation	Bifidobacterium shunt			K00603	fctD; glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase	2.1.2.5 6.3.3.2
01_Fermentation	Bifidobacterium shunt			K13990	FTCD; glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase	2.1.2.5 4.3.1.4
01_Fermentation	Bifidobacterium shunt			K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase	2.7.1.146 2.7.1.147
01_Fermentation	Bifidobacterium shunt			K00872	thrB; homoserine kinase	2.7.1.39
01_Fermentation	Bifidobacterium shunt			K10705	GAPDHS; glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	1.2.1.12
01_Fermentation	Bifidobacterium shunt			K06040		
01_Fermentation	Bifidobacterium shunt			K03416	E2.1.3.1-5S; methylmalonyl-CoA carboxyltransferase 5S subunit	2.1.3.1
01_Fermentation	Bifidobacterium shunt			K08074	ADPGK; ADP-dependent glucokinase	2.7.1.147
01_Fermentation	Bifidobacterium shunt			K02203	thrH; phosphoserine / homoserine phosphotransferase	3.1.3.3 2.7.1.39
01_Fermentation	Bifidobacterium shunt			K01807	rpiA; ribose 5-phosphate isomerase A	5.3.1.6
01_Fermentation	Bifidobacterium shunt			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3
01_Fermentation	Bifidobacterium shunt			K05715	2PGK; 2-phosphoglycerate kinase	2.7.2.16
01_Fermentation	Bifidobacterium shunt			K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II	4.1.2.13
01_Fermentation	Bifidobacterium shunt			K08302	gatY-kbaY; tagatose 1,6-diphosphate aldolase GatY/KbaY	4.1.2.40
