L1	ID	Function	EC
unknown function	phrog_628	NA	
integration and excision	phrog_629	excisionase	
unknown function	phrog_630	NA	
unknown function	phrog_631	NA	
moron, auxiliary metabolic gene and host takeover	phrog_632	tellurite resistance	
transcription regulation	phrog_633	transcriptional regulator	
tail	phrog_634	baseplate hub assembly catalyst	
lysis	phrog_635	endolysin	
unknown function	phrog_636	NA	
connector	phrog_637	head-tail adaptor Ad3	
transcription regulation	phrog_638	transcriptional regulator	
transcription regulation	phrog_639	transcriptional regulator	
unknown function	phrog_640	NA	
head and packaging	phrog_641	terminase small subunit	
unknown function	phrog_642	NA	
transcription regulation	phrog_643	transcriptional regulator	
unknown function	phrog_644	NA	
DNA, RNA and nucleotide metabolism	phrog_645	Rnase E	
unknown function	phrog_646	unknown function	
unknown function	phrog_647	NA	
head and packaging	phrog_648	head scaffolding protein	
unknown function	phrog_649	NA	
unknown function	phrog_650	NA	
head and packaging	phrog_651	head morphogenesis	
unknown function	phrog_652	NA	
unknown function	phrog_653	NA	
unknown function	phrog_654	NA	
DNA, RNA and nucleotide metabolism	phrog_655	homing endonuclease	
moron, auxiliary metabolic gene and host takeover	phrog_656	abc2 anti-RecBCD	
unknown function	phrog_657	NA	
unknown function	phrog_658	NA	
DNA, RNA and nucleotide metabolism	phrog_659	Sak-like ssDNA annealing protein	
unknown function	phrog_660	NA	
unknown function	phrog_661	NA	
unknown function	phrog_662	NA	
head and packaging	phrog_663	minor head protein	
DNA, RNA and nucleotide metabolism	phrog_664	DNA binding protein	
unknown function	phrog_665	NA	
unknown function	phrog_666	NA	
unknown function	phrog_667	NA	
DNA, RNA and nucleotide metabolism	phrog_668	HTH DNA binding protein	
lysis	phrog_669	endolysin	
lysis	phrog_670	endolysin	
other	phrog_671	nucleotide pyrophosphohydrolase	
unknown function	phrog_672	NA	
head and packaging	phrog_673	head scaffolding protein	
unknown function	phrog_674	NA	
head and packaging	phrog_675	terminase large subunit	
unknown function	phrog_676	NA	
tail	phrog_677	baseplate wedge tail fiber protein connector	
DNA, RNA and nucleotide metabolism	phrog_678	replication initiation O-like	
connector	phrog_679	head closure Hc2	
tail	phrog_680	tail length tape measure protein	
DNA, RNA and nucleotide metabolism	phrog_681	endonuclease	
unknown function	phrog_682	NA	
unknown function	phrog_683	NA	
head and packaging	phrog_684	virion structural protein	
unknown function	phrog_685	NA	
DNA, RNA and nucleotide metabolism	phrog_686	HTH DNA binding protein	
head and packaging	phrog_687	structural protein	
integration and excision	phrog_688	transposase	
lysis	phrog_689	holin	
unknown function	phrog_690	NA	
DNA, RNA and nucleotide metabolism	phrog_691	partition protein	
head and packaging	phrog_692	virion structural protein	
tail	phrog_693	tail fiber protein	
tail	phrog_694	baseplate hub and tail lysozyme	
DNA, RNA and nucleotide metabolism	phrog_695	DNA polymerase/primase	
head and packaging	phrog_696	major head protein	
head and packaging	phrog_697	structural protein	
unknown function	phrog_698	NA	
unknown function	phrog_699	NA	
lysis	phrog_700	endolysin	
head and packaging	phrog_701	virion structural protein	
DNA, RNA and nucleotide metabolism	phrog_702	replication protein	
unknown function	phrog_703	NA	
DNA, RNA and nucleotide metabolism	phrog_704	DNA repair exonuclease	
unknown function	phrog_705	NA	
unknown function	phrog_706	NA	
unknown function	phrog_707	NA	
tail	phrog_708	baseplate wedge subunit	
unknown function	phrog_709	NA	
unknown function	phrog_710	NA	
unknown function	phrog_711	NA	
unknown function	phrog_712	NA	
DNA, RNA and nucleotide metabolism	phrog_713	DNA replication initiation	
unknown function	phrog_714	NA	
other	phrog_715	MazG-like pyrophosphatase	
other	phrog_716	Na/K ATPase	
unknown function	phrog_717	NA	
unknown function	phrog_718	NA	
tail	phrog_719	baseplate wedge subunit	
integration and excision	phrog_720	transposase	
unknown function	phrog_721	NA	
unknown function	phrog_722	NA	
DNA, RNA and nucleotide metabolism	phrog_723	ParB-like partition protein	
DNA, RNA and nucleotide metabolism	phrog_724	exonuclease recombination-associated	
transcription regulation	phrog_725	CII-like regulator	
unknown function	phrog_726	NA	
unknown function	phrog_727	NA	
unknown function	phrog_728	NA	
other	phrog_729	cold shock protein	
unknown function	phrog_730	NA	
unknown function	phrog_731	NA	
tail	phrog_732	minor tail protein	
integration and excision	phrog_733	excisionase	
unknown function	phrog_734	NA	
head and packaging	phrog_735	terminase small subunit	
unknown function	phrog_736	NA	
tail	phrog_737	minor tail protein	
unknown function	phrog_738	NA	
lysis	phrog_739	Rz-like spanin	
DNA, RNA and nucleotide metabolism	phrog_740	HNH endonuclease	
unknown function	phrog_741	NA	
other	phrog_742	acetyltransferase	
DNA, RNA and nucleotide metabolism	phrog_743	single strand DNA binding protein	
unknown function	phrog_744	NA	
unknown function	phrog_745	NA	
tail	phrog_746	minor tail protein	
unknown function	phrog_747	NA	
connector	phrog_748	head-tail connector protein	
unknown function	phrog_749	NA	
unknown function	phrog_750	NA	
unknown function	phrog_751	NA	
head and packaging	phrog_752	major head protein	
transcription regulation	phrog_753	anti-termination protein Q-like	
tail	phrog_754	minor tail protein	
DNA, RNA and nucleotide metabolism	phrog_755	RNA ligase	
DNA, RNA and nucleotide metabolism	phrog_756	DNA binding protein	
other	phrog_757	DNA methyltransferase	
head and packaging	phrog_758	head morphogenesis	
other	phrog_759	tail associated cell-wall hydrolase	
unknown function	phrog_760	NA	
other	phrog_761	thymidylate kinase	
unknown function	phrog_762	NA	
connector	phrog_763	head-tail adaptor	
other	phrog_764	cytidyltransferase	
unknown function	phrog_765	NA	
head and packaging	phrog_766	head decoration	
other	phrog_767	cAMP phosphodiesterase	
DNA, RNA and nucleotide metabolism	phrog_768	DprA-like DNA recombination-mediator protein	
transcription regulation	phrog_769	transcriptional repressor	
other	phrog_770	DNA transfer protein	
head and packaging	phrog_771	virion structural protein	
tail	phrog_772	tail fiber protein	
head and packaging	phrog_773	major head protein	
unknown function	phrog_774	NA	
DNA, RNA and nucleotide metabolism	phrog_775	replication helicase	
head and packaging	phrog_776	portal protein	
head and packaging	phrog_777	major head protein	
tail	phrog_778	tail assembly protein	
unknown function	phrog_779	NA	
unknown function	phrog_780	NA	
unknown function	phrog_781	NA	
unknown function	phrog_782	NA	
connector	phrog_783	head-tail adaptor	
unknown function	phrog_784	NA	
lysis	phrog_785	holin	
unknown function	phrog_786	NA	
unknown function	phrog_787	NA	
tail	phrog_788	tail protein	
other	phrog_789	esterase/lipase	
lysis	phrog_790	endolysin	
unknown function	phrog_791	NA	
tail	phrog_792	major tail protein	
connector	phrog_793	head-tail adaptor	
tail	phrog_794	tail length tape measure protein	
other	phrog_795	partition protein ATPase	
unknown function	phrog_796	NA	
unknown function	phrog_797	NA	
unknown function	phrog_798	NA	
other	phrog_799	DNA methyltransferase	
head and packaging	phrog_800	terminase small subunit	
DNA, RNA and nucleotide metabolism	phrog_801	dATP / dGTP pyrophosphohydrolase	
moron, auxiliary metabolic gene and host takeover	phrog_802	Alt-like RNA polymerase ADP-ribosyltransferase	
moron, auxiliary metabolic gene and host takeover	phrog_803	host nuclease inhibitor	
unknown function	phrog_804	NA	
head and packaging	phrog_805	internal virion protein	
unknown function	phrog_806	NA	
tail	phrog_807	major tail protein with Ig-like domain	
unknown function	phrog_808	NA	
transcription regulation	phrog_809	transcriptional regulator	
unknown function	phrog_810	NA	
DNA, RNA and nucleotide metabolism	phrog_811	UmuD-like protein	
lysis	phrog_812	Rz-like spanin	
connector	phrog_813	head-tail adaptor	
unknown function	phrog_814	NA	
unknown function	phrog_815	NA	
