	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001672.1_1	QGNH01001672.1	QGNH01001672.1	1	2	1285	-1	E							0	False	F
QGNH01001672.1_2	QGNH01001672.1	QGNH01001672.1	2	1289	1660	-1	E							0	False	F
QGNH01001672.1_3	QGNH01001672.1	QGNH01001672.1	3	1670	2908	-1	E							0	False	F
QGNH01001672.1_4	QGNH01001672.1	QGNH01001672.1	4	2914	3195	-1	E							0	False	F
QGNH01001672.1_5	QGNH01001672.1	QGNH01001672.1	5	3210	3683	-1	E							0	False	F
QGNH01001672.1_6	QGNH01001672.1	QGNH01001672.1	6	3683	4429	-1	E							0	False	F
QGNH01001672.1_7	QGNH01001672.1	QGNH01001672.1	7	4517	5977	-1	E							0	False	F
QGNH01001672.1_8	QGNH01001672.1	QGNH01001672.1	8	5990	7048	-1	E							0	False	
QGNH01001672.1_9	QGNH01001672.1	QGNH01001672.1	9	7068	9005	-1	E							0	False	F
QGNH01001672.1_10	QGNH01001672.1	QGNH01001672.1	10	9015	9623	-1	E							0	False	F
QGNH01001672.1_11	QGNH01001672.1	QGNH01001672.1	11	9653	11095	-1	C	K06909	phage terminase large subunit	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Phage terminase large subunit [PF04466.16]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001672.1_12	QGNH01001672.1	QGNH01001672.1	12	11096	11593	-1	E							0	False	F
QGNH01001672.1_13	QGNH01001672.1	QGNH01001672.1	13	11593	12132	-1	E							0	False	F
QGNH01001672.1_14	QGNH01001672.1	QGNH01001672.1	14	12119	12433	-1	E							0	False	F
QGNH01001672.1_15	QGNH01001672.1	QGNH01001672.1	15	12440	12832	-1	E							0	False	F
QGNH01001672.1_16	QGNH01001672.1	QGNH01001672.1	16	12834	13100	-1	E							0	False	F
QGNH01001672.1_17	QGNH01001672.1	QGNH01001672.1	17	13104	13421	-1	E							0	False	F
QGNH01001672.1_18	QGNH01001672.1	QGNH01001672.1	18	13421	13657	-1	E							0	False	F
