	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_071075_NC_071075_1	NC_071075	NC_071075	1	108	560	1	C	K07474	phage terminase small subunit	Terminase small subunit [PF03592.19]					0
NC_071075_NC_071075_2	NC_071075	NC_071075	2	547	1782	1	C	K06909	phage terminase large subunit	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase RNAseH like domain [PF17288.5]; Phage terminase large subunit [PF04466.16]					0
NC_071075_NC_071075_3	NC_071075	NC_071075	3	1788	3260	1	D			Phage portal protein, SPP1 Gp6-like [PF05133.17]					0
NC_071075_NC_071075_4	NC_071075	NC_071075	4	3293	4186	1	D			Phage Mu protein F like protein [PF04233.17]					0
NC_071075_NC_071075_5	NC_071075	NC_071075	5	4371	4952	1	D			Domain of unknown function (DUF4355) [PF14265.9]					0
NC_071075_NC_071075_6	NC_071075	NC_071075	6	4972	5331	1	E								0
NC_071075_NC_071075_7	NC_071075	NC_071075	7	5350	6396	1	D			Phage major capsid protein E [PF03864.18]					0
NC_071075_NC_071075_8	NC_071075	NC_071075	8	6408	6569	1	E								0
NC_071075_NC_071075_9	NC_071075	NC_071075	9	6581	6922	1	E								0
NC_071075_NC_071075_10	NC_071075	NC_071075	10	6919	7233	1	E								0
NC_071075_NC_071075_11	NC_071075	NC_071075	11	7235	7579	1	E								0
NC_071075_NC_071075_12	NC_071075	NC_071075	12	7576	7962	1	D			Protein of unknown function (DUF3168) [PF11367.11]					0
NC_071075_NC_071075_13	NC_071075	NC_071075	13	7975	8484	1	E								0
NC_071075_NC_071075_14	NC_071075	NC_071075	14	8559	8912	1	D			Phage tail assembly chaperone protein, TAC [PF12363.11]					0
NC_071075_NC_071075_15	NC_071075	NC_071075	15	8975	9292	1	E								0
NC_071075_NC_071075_16	NC_071075	NC_071075	16	9282	13919	1	D			Tape measure protein [PF20155.2]					0
NC_071075_NC_071075_17	NC_071075	NC_071075	17	13919	15454	1	D			Phage tail protein [PF05709.14]					0
NC_071075_NC_071075_18	NC_071075	NC_071075	18	15454	18393	1	D			Prophage endopeptidase tail [PF06605.14]					0
NC_071075_NC_071075_19	NC_071075	NC_071075	19	18394	20415	1	D			Siphovirus protein of unknown function (DUF859) [PF05895.15]					0
NC_071075_NC_071075_20	NC_071075	NC_071075	20	20431	20841	1	D			Protein of unknown function (DUF1366) [PF07104.14]					0
NC_071075_NC_071075_21	NC_071075	NC_071075	21	20861	21007	1	E								0
NC_071075_NC_071075_22	NC_071075	NC_071075	22	21023	21346	1	E								0
NC_071075_NC_071075_23	NC_071075	NC_071075	23	21343	21570	1	D			Bacteriophage holin [PF04531.16]					0
NC_071075_NC_071075_24	NC_071075	NC_071075	24	21601	22500	1	C	K07273	lysozyme	Glycosyl hydrolases family 25 [PF01183.23]	GH25	GH25 lysozyme (EC 3.2.1.17)	3.2.1.17	GH25.hmm	0
NC_071075_NC_071075_25	NC_071075	NC_071075	25	23223	23426	1	D			Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF12844.10]; Antitoxin component of bacterial toxin-antitoxin system, MqsA [PF15731.8]; Helix-turn-helix domain [PF13560.9]					0
NC_071075_NC_071075_26	NC_071075	NC_071075	26	23476	24420	1	E								0
NC_071075_NC_071075_27	NC_071075	NC_071075	27	24413	24952	1	D			ORF6C domain [PF10552.12]					0
NC_071075_NC_071075_28	NC_071075	NC_071075	28	25078	25287	1	D			Protein of unknown function (DUF739) [PF05339.14]					0
NC_071075_NC_071075_29	NC_071075	NC_071075	29	25304	25426	1	E								0
NC_071075_NC_071075_30	NC_071075	NC_071075	30	25656	26531	1	C	K02315	DNA replication protein DnaC	N-terminal phage replisome organiser (Phage_rep_org_N) [PF09681.13]; Replication initiation and membrane attachment [PF07261.14]					0
NC_071075_NC_071075_31	NC_071075	NC_071075	31	26544	27326	1	C	K02315	DNA replication protein DnaC	IstB-like ATP binding protein [PF01695.20]; Bacterial dnaA  protein [PF00308.21]					1
NC_071075_NC_071075_32	NC_071075	NC_071075	32	27323	27511	1	E								0
NC_071075_NC_071075_33	NC_071075	NC_071075	33	27811	28638	1	C	K07455	recombination protein RecT	RecT family [PF03837.17]					0
NC_071075_NC_071075_34	NC_071075	NC_071075	34	28631	29467	1	D			PDDEXK-like domain of unknown function (DUF3799) [PF12684.10]					0
NC_071075_NC_071075_35	NC_071075	NC_071075	35	29482	29928	1	C	K03111	single-strand DNA-binding protein	Single-strand binding protein family [PF00436.28]					0
NC_071075_NC_071075_36	NC_071075	NC_071075	36	29937	30398	1	C	K01160	crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]	Endodeoxyribonuclease RusA [PF05866.14]					0
NC_071075_NC_071075_37	NC_071075	NC_071075	37	30395	30631	1	E								0
NC_071075_NC_071075_38	NC_071075	NC_071075	38	30628	30804	1	E								0
NC_071075_NC_071075_39	NC_071075	NC_071075	39	31230	31808	1	D			Protein of unknown function (DUF1642) [PF07852.14]					0
NC_071075_NC_071075_40	NC_071075	NC_071075	40	31809	32309	1	D			Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Cro/C1-type HTH DNA-binding domain [PF13443.9]					0
NC_071075_NC_071075_41	NC_071075	NC_071075	41	32284	32571	1	D			Protein of unknown function (DUF1372) [PF07116.14]					0
NC_071075_NC_071075_42	NC_071075	NC_071075	42	32575	33282	1	D			Protein of unknown function (DUF1340) [PF07067.14]					0
NC_071075_NC_071075_43	NC_071075	NC_071075	43	33636	34049	1	E								0
