	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001772.1_1	QGNH01001772.1	QGNH01001772.1	1	1	471	1	E											0	False	F
QGNH01001772.1_2	QGNH01001772.1	QGNH01001772.1	2	475	861	1	E											0	False	F
QGNH01001772.1_3	QGNH01001772.1	QGNH01001772.1	3	858	1367	1	E											0	False	F
QGNH01001772.1_4	QGNH01001772.1	QGNH01001772.1	4	1379	1855	1	E											0	False	F
QGNH01001772.1_5	QGNH01001772.1	QGNH01001772.1	5	2083	2313	1	E											0	False	F
QGNH01001772.1_6	QGNH01001772.1	QGNH01001772.1	6	2303	2476	1	E											0	False	F
QGNH01001772.1_7	QGNH01001772.1	QGNH01001772.1	7	2481	2624	1	E											0	False	F
QGNH01001772.1_8	QGNH01001772.1	QGNH01001772.1	8	2621	2914	1	E											0	False	F
QGNH01001772.1_9	QGNH01001772.1	QGNH01001772.1	9	2916	3221	1	E											0	False	F
QGNH01001772.1_10	QGNH01001772.1	QGNH01001772.1	10	3487	3804	1	E											0	False	F
QGNH01001772.1_11	QGNH01001772.1	QGNH01001772.1	11	3943	5706	1	E	NP_705672.2	NP_705672.2 tail fiber protein [Burkholderia phage Bcep781]	False	0.174	78.0	2.262e-13					0	False	F
QGNH01001772.1_12	QGNH01001772.1	QGNH01001772.1	12	5731	6303	1	E											0	False	
QGNH01001772.1_13	QGNH01001772.1	QGNH01001772.1	13	6303	6911	1	E	NP_848219.2	NP_848219.2 tail protein [Salmonella phage epsilon15]	False	0.254	62.0	6.255e-10					0	False	F
QGNH01001772.1_14	QGNH01001772.1	QGNH01001772.1	14	6908	7846	1	E											0	False	F
QGNH01001772.1_15	QGNH01001772.1	QGNH01001772.1	15	8098	11196	1	E	YP_010660694.1	YP_010660694.1 tail protein [Pseudomonas phage UFJF_PfDIW6]	False	0.275	207.0	2.403e-52					0	False	F
QGNH01001772.1_16	QGNH01001772.1	QGNH01001772.1	16	11193	11570	1	E											0	False	F
