	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001445.1_1	QGNH01001445.1	QGNH01001445.1	1	3	662	1	E											0	False	F
QGNH01001445.1_2	QGNH01001445.1	QGNH01001445.1	2	815	1828	1	D							Cadherin-like domain [PF17892.4]; Bacterial Ig domain [PF17963.4]				0	False	F
QGNH01001445.1_3	QGNH01001445.1	QGNH01001445.1	3	1957	2127	1	E											0	False	F
QGNH01001445.1_4	QGNH01001445.1	QGNH01001445.1	4	2115	2252	1	E											0	False	F
QGNH01001445.1_5	QGNH01001445.1	QGNH01001445.1	5	2252	4351	1	E	YP_009836057.1	YP_009836057.1 terminase large subunit [Streptomyces phage Manuel]	False	75.0	2.14e-12	0.207		VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	VF
QGNH01001445.1_6	QGNH01001445.1	QGNH01001445.1	6	4362	6584	1	E											0	False	F
QGNH01001445.1_7	QGNH01001445.1	QGNH01001445.1	7	6584	6943	1	E											0	False	
QGNH01001445.1_8	QGNH01001445.1	QGNH01001445.1	8	6945	8075	1	E											0	False	
QGNH01001445.1_9	QGNH01001445.1	QGNH01001445.1	9	8125	9426	1	D							Family of unknown function (DUF5309) [PF17236.5]				0	False	
QGNH01001445.1_10	QGNH01001445.1	QGNH01001445.1	10	9611	10018	1	E											0	False	
QGNH01001445.1_11	QGNH01001445.1	QGNH01001445.1	11	10062	11072	1	E											0	False	
QGNH01001445.1_12	QGNH01001445.1	QGNH01001445.1	12	11131	12516	1	D							Concanavalin A-like lectin/glucanases superfamily [PF13385.9]				0	False	MK
QGNH01001445.1_13	QGNH01001445.1	QGNH01001445.1	13	12516	16877	1	E											0	False	
QGNH01001445.1_14	QGNH01001445.1	QGNH01001445.1	14	16877	18019	1	E											0	False	
QGNH01001445.1_15	QGNH01001445.1	QGNH01001445.1	15	17997	18611	1	E											0	False	
QGNH01001445.1_16	QGNH01001445.1	QGNH01001445.1	16	18608	19480	1	E											0	False	
QGNH01001445.1_17	QGNH01001445.1	QGNH01001445.1	17	19490	22057	1	D							ADP-Ribosyltransferase in polyvalent proteins [PF18760.4]				0	False	F
QGNH01001445.1_18	QGNH01001445.1	QGNH01001445.1	18	22243	24429	1	E											0	False	F
QGNH01001445.1_19	QGNH01001445.1	QGNH01001445.1	19	24452	24910	-1	E											0	False	F
QGNH01001445.1_20	QGNH01001445.1	QGNH01001445.1	20	24910	25224	-1	E											0	False	F
