	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_023745_1	NC_023745	NC_023745	1	800	1231	1	E			YP_009007194.1	YP_009007194.1 hypothetical protein PBI_OBAMA12_2 [Mycobacterium phage Obama12]	False	0.957	290	1.253e-89													VOG00726	sp|O64201|VG05_BPMD2 Gene 5 protein; Xu	Xu	0	False	F
NC_023745_2	NC_023745	NC_023745	2	1323	1637	1	E			YP_009007195.1	YP_009007195.1 hypothetical protein PBI_OBAMA12_3 [Mycobacterium phage Obama12]	False	0.972	215	1.6e-64																0	False	F
NC_023745_3	NC_023745	NC_023745	3	1642	2718	1	D			YP_009018789.1	YP_009018789.1 tail protein [Mycobacterium phage LHTSCC]	True	0.941	708	2.209e-230								Collagen triple helix repeat (20 copies) [PF01391.21]					VOG01733	sp|O42350|CO1A2_LITCT Collagen alpha-2(I) chain; Xh	Xh	0	False	F
NC_023745_4	NC_023745	NC_023745	4	2722	3387	1	E			YP_009007197.1	YP_009007197.1 minor tail protein [Mycobacterium phage Obama12]	True	0.937	436	7.466e-139																0	False	F
NC_023745_5	NC_023745	NC_023745	5	3366	3758	1	E			YP_010062479.1	YP_010062479.1 hypothetical protein KIY69_gp06 [Mycobacterium phage Cerulean]	False	1.0	282	5.067e-87													VOG01000	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_023745_6	NC_023745	NC_023745	6	3791	3928	1	E			YP_009007199.1	YP_009007199.1 hypothetical protein PBI_OBAMA12_7 [Mycobacterium phage Obama12]	False	0.908	88	2.157e-21													VOG09378	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_023745_7	NC_023745	NC_023745	7	3928	5409	1	D			YP_010062481.1	YP_010062481.1 endolysin [Mycobacterium phage Cerulean]	True	1.0	1045	0.0								Chitinase class I [PF00182.22]	GH19	GH19 chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); [reducing end] chitinase (EC 3.2.1.201)	3.2.1.14,3.2.1.17	GH19.hmm	VOG03532	sp|O64203|ENLYS_BPMD2 Endolysin A; XhXp	Xh;Xp	0	False	F
NC_023745_8	NC_023745	NC_023745	8	5406	5858	1	D			YP_009007201.1	YP_009007201.1 holin [Mycobacterium phage Obama12]	False	0.915	289	3.295e-89								Mycobacterial 2 TMS Phage Holin (M2 Hol) Family [PF16081.8]					VOG03716	sp|O64204|HOLIN_BPMD2 Holin; XhXp	Xh;Xp	0	False	
NC_023745_9	NC_023745	NC_023745	9	5858	6838	1	E			YP_009007202.1	YP_009007202.1 lysin B [Mycobacterium phage Obama12]	True	0.988	682	5.318e-222													VOG00985	sp|O64205|LYSB_BPMD2 Endolysin B; XhXp	Xh;Xp	0	False	
NC_023745_10	NC_023745	NC_023745	10	6861	8558	1	D			YP_009007203.1	YP_009007203.1 terminase large subunit [Mycobacterium phage Obama12]	True	0.999	1195	0.0								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]					VOG00185	sp|O64206|VG13_BPMD2 Gene 13 protein; Xu	Xu	0	False	
