	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	heme_regulatory_motif_count
NC_042347.1_NC_042347.1_1	NC_042347.1	NC_042347.1	1	384	716	1	E		0
NC_042347.1_NC_042347.1_2	NC_042347.1	NC_042347.1	2	718	1026	1	E		0
NC_042347.1_NC_042347.1_3	NC_042347.1	NC_042347.1	3	1007	1474	1	E		0
NC_042347.1_NC_042347.1_4	NC_042347.1	NC_042347.1	4	1479	1814	1	E		0
NC_042347.1_NC_042347.1_5	NC_042347.1	NC_042347.1	5	1847	2116	-1	E		0
NC_042347.1_NC_042347.1_6	NC_042347.1	NC_042347.1	6	2184	2393	1	E		0
NC_042347.1_NC_042347.1_7	NC_042347.1	NC_042347.1	7	2453	2758	1	E		0
NC_042347.1_NC_042347.1_8	NC_042347.1	NC_042347.1	8	2835	3230	1	E		0
NC_042347.1_NC_042347.1_9	NC_042347.1	NC_042347.1	9	3223	3489	1	E		0
NC_042347.1_NC_042347.1_10	NC_042347.1	NC_042347.1	10	3554	3865	1	E		0
NC_042347.1_NC_042347.1_11	NC_042347.1	NC_042347.1	11	3917	4105	1	E		0
NC_042347.1_NC_042347.1_12	NC_042347.1	NC_042347.1	12	4102	4278	-1	E		0
NC_042347.1_NC_042347.1_13	NC_042347.1	NC_042347.1	13	4275	4736	-1	E		0
NC_042347.1_NC_042347.1_14	NC_042347.1	NC_042347.1	14	4772	5161	1	E		0
NC_042347.1_NC_042347.1_15	NC_042347.1	NC_042347.1	15	5208	5531	1	E		0
NC_042347.1_NC_042347.1_16	NC_042347.1	NC_042347.1	16	5547	5825	1	E		0
NC_042347.1_NC_042347.1_17	NC_042347.1	NC_042347.1	17	5864	6001	1	E		0
NC_042347.1_NC_042347.1_18	NC_042347.1	NC_042347.1	18	6007	7152	1	E		0
NC_042347.1_NC_042347.1_19	NC_042347.1	NC_042347.1	19	7191	7427	1	E		0
NC_042347.1_NC_042347.1_20	NC_042347.1	NC_042347.1	20	7424	7846	1	E		0
NC_042347.1_NC_042347.1_21	NC_042347.1	NC_042347.1	21	8029	9618	1	E		0
NC_042347.1_NC_042347.1_22	NC_042347.1	NC_042347.1	22	9620	11659	1	E		0
NC_042347.1_NC_042347.1_23	NC_042347.1	NC_042347.1	23	11816	12661	1	E		0
NC_042347.1_NC_042347.1_24	NC_042347.1	NC_042347.1	24	12667	12903	1	E		0
NC_042347.1_NC_042347.1_25	NC_042347.1	NC_042347.1	25	12903	13106	1	E		0
NC_042347.1_NC_042347.1_26	NC_042347.1	NC_042347.1	26	13103	13357	1	E		0
NC_042347.1_NC_042347.1_27	NC_042347.1	NC_042347.1	27	13354	13611	-1	E		0
NC_042347.1_NC_042347.1_28	NC_042347.1	NC_042347.1	28	13937	16381	1	E		0
NC_042347.1_NC_042347.1_29	NC_042347.1	NC_042347.1	29	16374	18299	1	E		0
NC_042347.1_NC_042347.1_30	NC_042347.1	NC_042347.1	30	18405	18602	-1	E		0
NC_042347.1_NC_042347.1_31	NC_042347.1	NC_042347.1	31	18717	19031	-1	E		0
NC_042347.1_NC_042347.1_32	NC_042347.1	NC_042347.1	32	19000	19362	-1	E		0
NC_042347.1_NC_042347.1_33	NC_042347.1	NC_042347.1	33	19352	19654	-1	E		0
NC_042347.1_NC_042347.1_34	NC_042347.1	NC_042347.1	34	19676	20032	1	E		0
NC_042347.1_NC_042347.1_35	NC_042347.1	NC_042347.1	35	20007	20588	1	E		0
NC_042347.1_NC_042347.1_36	NC_042347.1	NC_042347.1	36	20591	22588	1	D	DNA polymerase type B, organellar and viral [PF03175.16]; DNA polymerase family B [PF00136.24]	0
NC_042347.1_NC_042347.1_37	NC_042347.1	NC_042347.1	37	22581	22910	-1	E		0
