	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001697.1_1	QGNH01001697.1	QGNH01001697.1	1	2	253	-1	E																		0	False	F
QGNH01001697.1_2	QGNH01001697.1	QGNH01001697.1	2	232	705	-1	E																		0	False	F
QGNH01001697.1_3	QGNH01001697.1	QGNH01001697.1	3	761	1336	-1	E																		0	False	F
QGNH01001697.1_4	QGNH01001697.1	QGNH01001697.1	4	1341	1832	-1	E																		0	False	F
QGNH01001697.1_5	QGNH01001697.1	QGNH01001697.1	5	1864	2154	-1	E																		0	False	F
QGNH01001697.1_6	QGNH01001697.1	QGNH01001697.1	6	2151	2675	-1	E																		0	False	F
QGNH01001697.1_7	QGNH01001697.1	QGNH01001697.1	7	2928	3716	-1	E																		0	False	F
QGNH01001697.1_8	QGNH01001697.1	QGNH01001697.1	8	3716	4108	-1	E																		0	False	F
QGNH01001697.1_9	QGNH01001697.1	QGNH01001697.1	9	4162	4512	-1	E																		0	False	F
QGNH01001697.1_10	QGNH01001697.1	QGNH01001697.1	10	4537	5166	-1	E																		0	False	F
QGNH01001697.1_11	QGNH01001697.1	QGNH01001697.1	11	5200	7200	-1	D	YP_009100023.1	YP_009100023.1 major head protein [Escherichia phage vB_EcoM-ep3]	False	0.278	261.0	1.051e-71	MER0194231	S78	MER0194231 - family S78 non-peptidase homologues (Neisseria meningitidis) [S78.UNW]#S78#{peptidase unit: 24-163}~source CBA05300~	False	111.0	2.724e-23	0.433	Phage capsid family [PF05065.16]	VOG02241	sp|B0ZSF3|CAPSD_BPHA1 Major capsid protein; XhXs	Xs;Xh	0	False	VP
QGNH01001697.1_12	QGNH01001697.1	QGNH01001697.1	12	7330	9096	-1	D	YP_001039817.1	YP_001039817.1 portal protein [Vibrio phage VP882]	False	0.279	182.0	3.3300000000000003e-46								Phage portal protein, lambda family [PF05136.16]	VOG01401	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xr;Xp;Xs	0	False	VF
QGNH01001697.1_13	QGNH01001697.1	QGNH01001697.1	13	9104	9745	-1	E																		0	False	F
QGNH01001697.1_14	QGNH01001697.1	QGNH01001697.1	14	9774	9896	-1	E																		0	False	F
QGNH01001697.1_15	QGNH01001697.1	QGNH01001697.1	15	9893	11998	-1	D	YP_009797490.1	YP_009797490.1 terminase large subunit [Faecalibacterium phage FP_Toutatis]	False	0.281	254.0	5.035e-69								Terminase large subunit gpA, endonuclease domain [PF20454.1]; Phage terminase large subunit gpA, ATPase domain [PF05876.15]	VOG00695	sp|P03708|TERL_LAMBD Terminase, large subunit; XhXr	Xr;Xh	0	False	VF
QGNH01001697.1_16	QGNH01001697.1	QGNH01001697.1	16	11988	12500	-1	E																		0	False	F
QGNH01001697.1_17	QGNH01001697.1	QGNH01001697.1	17	12497	12706	-1	E																		0	False	F
QGNH01001697.1_18	QGNH01001697.1	QGNH01001697.1	18	12703	13086	-1	E																		0	False	F
