	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001846.1_1	QGNH01001846.1	QGNH01001846.1	1	168	749	1	E															0	False	F
QGNH01001846.1_2	QGNH01001846.1	QGNH01001846.1	2	730	930	1	E															0	False	F
QGNH01001846.1_3	QGNH01001846.1	QGNH01001846.1	3	1072	2688	1	D	YP_009829876.1	YP_009829876.1 terminase large subunit [Bacillus phage phi105]	False	62.0	1.015e-08	0.174	Terminase large subunit, ATPase domain [PF03354.18]; Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001846.1_4	QGNH01001846.1	QGNH01001846.1	4	2723	3166	1	E															0	False	F
QGNH01001846.1_5	QGNH01001846.1	QGNH01001846.1	5	3178	4470	1	E															0	False	F
QGNH01001846.1_6	QGNH01001846.1	QGNH01001846.1	6	4504	4704	1	E															0	False	F
QGNH01001846.1_7	QGNH01001846.1	QGNH01001846.1	7	5207	5572	1	D							Protein of unknown function (DUF1878) [PF08963.13]								0	False	F
QGNH01001846.1_8	QGNH01001846.1	QGNH01001846.1	8	5612	5758	-1	E															0	False	F
QGNH01001846.1_9	QGNH01001846.1	QGNH01001846.1	9	5814	5981	1	E															0	False	F
QGNH01001846.1_10	QGNH01001846.1	QGNH01001846.1	10	6648	9014	1	D							Glycosyl hydrolase family 92 [PF07971.15]; Glycosyl hydrolase family 92 N-terminal domain [PF17678.4]	GH92	GH92 mannosyl-oligosaccharide alpha-1,2-mannosidase (EC 3.2.1.113); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC 3.2.1.-); mannosyl-oligosaccharide alpha-1,6-mannosidase (EC 3.2.1.-); alpha-mannosidase (EC 3.2.1.24); alpha-1,2-mannosidase (EC 3.2.1.-); alpha-1,3-mannosidase (EC 3.2.1.207); alpha-1,4-mannosidase (EC 3.2.1.-); mannosyl-1-phosphodiester alpha-1,P-mannosidase (EC 3.2.1.-)	3.2.1.113,3.2.1.24,3.2.1.-	GH92.hmm				0	False	MKF
QGNH01001846.1_11	QGNH01001846.1	QGNH01001846.1	11	8893	9516	-1	E															0	False	F
QGNH01001846.1_12	QGNH01001846.1	QGNH01001846.1	12	9671	10231	-1	E															0	False	F
