	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_028881_NC_028881_1	NC_028881	NC_028881	1	2	2212	-1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF13589.9]					0
NC_028881_NC_028881_2	NC_028881	NC_028881	2	2220	2423	-1	E															0
NC_028881_NC_028881_3	NC_028881	NC_028881	3	2410	2733	-1	E															0
NC_028881_NC_028881_4	NC_028881	NC_028881	4	2808	2969	-1	E															0
NC_028881_NC_028881_5	NC_028881	NC_028881	5	3012	4829	-1	C	K26040	Escherichia phage DNA topoisomerase large subunit [EC:5.6.2.2]								DNA gyrase B [PF00204.28]; C-terminal associated domain of TOPRIM [PF16898.8]					0
NC_028881_NC_028881_6	NC_028881	NC_028881	6	4895	5155	-1	E															0
NC_028881_NC_028881_7	NC_028881	NC_028881	7	5161	5334	-1	D										Zinc ribbon domain [PF09723.13]					1
NC_028881_NC_028881_8	NC_028881	NC_028881	8	5336	5731	-1	E															0
NC_028881_NC_028881_9	NC_028881	NC_028881	9	5724	5942	-1	E															0
NC_028881_NC_028881_10	NC_028881	NC_028881	10	6023	6589	-1	D										Modifier of transcription [PF17613.5]					0
NC_028881_NC_028881_11	NC_028881	NC_028881	11	6663	7412	-1	D										Modifier of transcription [PF17613.5]					0
NC_028881_NC_028881_12	NC_028881	NC_028881	12	7409	7918	-1	E															0
NC_028881_NC_028881_13	NC_028881	NC_028881	13	7978	8652	-1	C	K26049	Escherichia phage exodeoxyribonuclease [EC:3.1.11.1]								3'-5' exoribonuclease Rv2179c-like domain [PF16473.8]					0
NC_028881_NC_028881_14	NC_028881	NC_028881	14	8649	8888	-1	E															0
NC_028881_NC_028881_15	NC_028881	NC_028881	15	8896	10227	-1	C	K21499	Escherichia phage ATP-dependent DNA helicase [EC:5.6.2.3]								Dda helicase SH3 domain [PF18343.4]; AAA domain [PF13604.9]; PIF1-like helicase [PF05970.17]; AAA domain [PF13245.9]					0
NC_028881_NC_028881_16	NC_028881	NC_028881	16	10224	10520	-1	E															0
NC_028881_NC_028881_17	NC_028881	NC_028881	17	10525	11268	-1	E															0
