	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_049458_1	NC_049458	NC_049458	1	80	3367	-1	D			YP_009883090.1	YP_009883090.1 tail protein [Salmonella phage SS9]	True	0.963	2220	0.0								Tail spike TSP1/Gp66 receptor binding N-terminal domain [PF18668.4]	VOG00768	REFSEQ haemolysin-type calcium binding; Xu	Xu	0	False	F
NC_049458_2	NC_049458	NC_049458	2	3414	4604	-1	E			YP_009883091.1	YP_009883091.1 hypothetical protein HYP88_gp002 [Salmonella phage SS9]	True	0.916	760	1.54e-247												0	False	F
NC_049458_3	NC_049458	NC_049458	3	4607	5461	-1	E			YP_009876002.1	YP_009876002.1 head closure Hc2 [Salmonella phage ST-W77]	True	0.998	601	1.162e-194									VOG10033	REFSEQ head closure Hc2; Xu	Xu	0	False	F
NC_049458_4	NC_049458	NC_049458	4	5445	7226	-1	E			YP_009883093.1	YP_009883093.1 baseplate wedge subunit [Salmonella phage SS9]	True	0.953	1189	0.0									VOG01398	sp|P19060|BP06_BPT4 Baseplate wedge protein gp6; Xs	Xs	0	False	V
NC_049458_5	NC_049458	NC_049458	5	7590	8159	1	E			YP_009966646.1	YP_009966646.1 hypothetical protein HYQ26_gp133 [Salmonella phage Se-G]	True	0.951	380	6.36e-120									VOG10034	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_6	NC_049458	NC_049458	6	8217	8363	1	E			YP_009880314.1	YP_009880314.1 hypothetical protein HYP60_gp207 [Escherichia phage EP75]	False	0.924	95	6.052e-24									VOG05055	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_7	NC_049458	NC_049458	7	10533	10946	1	D			YP_009883097.1	YP_009883097.1 HNH homing endonuclease [Salmonella phage SS9]	False	1.0	292	1.9339999999999999e-90								HNH endonuclease [PF13392.9]	VOG00866	REFSEQ HNH endonuclease; Xu	Xu	0	False	
NC_049458_8	NC_049458	NC_049458	8	11052	11249	1	E			YP_009883098.1	YP_009883098.1 hypothetical protein HYP88_gp009 [Salmonella phage SS9]	False	1.0	141	2.126e-39									VOG10035	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_9	NC_049458	NC_049458	9	11263	11397	1	E			YP_009883099.1	YP_009883099.1 hypothetical protein HYP88_gp010 [Salmonella phage SS9]	False	1.0	99	2.8170000000000003e-25									VOG09365	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_10	NC_049458	NC_049458	10	12676	12909	1	E			YP_004957876.1	YP_004957876.1 hypothetical protein CBA120_gp174 [Escherichia phage Cba120]	False	0.952	156	1.23e-44									VOG06772	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_11	NC_049458	NC_049458	11	12919	13437	1	D			YP_009879652.1	YP_009879652.1 tail needle knob [Salmonella phage Mutine]	False	0.952	346	1.256e-108								Sf6-type phage tail needle knob or tip of some Caudovirales [PF16532.8]	VOG00969	sp|P35837|NEEDL_BPP22 Tail needle protein gp26; XhXpXrXs	Xh;Xr;Xp;Xs	0	False	V
NC_049458_12	NC_049458	NC_049458	12	13509	14192	1	E			YP_009101503.1	YP_009101503.1 hypothetical protein PI33_gp107 [Escherichia phage ECML-4]	True	0.983	473	2.4899999999999998e-151									VOG10038	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_13	NC_049458	NC_049458	13	14262	15536	1	E			YP_009880744.1	YP_009880744.1 hypothetical protein HYP66_gp199 [Salmonella phage S118]	True	1.0	921	8.486e-303									VOG06634	sp|E1XTJ1|PLP_BPSAV O-seryl-dTMP PLP-dependent decarboxylase; XhXp	Xh;Xp	0	False	
NC_049458_14	NC_049458	NC_049458	14	15576	16025	1	D			YP_009879649.1	YP_009879649.1 hypothetical protein HYP55_gp027 [Salmonella phage Mutine]	False	0.963	304	1.938e-94								ADP-Ribosyltransferase in polyvalent proteins [PF18760.4]; Protein of unknown function (DUF3990) [PF13151.9]	VOG10036	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_15	NC_049458	NC_049458	15	16061	16519	1	E			YP_009880746.1	YP_009880746.1 hypothetical protein HYP66_gp197 [Salmonella phage S118]	False	0.947	304	1.632e-94									VOG10037	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_16	NC_049458	NC_049458	16	16556	17101	-1	E			YP_009880747.1	YP_009880747.1 hypothetical protein HYP66_gp196 [Salmonella phage S118]	True	0.987	379	8.164e-120									VOG10039	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_17	NC_049458	NC_049458	17	17150	17707	-1	E			YP_009883106.1	YP_009883106.1 hypothetical protein HYP88_gp017 [Salmonella phage SS9]	True	0.962	377	6.559999999999999e-119									VOG10041	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_18	NC_049458	NC_049458	18	17803	18009	-1	E			YP_009887906.1	YP_009887906.1 hypothetical protein HYQ31_gp194 [Salmonella phage allotria]	False	0.986	144	1.964e-40									VOG06856	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_19	NC_049458	NC_049458	19	18057	18629	-1	E			YP_004957887.1	YP_004957887.1 hypothetical protein CBA120_gp184 [Escherichia phage Cba120]	True	0.96	386	5.875e-122									VOG10042	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_20	NC_049458	NC_049458	20	18709	21705	1	D			YP_009888515.1	YP_009888515.1 DNA polymerase [Salmonella phage dinky]	True	0.998	2107	0.0								DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]	VOG00345	sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase; XhXr	Xh;Xr	0	False	V
NC_049458_21	NC_049458	NC_049458	21	21766	22110	1	E			YP_009883110.1	YP_009883110.1 hypothetical protein HYP88_gp021 [Salmonella phage SS9]	False	0.947	229	4.096e-69									VOG10043	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_22	NC_049458	NC_049458	22	22103	22885	1	D			YP_004957890.1	YP_004957890.1 hypothetical protein CBA120_gp187 [Escherichia phage Cba120]	True	1.0	562	1.339e-181								5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C) [PF06941.15]	VOG02139	sp|P66840|53DR_STAAM Putative 5'(3')-deoxyribonucleotidase; Xu	Xu	0	False	
NC_049458_23	NC_049458	NC_049458	23	22896	23201	1	E			YP_009883112.1	YP_009883112.1 hypothetical protein HYP88_gp023 [Salmonella phage SS9]	False	0.996	215	1.894e-64									VOG10046	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_24	NC_049458	NC_049458	24	23201	24106	1	D			YP_009883113.1	YP_009883113.1 guanylate kinase [Salmonella phage SS9]	True	0.97	617	6.319e-200								P-loop Nucleotide Kinase2 [PF18747.4]	VOG10047	sp|E1XTK3|HMUD2_BPSAV 5-hmdU DNA kinase 2; Xp	Xp	0	False	
NC_049458_25	NC_049458	NC_049458	25	24109	24312	1	E			YP_007002834.1	YP_007002834.1 hypothetical protein F371_gp037 [Escherichia phage PhaxI]	False	0.906	129	2.296e-35									VOG01863	sp|P32274|Y06N_BPT4 Uncharacterized 14.2 kDa protein in e-segB intergenic region; Xu	Xu	0	False	
NC_049458_26	NC_049458	NC_049458	26	24314	24700	1	E			YP_009880757.1	YP_009880757.1 hypothetical protein HYP66_gp186 [Salmonella phage S118]	False	0.965	262	2.4169999999999998e-80									VOG10044	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_049458_27	NC_049458	NC_049458	27	24681	24866	1	E			YP_007002836.1	YP_007002836.1 membrane protein [Escherichia phage PhaxI]	False	0.914	119	6.415e-32									VOG10045	REFSEQ membrane protein; Xu	Xu	0	False	
NC_049458_28	NC_049458	NC_049458	28	24863	26098	1	D			YP_009883117.1	YP_009883117.1 hypothetical protein HYP88_gp028 [Salmonella phage SS9]	True	1.0	909	5.864e-299								Alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 2 [PF18724.4]	VOG03959	sp|E1XTK6|SERDT_BPSAV Serinyltransferase; Xp	Xp	0	False	
NC_049458_29	NC_049458	NC_049458	29	26137	26304	1	E			YP_009617781.1	YP_009617781.1 hypothetical protein FDI91_gp156 [Salmonella phage STML-13-1]	False	0.889	104	5.883e-27									VOG01077	sp|O48393|GP37_BPSP1 Putative gene 37 protein; Xu	Xu	0	False	
NC_049458_30	NC_049458	NC_049458	30	26385	26576	1	E			YP_009888097.1	YP_009888097.1 hypothetical protein HYQ32_gp183 [Salmonella phage bering]	False	0.984	133	7.889e-37									VOG03195	REFSEQ hypothetical protein; Xu	Xu	0	False	
