	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001603.1_1	QGNH01001603.1	QGNH01001603.1	1	2	310	1	E																		0	False	F
QGNH01001603.1_2	QGNH01001603.1	QGNH01001603.1	2	432	1907	-1	E																		0	False	F
QGNH01001603.1_3	QGNH01001603.1	QGNH01001603.1	3	1979	2374	-1	E																		0	False	F
QGNH01001603.1_4	QGNH01001603.1	QGNH01001603.1	4	2376	2801	-1	E																		0	False	F
QGNH01001603.1_5	QGNH01001603.1	QGNH01001603.1	5	2802	3488	-1	E																		0	False	F
QGNH01001603.1_6	QGNH01001603.1	QGNH01001603.1	6	3519	4373	1	D	YP_009513065.1	YP_009513065.1 cathepsin [Agrotis segetum granulovirus]	False	0.278	95.0	4.442e-20	MER1161154	C01A	MER1161154 - subfamily C1A unassigned peptidases (Lactuca sativa) [C01.UPA]#C01A#{peptidase unit: 129-347}~source XP_023733587~	False	0.353	129.0	2.263e-31	Papain family cysteine protease [PF00112.26]	VOG04780	REFSEQ hypothetical protein; Xu	Xu	0	False	PF
QGNH01001603.1_7	QGNH01001603.1	QGNH01001603.1	7	4391	4600	-1	E																		0	False	F
QGNH01001603.1_8	QGNH01001603.1	QGNH01001603.1	8	4600	4953	-1	D	YP_010664382.1	YP_010664382.1 endolysin [Yersinia phage vB_YenM_324]	False	0.471	102.0	5.429e-25	MER0193286	M15X	MER0193286 - family M15 unassigned peptidases (Dickeya dadantii) [M15.UPW]#M15X#{peptidase unit: 3-105}~source ACZ75642~	False	0.478	96.0	1.148e-22					0	False	F
QGNH01001603.1_9	QGNH01001603.1	QGNH01001603.1	9	4950	5162	-1	E																		0	False	F
QGNH01001603.1_10	QGNH01001603.1	QGNH01001603.1	10	5182	5445	-1	E																		0	False	
QGNH01001603.1_11	QGNH01001603.1	QGNH01001603.1	11	5445	5699	-1	E																		0	False	
QGNH01001603.1_12	QGNH01001603.1	QGNH01001603.1	12	5689	6297	-1	D														Glycosyltransferase family 9 (heptosyltransferase) [PF01075.20]				0	False	
QGNH01001603.1_13	QGNH01001603.1	QGNH01001603.1	13	6632	7483	-1	E																		0	False	
QGNH01001603.1_14	QGNH01001603.1	QGNH01001603.1	14	7492	7977	-1	E																		0	False	
QGNH01001603.1_15	QGNH01001603.1	QGNH01001603.1	15	7988	8677	-1	E																		0	False	
QGNH01001603.1_16	QGNH01001603.1	QGNH01001603.1	16	8677	9975	-1	E																		0	False	
QGNH01001603.1_17	QGNH01001603.1	QGNH01001603.1	17	9920	10960	-1	E	YP_010719847.1	YP_010719847.1 baseplate protein [Pseudomonas phage MiCath]	False	0.394	70.0	1.362e-11												0	False	F
QGNH01001603.1_18	QGNH01001603.1	QGNH01001603.1	18	10974	11366	-1	E	YP_010684834.1	YP_010684834.1 baseplate wedge subunit [Klebsiella phage vB_KleM_KB2]	False	0.339	63.0	6.11e-11												0	False	F
QGNH01001603.1_19	QGNH01001603.1	QGNH01001603.1	19	11366	11587	-1	E																		0	False	F
QGNH01001603.1_20	QGNH01001603.1	QGNH01001603.1	20	11594	12280	-1	D	NP_852773.1	NP_852773.1 baseplate spike [Haemophilus phage Aaphi23]	False	0.33	81.0	3.769e-16								Phage protein Gp138 N-terminal domain [PF18352.4]	VOG00324	sp|P31340|SPIKE_BPP2 Spike protein; XhXpXs	Xp;Xh;Xs	0	False	VF
QGNH01001603.1_21	QGNH01001603.1	QGNH01001603.1	21	12281	13375	-1	E	YP_004327324.1	YP_004327324.1 baseplate hub [Erwinia phage phiEt88]	False	0.236	89.0	1.487e-17									VOG01442	REFSEQ baseplate hub; Xu	Xu	0	False	F
QGNH01001603.1_22	QGNH01001603.1	QGNH01001603.1	22	13372	13704	-1	E															VOG00258	REFSEQ virion structural protein; Xu	Xu	0	False	F
QGNH01001603.1_23	QGNH01001603.1	QGNH01001603.1	23	13701	14414	-1	E															VOG01485	REFSEQ tail fiber protein; Xu	Xu	0	False	F
QGNH01001603.1_24	QGNH01001603.1	QGNH01001603.1	24	14661	15578	-1	E																		0	False	F
