	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001176.1_1	QGNH01001176.1	QGNH01001176.1	1	2	1882	1	E													0	False	F
QGNH01001176.1_2	QGNH01001176.1	QGNH01001176.1	2	1895	3430	1	E													0	False	F
QGNH01001176.1_3	QGNH01001176.1	QGNH01001176.1	3	3440	8659	1	D									RuvB C-terminal winged helix domain [PF05491.16]; AAA domain (dynein-related subfamily) [PF07728.17]; ATPase family associated with various cellular activities (AAA) [PF00004.32]				0	False	F
QGNH01001176.1_4	QGNH01001176.1	QGNH01001176.1	4	8656	9408	1	C	K03575	A/G-specific adenine glycosylase [EC:3.2.2.31]	YP_009177770.1	YP_009177770.1 A/G-specific adenine glycosylase [Aeropyrum pernix spindle-shaped virus 1]	False	128.0	8.040000000000001e-32	0.359	HhH-GPD superfamily base excision DNA repair protein [PF00730.28]				0	False	
QGNH01001176.1_5	QGNH01001176.1	QGNH01001176.1	5	9405	9641	1	D									Uncharacterized protein conserved in bacteria (DUF2314) [PF10077.12]				0	False	
QGNH01001176.1_6	QGNH01001176.1	QGNH01001176.1	6	9704	9928	-1	E													0	False	
QGNH01001176.1_7	QGNH01001176.1	QGNH01001176.1	7	10380	11501	-1	E													0	False	
QGNH01001176.1_8	QGNH01001176.1	QGNH01001176.1	8	11943	13409	1	E													0	False	F
QGNH01001176.1_9	QGNH01001176.1	QGNH01001176.1	9	13455	14861	1	E													0	False	F
QGNH01001176.1_10	QGNH01001176.1	QGNH01001176.1	10	14872	15852	1	E													0	False	F
QGNH01001176.1_11	QGNH01001176.1	QGNH01001176.1	11	16649	17200	-1	E													0	False	F
QGNH01001176.1_12	QGNH01001176.1	QGNH01001176.1	12	17262	17381	-1	E													0	False	F
QGNH01001176.1_13	QGNH01001176.1	QGNH01001176.1	13	17694	17807	-1	E													0	False	F
QGNH01001176.1_14	QGNH01001176.1	QGNH01001176.1	14	17807	17986	-1	E													0	False	F
