Name	Count
Carbohydrate metabolism	405
Lipid metabolism	95
Amino acid metabolism	341
Metabolism of cofactors and vitamins	193
Xenobiotics biodegradation and metabolism	139
Biosynthesis of other secondary metabolites	69
Glycan biosynthesis and metabolism	74
Energy metabolism	183
Signal transduction	152
Metabolism of other amino acids	78
Transport and catabolism	19
Cancer: overview	22
Cardiovascular disease	40
Protein families: signaling and cellular processes	817
Unclassified: metabolism	250
Protein families: metabolism	295
Metabolism of terpenoids and polyketides	43
Nucleotide metabolism	106
Infectious disease: bacterial	32
Neurodegenerative disease	143
Protein families: genetic information processing	641
Endocrine system	15
Environmental adaptation	33
Endocrine and metabolic disease	24
Nervous system	20
Substance dependence	7
Drug resistance: antineoplastic	6
Cancer: specific types	7
Circulatory system	3
Poorly characterized	135
Folding, sorting and degradation	47
Cell motility	50
Translation	78
Digestive system	2
Cellular community - prokaryotes	127
Cell growth and death	36
Drug resistance: antimicrobial	37
Aging	13
Immune system	12
Infectious disease: viral	10
Replication and repair	80
Infectious disease: parasitic	5
Excretory system	1
Development and regeneration	1
Unclassified: signaling and cellular processes	57
Membrane transport	245
Transcription	4
Unclassified: genetic information processing	44
Immune disease	1
Signaling molecules and interaction	2
