	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001670.1_1	QGNH01001670.1	QGNH01001670.1	1	2	715	-1	E					0	False	F
QGNH01001670.1_2	QGNH01001670.1	QGNH01001670.1	2	720	1082	-1	E					0	False	F
QGNH01001670.1_3	QGNH01001670.1	QGNH01001670.1	3	1082	1888	-1	E					0	False	F
QGNH01001670.1_4	QGNH01001670.1	QGNH01001670.1	4	1867	2031	-1	E					0	False	F
QGNH01001670.1_5	QGNH01001670.1	QGNH01001670.1	5	2099	2356	-1	E					0	False	F
QGNH01001670.1_6	QGNH01001670.1	QGNH01001670.1	6	2412	2690	-1	E					0	False	F
QGNH01001670.1_7	QGNH01001670.1	QGNH01001670.1	7	2690	3121	-1	E					0	False	F
QGNH01001670.1_8	QGNH01001670.1	QGNH01001670.1	8	3121	3633	-1	E					0	False	F
QGNH01001670.1_9	QGNH01001670.1	QGNH01001670.1	9	3956	4252	-1	E					0	False	F
QGNH01001670.1_10	QGNH01001670.1	QGNH01001670.1	10	4249	4986	-1	E					0	False	F
QGNH01001670.1_11	QGNH01001670.1	QGNH01001670.1	11	4941	5384	-1	E					0	False	F
QGNH01001670.1_12	QGNH01001670.1	QGNH01001670.1	12	5589	6611	-1	E					0	False	
QGNH01001670.1_13	QGNH01001670.1	QGNH01001670.1	13	6623	8029	-1	E					0	False	
QGNH01001670.1_14	QGNH01001670.1	QGNH01001670.1	14	8026	8502	-1	E					0	False	
QGNH01001670.1_15	QGNH01001670.1	QGNH01001670.1	15	8502	8858	-1	E					0	False	F
QGNH01001670.1_16	QGNH01001670.1	QGNH01001670.1	16	8875	10074	-1	D	Phage terminase large subunit [PF04466.16]				0	False	F
QGNH01001670.1_17	QGNH01001670.1	QGNH01001670.1	17	10364	10639	-1	E					0	False	F
QGNH01001670.1_18	QGNH01001670.1	QGNH01001670.1	18	10629	11126	-1	E					0	False	F
QGNH01001670.1_19	QGNH01001670.1	QGNH01001670.1	19	11666	12013	-1	E					0	False	F
QGNH01001670.1_20	QGNH01001670.1	QGNH01001670.1	20	12000	12239	-1	E					0	False	F
QGNH01001670.1_21	QGNH01001670.1	QGNH01001670.1	21	12242	12412	-1	E					0	False	F
QGNH01001670.1_22	QGNH01001670.1	QGNH01001670.1	22	12416	12739	-1	E					0	False	F
QGNH01001670.1_23	QGNH01001670.1	QGNH01001670.1	23	12919	13329	-1	E					0	False	F
QGNH01001670.1_24	QGNH01001670.1	QGNH01001670.1	24	13329	13487	-1	E					0	False	F
QGNH01001670.1_25	QGNH01001670.1	QGNH01001670.1	25	13484	13681	-1	E					0	False	F
QGNH01001670.1_26	QGNH01001670.1	QGNH01001670.1	26	13681	13788	-1	E					0	False	F
