	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
MF443784.1_1	GCA_002990085.1	MF443784.1	1	498	857	1	E	YP_009408147.1	YP_009408147.1 hypothetical protein c118 [Metallosphaera turreted icosahedral virus]	False	0.54	123.0	5.928e-32					0	False	F
MF443784.1_2	GCA_002990085.1	MF443784.1	2	817	1167	1	E	YP_009408148.1	YP_009408148.1 hypothetical protein a115 [Metallosphaera turreted icosahedral virus]	False	0.443	87.0	1.17e-19					0	False	F
MF443784.1_3	GCA_002990085.1	MF443784.1	3	1140	1535	1	E	YP_009408149.1	YP_009408149.1 hypothetical protein c134 [Metallosphaera turreted icosahedral virus]	False	0.53	132.0	7.057000000000001e-35					0	False	F
MF443784.1_4	GCA_002990085.1	MF443784.1	4	1556	2080	1	E	YP_009408150.1	YP_009408150.1 hypothetical protein a188 [Metallosphaera turreted icosahedral virus]	False	0.581	203.0	1.024e-58					0	False	F
MF443784.1_5	GCA_002990085.1	MF443784.1	5	2082	2411	1	E	YP_009408151.1	YP_009408151.1 hypothetical protein c109 [Metallosphaera turreted icosahedral virus]	False	0.923	213.0	1.36e-63					0	False	F
MF443784.1_6	GCA_002990085.1	MF443784.1	6	2568	2822	1	E	YP_009408152.1	YP_009408152.1 hypothetical protein c125 [Metallosphaera turreted icosahedral virus]	False	0.966	173.0	2.948e-50					0	False	F
MF443784.1_7	GCA_002990085.1	MF443784.1	7	2823	3284	1	E	YP_009408153.1	YP_009408153.1 hypothetical protein c153 [Metallosphaera turreted icosahedral virus]	False	0.873	280.0	7.414e-86					0	False	F
MF443784.1_8	GCA_002990085.1	MF443784.1	8	3319	3441	1	E	YP_009408154.1	YP_009408154.1 hypothetical protein a40 [Metallosphaera turreted icosahedral virus]	False	1.0	89.0	8.76e-22					0	False	F
MF443784.1_9	GCA_002990085.1	MF443784.1	9	3432	3749	1	E	YP_009408155.1	YP_009408155.1 virion structural protein [Metallosphaera turreted icosahedral virus]	False	1.0	224.0	1.1699999999999997e-67					0	False	F
MF443784.1_10	GCA_002990085.1	MF443784.1	10	3788	4054	1	E	YP_009408156.1	YP_009408156.1 virion structural protein [Metallosphaera turreted icosahedral virus]	False	0.921	172.0	9.281e-50					0	False	F
MF443784.1_11	GCA_002990085.1	MF443784.1	11	4060	4389	1	E	YP_009408157.1	YP_009408157.1 virion structural protein [Metallosphaera turreted icosahedral virus]	False	0.962	223.0	5.039e-67					0	False	F
MF443784.1_12	GCA_002990085.1	MF443784.1	12	4398	4799	1	E	YP_009408158.1	YP_009408158.1 structural protein c137 [Metallosphaera turreted icosahedral virus]	False	0.914	256.0	3.5100000000000003e-78					0	False	F
MF443784.1_13	GCA_002990085.1	MF443784.1	13	4848	5525	1	E	YP_009408159.1	YP_009408159.1 hypothetical protein c225 [Metallosphaera turreted icosahedral virus]	True	0.933	442.0	1.091e-140					0	False	F
MF443784.1_14	GCA_002990085.1	MF443784.1	14	5525	5809	1	E	YP_009408160.1	YP_009408160.1 hypothetical protein b94 [Metallosphaera turreted icosahedral virus]	False	0.97	194.0	1.85e-57					0	False	F
MF443784.1_15	GCA_002990085.1	MF443784.1	15	5944	6825	1	E	YP_009408161.1	YP_009408161.1 virion structural protein [Metallosphaera turreted icosahedral virus]	True	0.891	545.0	3.5499999999999997e-175					0	False	F
MF443784.1_16	GCA_002990085.1	MF443784.1	16	6822	7040	1	E	YP_009408162.1	YP_009408162.1 hypothetical protein c72 [Metallosphaera turreted icosahedral virus]	False	0.841	128.0	1.048e-34					0	False	F
MF443784.1_17	GCA_002990085.1	MF443784.1	17	7043	7453	1	E	YP_009408163.1	YP_009408163.1 hypothetical protein b136 [Metallosphaera turreted icosahedral virus]	False	0.981	284.0	1.397e-87					0	False	F
MF443784.1_18	GCA_002990085.1	MF443784.1	18	7623	7874	-1	E											0	False	F
MF443784.1_19	GCA_002990085.1	MF443784.1	19	8292	8498	-1	E											0	False	F
MF443784.1_20	GCA_002990085.1	MF443784.1	20	8681	8911	1	E	YP_009408165.1	YP_009408165.1 hypothetical protein b76 [Metallosphaera turreted icosahedral virus]	False	0.884	142.0	1.041e-39					0	False	F
MF443784.1_21	GCA_002990085.1	MF443784.1	21	8960	9199	1	E	YP_009408166.1	YP_009408166.1 hol-like chemotaxis [Metallosphaera turreted icosahedral virus]	False	0.889	149.0	7.629000000000001e-42					0	False	F
MF443784.1_22	GCA_002990085.1	MF443784.1	22	9196	9417	1	E	YP_009408167.1	YP_009408167.1 hypothetical protein a63 [Metallosphaera turreted icosahedral virus]	False	0.988	154.0	4.9e-44					0	False	F
MF443784.1_23	GCA_002990085.1	MF443784.1	23	9398	9505	-1	E											0	False	F
