	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001679.1_1	QGNH01001679.1	QGNH01001679.1	1	2	256	-1	E							0	False	F
QGNH01001679.1_2	QGNH01001679.1	QGNH01001679.1	2	257	364	-1	E							0	False	F
QGNH01001679.1_3	QGNH01001679.1	QGNH01001679.1	3	495	725	-1	E							0	False	F
QGNH01001679.1_4	QGNH01001679.1	QGNH01001679.1	4	838	1398	-1	E							0	False	F
QGNH01001679.1_5	QGNH01001679.1	QGNH01001679.1	5	1400	1585	-1	E							0	False	F
QGNH01001679.1_6	QGNH01001679.1	QGNH01001679.1	6	1560	1796	-1	E							0	False	F
QGNH01001679.1_7	QGNH01001679.1	QGNH01001679.1	7	1799	2068	-1	E							0	False	F
QGNH01001679.1_8	QGNH01001679.1	QGNH01001679.1	8	2065	2361	-1	E							0	False	F
QGNH01001679.1_9	QGNH01001679.1	QGNH01001679.1	9	2412	2660	-1	E							0	False	F
QGNH01001679.1_10	QGNH01001679.1	QGNH01001679.1	10	2647	2976	-1	E							0	False	F
QGNH01001679.1_11	QGNH01001679.1	QGNH01001679.1	11	3100	3276	-1	E							0	False	F
QGNH01001679.1_12	QGNH01001679.1	QGNH01001679.1	12	3333	3725	-1	E							0	False	F
QGNH01001679.1_13	QGNH01001679.1	QGNH01001679.1	13	3925	5208	-1	E							0	False	F
QGNH01001679.1_14	QGNH01001679.1	QGNH01001679.1	14	5327	6385	-1	E							0	False	
QGNH01001679.1_15	QGNH01001679.1	QGNH01001679.1	15	6498	6668	-1	E							0	False	
QGNH01001679.1_16	QGNH01001679.1	QGNH01001679.1	16	6681	7025	-1	E							0	False	
QGNH01001679.1_17	QGNH01001679.1	QGNH01001679.1	17	7041	8807	-1	E							0	False	F
QGNH01001679.1_18	QGNH01001679.1	QGNH01001679.1	18	8929	9186	-1	E							0	False	F
QGNH01001679.1_19	QGNH01001679.1	QGNH01001679.1	19	9403	10140	-1	E				VOG03878	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001679.1_20	QGNH01001679.1	QGNH01001679.1	20	10142	10393	-1	E							0	False	F
QGNH01001679.1_21	QGNH01001679.1	QGNH01001679.1	21	10451	11884	-1	C	K06909	phage terminase large subunit	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Phage terminase large subunit [PF04466.16]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001679.1_22	QGNH01001679.1	QGNH01001679.1	22	11881	12207	-1	E							0	False	F
QGNH01001679.1_23	QGNH01001679.1	QGNH01001679.1	23	12210	12461	-1	E							0	False	F
QGNH01001679.1_24	QGNH01001679.1	QGNH01001679.1	24	12454	12669	-1	E							0	False	F
QGNH01001679.1_25	QGNH01001679.1	QGNH01001679.1	25	12692	13108	-1	E							0	False	F
QGNH01001679.1_26	QGNH01001679.1	QGNH01001679.1	26	13101	13514	-1	E							0	False	F
QGNH01001679.1_27	QGNH01001679.1	QGNH01001679.1	27	13456	13605	-1	E							0	False	F
