	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MZ334519.1_1	MZ334519	MZ334519.1	1	902	1789	1	E			YP_008059985.1	YP_008059985.1 terminase small subunit [Halorubrum tailed phage 7]	True	0.96	597.0	3.331e-193		VOG05559	REFSEQ terminase small subunit; Xu	Xu	0	False	F
MZ334519.1_2	MZ334519	MZ334519.1	2	1779	2069	1	E			YP_008059986.1	YP_008059986.1 hypothetical protein M193_gp002 [Halorubrum tailed phage 7]	False	1.0	207.0	8.243e-62		VOG04981	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334519.1_3	MZ334519	MZ334519.1	3	2076	2198	1	E			YP_008059987.1	YP_008059987.1 hypothetical protein M193_gp003 [Halorubrum tailed phage 7]	False	0.925	80.0	9.519e-19					0	False	F
MZ334519.1_4	MZ334519	MZ334519.1	4	2191	2520	1	E			YP_008059988.1	YP_008059988.1 hypothetical protein M193_gp004 [Halorubrum tailed phage 7]	False	0.972	226.0	5.516e-68					0	False	F
MZ334519.1_5	MZ334519	MZ334519.1	5	2773	2982	1	E			YP_008059990.1	YP_008059990.1 hypothetical protein M193_gp006 [Halorubrum tailed phage 7]	False	0.964	142.0	7.332e-40					0	False	F
MZ334519.1_6	MZ334519	MZ334519.1	6	2995	4767	1	D			YP_007379086.1	YP_007379086.1 terminase large subunit [Halorubrum sodomense tailed virus 2]	True	0.949	1178.0	0.0	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
MZ334519.1_7	MZ334519	MZ334519.1	7	4774	6288	1	E			YP_008059992.1	YP_008059992.1 portal protein [Halorubrum tailed phage 7]	True	0.938	995.0	0.0		VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
MZ334519.1_8	MZ334519	MZ334519.1	8	6291	6575	1	E			YP_008059993.1	YP_008059993.1 hypothetical protein M193_gp009 [Halorubrum tailed phage 7]	False	0.86	170.0	6.058e-49					0	False	
MZ334519.1_9	MZ334519	MZ334519.1	9	6572	7735	1	E			YP_007379089.1	YP_007379089.1 hypothetical protein HSTV2_10 [Halorubrum sodomense tailed virus 2]	True	0.927	752.0	4.032e-245		VOG14382	REFSEQ head maturation protease; Xu	Xu	0	False	
MZ334519.1_10	MZ334519	MZ334519.1	10	7743	8216	1	E			YP_008059995.1	YP_008059995.1 hypothetical protein M193_gp011 [Halorubrum tailed phage 7]	False	0.881	290.0	2.446e-89					0	False	
MZ334519.1_11	MZ334519	MZ334519.1	11	8220	8756	1	E			YP_007379091.1	YP_007379091.1 scaffold protein [Halorubrum sodomense tailed virus 2]	False	0.93	349.0	1.8360000000000002e-109		VOG14381	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334519.1_12	MZ334519	MZ334519.1	12	8803	9777	1	E			YP_007379092.1	YP_007379092.1 major head protein [Halorubrum sodomense tailed virus 2]	True	0.954	652.0	1.676e-211		VOG01973	REFSEQ major head protein; Xu	Xu	0	False	
MZ334519.1_13	MZ334519	MZ334519.1	13	9791	10267	1	E			YP_008059998.1	YP_008059998.1 hypothetical protein M193_gp014 [Halorubrum tailed phage 7]	False	0.957	320.0	7.15e-100		VOG14383	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334519.1_14	MZ334519	MZ334519.1	14	10254	10643	1	E			YP_007379094.1	YP_007379094.1 hypothetical protein HSTV2_15 [Halorubrum sodomense tailed virus 2]	False	0.993	273.0	5.0230000000000005e-84					0	False	
MZ334519.1_15	MZ334519	MZ334519.1	15	10650	12122	1	E			YP_008060000.1	YP_008060000.1 hypothetical protein M193_gp016 [Halorubrum tailed phage 7]	True	0.98	1014.0	0.0					0	False	
MZ334519.1_16	MZ334519	MZ334519.1	16	12112	12342	1	E			YP_007379096.1	YP_007379096.1 hypothetical protein HSTV2_17 [Halorubrum sodomense tailed virus 2]	False	1.0	165.0	1.5199999999999998e-47					0	False	
MZ334519.1_17	MZ334519	MZ334519.1	17	12343	12558	1	E			YP_008060002.1	YP_008060002.1 hypothetical protein M193_gp018 [Halorubrum tailed phage 7]	False	0.965	147.0	2.491e-41		VOG05018	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334519.1_18	MZ334519	MZ334519.1	18	12562	13074	1	E			YP_007379098.1	YP_007379098.1 tail tube protein [Halorubrum sodomense tailed virus 2]	False	0.948	341.0	9.468e-107		VOG04913	REFSEQ tail tube protein; Xu	Xu	0	False	
MZ334519.1_19	MZ334519	MZ334519.1	19	13082	14395	1	E			YP_008060004.1	YP_008060004.1 tail sheath [Halorubrum tailed phage 7]	True	0.902	824.0	5.165e-269		VOG01001	sp|P85225|VPN1_BPPHE Putative tail sheath protein; Xs	Xs	0	False	V
MZ334519.1_20	MZ334519	MZ334519.1	20	14424	14945	1	E			YP_007379100.1	YP_007379100.1 tail tube protein [Halorubrum sodomense tailed virus 2]	False	0.921	336.0	6.6049999999999995e-105		VOG14384	REFSEQ tail tube protein; Xu	Xu	0	False	
